,city,cuisine,has_live_music,phone_number,price_range,restaurant_name,serves_alcohol,street_address,date,party_size,time
0,San Jose,American,False,408-971-8523,moderate,71 Saint Peter,True,71 North San Pedro Street,,,
1,San Jose,American,False,408-261-5787,moderate,Bazille,True,2400 Forest Avenue,,,
2,San Jose,American,False,408-292-4300,moderate,Billy Berk's,True,99 South 1st Street,,,
3,San Jose,American,False,408-343-7230,moderate,Bj's Restaurant & Brewhouse,True,511 Coleman Avenue,,,
4,San Jose,American,False,408-816-7251,expensive,Black Sheep Brasserie,True,1202 Lincoln Avenue,,,
5,San Jose,American,False,408-238-9110,moderate,Chuck E. Cheese's,False,2445 Fontaine Road,,,
6,San Jose,American,False,408-292-7444,moderate,Famous Dave's Bar-b-que,False,61 Curtner Avenue,,,
7,San Jose,American,False,408-287-6969,moderate,Firehouse No.1 Gastropub,True,69 North San Pedro Street,,,
8,San Jose,American,True,408-279-4888,moderate,Hukilau,True,230 Jackson Street,,,
9,San Jose,American,False,408-998-1440,moderate,John's Of Willow Glen,False,1238 Lincoln Avenue,,,
10,Palo Alto,American,False,650-688-2614,moderate,Bazille,True,550 Stanford Shopping Center,,,
11,Palo Alto,American,False,650-656-8180,moderate,Bird Dog,False,420 Ramona Street,,,
12,Palo Alto,American,False,650-327-0284,moderate,Bistro Elan,False,2363 Birch Street,,,
13,Palo Alto,American,False,650-326-8640,moderate,Cafe Brioche,True,445 California Avenue,,,
14,Palo Alto,American,False,650-493-6787,moderate,Cibo Restaurant & Bar,False,3398 El Camino Real,,,
15,Palo Alto,American,False,650-322-7509,moderate,Local Union 271,False,271 University Avenue,,,
16,Palo Alto,American,False,650-321-3514,moderate,Palo Alto Grill,True,140 University Avenue,,,
17,Palo Alto,American,False,650-656-8180,moderate,Bird Dog,False,420 Ramona Street,2019-03-01,2,11:30
18,Milpitas,Indian,False,408-435-5500,moderate,Anjappar Chettinad Restaurant,False,Milpitas Square,,,
19,Milpitas,Indian,False,408-941-1700,moderate,Aria Dining & Banquets Fine Indian Cuisine,False,212 Ranch Drive,,,
20,Milpitas,Indian,False,408-833-6333,moderate,Bezawada,False,127 Dixon Road,,,
21,Milpitas,Indian,False,408-945-1500,moderate,Vedas Indian Restaurant,True,560 North Abel Street,,,
22,Milpitas,Take-out,False,408-935-8176,moderate,Olive Garden Italian Restaurant,True,1350 Great Mall Drive,,,
23,Milpitas,Take-out,False,669-213-9385,moderate,Red Chillies The Malabar Cuisine,False,167 South Main Street,,,
24,Milpitas,Take-out,False,408-935-8176,moderate,Olive Garden Italian Restaurant,True,1350 Great Mall Drive,2019-03-11,1,12:00
25,Berkeley,Ethiopian,False,510-653-3456,moderate,Addis Restaurant,False,6100 Telegraph Avenue,,,
26,Berkeley,Ethiopian,False,510-923-6181,moderate,Barcote | Ethiopian Restaurant,False,6430 Telegraph Avenue,,,
27,Berkeley,Ethiopian,False,510-843-1992,inexpensive,Ethiopia Restaurant,False,2955 Telegraph Avenue,,,
28,Berkeley,Ethiopian,False,510-883-0167,moderate,Finfine Restaurant,False,2556 Telegraph Avenue,,,
29,Berkeley,Ethiopian,False,510-653-3456,moderate,Addis Restaurant,False,6100 Telegraph Avenue,2019-03-02,2,17:30
30,Palo Alto,Seafood,False,650-327-2222,moderate,Odori Japanese Cuisine,False,2111 El Camino Real,,,
31,Palo Alto,Seafood,False,650-330-1782,moderate,P.f. Chang's,True,900 Stanford Shopping Center Bldg. W Bldg. W,,,
32,Palo Alto,Seafood,False,650-493-9188,moderate,The Fish Market,True,3150 El Camino Real,,,
33,Palo Alto,Seafood,False,650-213-1111,very expensive,The Sea By Alexander's Steakhouse,False,4269 El Camino Real,,,
34,Palo Alto,Seafood,False,650-330-1782,moderate,P.f. Chang's,True,900 Stanford Shopping Center Bldg. W Bldg. W,2019-03-01,1,18:30
35,San Mateo,Seafood,False,650-581-1305,moderate,Andes Cafe San Mateo,False,2317 South El Camino Real,,,
36,San Mateo,Seafood,False,650-348-7810,moderate,Fuji Sukiyaki,False,428 East 3rd Avenue,,,
37,San Mateo,Seafood,False,650-347-1228,inexpensive,Golden Wok,False,570 South Norfolk Street,,,
38,San Mateo,Seafood,False,650-340-8974,moderate,Joy Sushi,True,30 South B Street,,,
39,San Mateo,Seafood,False,650-342-0288,moderate,Ni-mo Japanese Cuisine,False,73 East 3rd Avenue,,,
40,San Mateo,Seafood,False,650-315-2827,moderate,Seapot,True,1952 South El Camino Real,,,
41,San Mateo,Seafood,False,650-349-3474,moderate,The Fish Market,True,1855 South Norfolk Street,,,
42,San Mateo,Seafood,False,650-349-1845,expensive,Top Of The Market,True,1855 South Norfolk Street,,,
43,San Mateo,Seafood,False,650-358-0298,moderate,Yuzu,False,54 37th Avenue,,,
44,San Mateo,Seafood,False,650-347-1228,inexpensive,Golden Wok,False,570 South Norfolk Street,2019-03-14,2,17:30
45,San Bruno,Filipino,False,650-225-9221,inexpensive,Cabalen,False,495 San Mateo Avenue,,,
46,San Bruno,Filipino,False,650-588-6078,moderate,Isla Restaurant,True,448 San Mateo Avenue,,,
47,San Bruno,Filipino,False,650-952-5739,inexpensive,Kuya's Asian Cuisine,False,460 San Mateo Avenue,,,
48,San Bruno,Filipino,False,650-588-6078,moderate,Isla Restaurant,True,448 San Mateo Avenue,2019-03-12,2,18:00
49,San Jose,Seafood,False,408-269-8383,moderate,Ariake,False,1008 Blossom Hill Road,,,
50,San Jose,Seafood,False,408-238-2888,moderate,Big T's Seafood Market Bar,False,1694 Tully Road,,,
51,San Jose,Seafood,False,408-289-8879,moderate,Blue Water Seafood And Crab,True,860 Willow Street,,,
52,San Jose,Seafood,False,408-649-6741,moderate,Claw Shack,False,1696 Berryessa Road,,,
53,San Jose,Seafood,False,408-392-0087,moderate,Honba Sushi,False,1759 Technology Drive,,,
54,San Jose,Seafood,False,408-365-9000,moderate,Kampai Sushi & Grill,False,171 Branham Lane #3,,,
55,San Jose,Seafood,False,408-286-1738,moderate,Mariscos San Juan 2,False,1718 Senter Road,,,
56,San Jose,Seafood,False,408-440-2468,moderate,Mavericks Mexican Grill,False,1111 Meridian Avenue Ste 5,,,
57,San Jose,Seafood,False,408-225-1420,moderate,Olive Garden Italian Restaurant,True,940 Blossom Hill Road,,,
58,San Jose,Seafood,False,408-971-1700,expensive,Scott's Seafood,False,185 Park Avenue,,,
59,San Jose,Seafood,False,408-269-8383,moderate,Ariake,False,1008 Blossom Hill Road,2019-03-10,2,18:00
60,San Jose,Italian,False,408-369-9820,moderate,Al Castello Ristorante,False,2083 Camden Avenue,,,
61,San Jose,Italian,False,408-227-5502,moderate,Angelo's Italian Restaurant,True,436 Blossom Hill Road,,,
62,San Jose,Italian,False,408-279-4922,moderate,Antonella's Ristorante,True,1701 Park Avenue,,,
63,San Jose,Italian,False,408-278-4555,expensive,Arcadia,True,100 West San Carlos Street,,,
64,San Jose,Italian,False,408-226-1444,moderate,Buca Di Beppo Italian Restaurant,True,925 Blossom Hill Road,,,
65,San Jose,Italian,False,408-618-5455,moderate,Enoteca La Storia Downtown,True,320 West Saint John Street,,,
66,San Jose,Italian,False,408-446-9644,moderate,Frankie Johnnie & Luigi Too,True,5245 Prospect Road,,,
67,San Jose,Italian,False,408-264-5781,moderate,Giorgio's Italian Food & Pizzeria,False,1445 Foxworthy Avenue,,,
68,San Jose,Italian,False,408-423-8973,moderate,Maggiano's Little Italy,True,3055 Olin Avenue Suite 1000,,,
