,address,city,dentist_name,offers_cosmetic_services,phone_number,appointment_date,appointment_time
0,7880 Wren Ave,Gilroy,Albert Lee,False,408-847-6060,,
1,7880 Wren Avenue Suite D141,Gilroy,"Amy N. Tran, And Eric R. Nagareda",False,408-847-0795,,
2,7880 Wren Avenue a115,Gilroy,Banner Associates,False,408-842-0226,,
3,7880 Wren Avenue Suite E-155,Gilroy,Bruce Sarhaddi,False,408-842-6811,,
4,7880 Wren Ave # A111,Gilroy,Dentistry For Children,False,408-847-1118,,
5,7888 Wren Avenue Ste B-120,Gilroy,Dr. Ehsan Rezvan,True,408-842-9045,,
6,7880 Wren Avenue D-142,Gilroy,Dr. Jernell Escobar,False,408-847-3181,,
7,7897 Eigleberry Street,Gilroy,Dr. Luma M. Ajlouni,False,408-848-5040,,
8,7880 Wren Avenue # D142,Gilroy,Drysdale Christine,False,408-847-2658,,
9,7880 Wren Avenue Ste B121,Gilroy,Edward L. Vines,False,408-842-3436,,
10,689 East Remington Drive Ste A,Sunnyvale,Amazing Smile Dental,False,408-739-6520,,
11,990 West Fremont Avenue j,Sunnyvale,"Andrei Simel , Family & Cosmetic Dentisry",False,408-992-0840,,
12,990 West Fremont Avenue,Sunnyvale,Boyer Dental Arts,False,408-523-4030,,
13,860 East Remington Drive,Sunnyvale,Bruce Schwartz,False,408-245-3410,,
14,990 W Fremont Ave # R,Sunnyvale,Chandiok Neena K,False,408-530-8014,,
15,990 W Fremont Ave # A,Sunnyvale,Cisneros Rob M,False,408-738-0656,,
16,570 East El Camino Real # C,Sunnyvale,D Sign Dental Lab,False,408-735-8985,,
17,877 W Fremont Ave # D3,Sunnyvale,Dentalcare Westgate,False,408-379-7700,,
18,990 W Fremont Ave # J,Sunnyvale,Dr. Andrei Simel,False,408-992-0633,,
19,1309 South Mary Avenue,Sunnyvale,Dr. David I. Thompson,False,408-736-3602,,
20,990 West Fremont Avenue j,,"Andrei Simel , Family & Cosmetic Dentisry",False,408-992-0840,2019-03-07,15:30
21,689 East Remington Drive Ste A,,Amazing Smile Dental,False,408-739-6520,2019-03-10,12:30
22,4655 Hoen Avenue # 6,Santa Rosa,Daniel Sullivan,True,707-545-5260,,
23,131 Stony Circle #900,Santa Rosa,Krystle Lim,True,707-579-1100,,
24,1100 Sonoma Avenue,Santa Rosa,Robert S. Gilbaugh,True,707-575-1194,,
25,140 Stony Point Road Suite A,Santa Rosa,Valeria Lawrence,True,707-546-7699,,
26,131 Stony Circle #900,,Krystle Lim,True,707-579-1100,2019-03-13,10:30
27,2256 Monument Blvd,Pleasant Hill,Cho Benjamin,False,925-827-3542,,
28,1894 Contra Costa Boulevard,Pleasant Hill,Pleasant Hill Dental,True,925-900-3539,,
29,850 Middlefield Rd # 3,Palo Alto,Abadi Esfandiar,False,650-324-4900,,
30,850 Middlefield Road,Palo Alto,Bartlett James O,False,650-326-1400,,
31,850 Middlefield Road # 7,Palo Alto,California Creative Ceramics,False,650-324-9011,,
32,"2918, 850 Middlefield Road #2",Palo Alto,Grace Dental,False,650-322-4750,,
33,850 Middlefield Rd # 5,Palo Alto,Lindsey Chris E,False,650-327-0250,,
34,3801 Miranda Avenue,Palo Alto,Montgomery Heath M,False,800-455-0057,,
35,882 Emerson Street,Palo Alto,Palo Alto,True,650-322-8572,,
36,850 Middlefield Road,Palo Alto,Palo Alto Endodontic Center,False,650-485-2514,,
37,3801 Miranda Avenue,Palo Alto,Posner Lindsay S,False,650-493-5000,,
38,850 Middlefield Road # 8,Palo Alto,Roshan Emam,False,650-321-0340,,
39,850 Middlefield Rd # 3,,Abadi Esfandiar,False,650-324-4900,2019-03-07,14:00
40,78 Mission Drive Suite A,Pleasanton,Solage Dental,False,925-523-3695,,
41,5820 Stoneridge Mall Road SUITE 118,Pleasanton,Tri Valley Dental,False,925-225-1555,,
42,5820 Stoneridge Mall Road SUITE 118,,Tri Valley Dental,False,925-225-1555,2019-03-14,17:30
