,destination,number_of_seats,ride_fare,ride_type,wait_time
0,659 Merchant Street,2,15.64,Regular,7
1,Kabul Kabob & Grill,1,11.45,Regular,6
2,Go Vegan,2,22.23,Pool,4
3,La Vie,1,9.04,Pool,6
4,2550 South King Road,1,11.00,Pool,3
5,Trattoria Pinocchio,1,20.75,Luxury,14
6,Enoteca Molinari,2,23.57,Regular,4
7,336 North Santa Cruz Avenue,2,45.45,Luxury,14
8,Barracuda Japanese Restaurant,1,15.64,Regular,3
9,Solomon R. Guggenheim Museum,2,10.32,Pool,6
10,2217 Market Street,1,7.96,Pool,9
11,Perfect Chinese Food,4,36.12,Luxury,8
12,403 Healdsburg Avenue,1,25.48,Luxury,11
13,Penang Garden Restaurant,3,39.73,Luxury,11
14,512 Sacramento Street,1,14.43,Regular,2
15,4087 Peralta Boulevard,4,40.18,Luxury,13
16,Prospect Park,2,14.24,Regular,3
17,3540 Blackhawk Plaza Circle,2,14.38,Pool,3
18,Saint Thomas Church Fifth Avenue,2,17.89,Pool,5
19,Takumi Sushi Bar & Grill,1,24.97,Regular,6
20,"Sonoma Ave, # 44, 1820 Doctors Park Drive",2,15.25,Pool,7
21,Katsu Los Gatos,3,22.76,Regular,5
22,3455 Homestead Road,3,57.75,Luxury,13
23,1367 North McDowell Boulevard,1,22.47,Luxury,11
24,London Aquatics Centre,2,27.82,Regular,5
25,Seiki House,2,37.62,Luxury,9
26,Sitar Indian Cuisine,4,49.32,Regular,2
27,1631 Lincoln Avenue,2,29.02,Regular,3
28,Pacific Science Center,1,31.17,Luxury,8
29,395 Ano Nuevo Avenue,4,46.76,Regular,4
30,2510 Shattuck Avenue,1,15.56,Luxury,12
31,604 East Evelyn Avenue,2,45.17,Luxury,10
32,1306 Lincoln Avenue,3,21.17,Pool,3
33,19369 Stevens Creek Boulevard Suite 130,4,30.04,Pool,3
34,353 Columbus Avenue,3,40.88,Regular,4
35,Shaking the Tree Theatre,3,29.77,Regular,5
36,Greentree Apartments,1,18.61,Luxury,12
37,87 East San Fernando Street,3,50.47,Luxury,9
38,961 Bluebell Drive,1,10.60,Regular,6
39,Luna Mexican Kitchen,3,13.94,Pool,6
40,3119 Clement Street,2,11.36,Pool,5
41,Val's,1,20.06,Luxury,10
42,291 30th Street,2,45.33,Luxury,14
43,510 San Anselmo Avenue,2,29.08,Regular,3
44,2125 Coast Hwy,2,15.68,Pool,8
45,Two Temple Place,1,12.13,Regular,7
46,2222 Bancroft Way,3,21.74,Pool,4
47,1178 El Camino Real,2,43.09,Luxury,8
48,Summerwood,1,22.05,Luxury,7
49,St. Stephen's Episcopal Church,3,49.22,Luxury,11
50,Locanda,1,27.15,Luxury,13
51,4906 Paseo Padre Parkway,4,33.48,Regular,7
52,25 Broadway,3,44.43,Luxury,10
53,518 7th Street,1,7.91,Pool,5
54,Menara Kuala Lumpur,3,27.14,Pool,4
55,Loft Bar & Bistro,3,26.52,Luxury,8
56,1501 Trousdale Drive #2,2,39.54,Luxury,11
57,426 Brannan Street,1,19.64,Regular,4
58,3425 South Bascom Avenue #235,1,18.66,Luxury,12
59,866 Campus Drive,1,17.15,Regular,4
60,460 34th Street,1,14.19,Pool,6
61,1580 Valencia Street #508,1,23.35,Regular,5
62,909 San Ramon Valley Boulevard #114,2,26.81,Regular,5
63,2452 Watson Court,1,11.70,Regular,6
64,5050 West El Camino Real # 110,1,10.79,Regular,7
65,2400 Samaritan Drive #105,1,17.77,Regular,6
66,"Sonoma Ave, # 44, 1820 Doctors Park Drive",1,26.44,Luxury,8
67,2219 Buchanan Road #6,3,42.97,Regular,7
68,1501 3rd Street,2,23.93,Regular,4
69,17251 Hesperian Boulevard,3,25.69,Regular,4
70,80 Nicholl Avenue,1,32.76,Luxury,13
71,301 Old San Francisco Road Level 2,3,36.53,Regular,7
72,2100 Webster Street suite 214,1,32.42,Luxury,11
73,2574 San Bruno Avenue,1,15.08,Regular,2
74,655 Redwood Highway Suite 100,3,11.66,Pool,7
75,2577 Samaritan Drive Suite 740,1,17.48,Luxury,13
76,1174 Castro Street # 100,3,13.70,Pool,8
77,5050 West El Camino Real # 110,2,25.12,Pool,6
78,5401 Norris Canyon Road,2,8.63,Pool,6
79,16130 Juan Hernandez Drive #108,1,13.46,Pool,9
80,4680 Tassajara Road,2,40.19,Luxury,12
81,7200 Bancroft Avenue,2,22.49,Pool,3
82,1301 Southpoint Boulevard,3,49.10,Luxury,10
83,5050 West El Camino Real # 110,2,29.80,Regular,3
84,15267 Hesperian Boulevard,3,24.30,Regular,6
85,2316 Dwight Way,2,22.56,Regular,6
86,935 Trancas Street,1,12.73,Pool,4
87,3300 Webster Street,2,24.44,Pool,4
88,5050 West El Camino Real # 110,3,40.17,Regular,4
89,Victoria's Mexican Restaurant,2,16.81,Pool,9
90,2400 Samaritan Drive #105,1,13.07,Pool,4
91,3440 Hillcrest Avenue Suite 150,1,11.52,Pool,4
92,11030 Bollinger Canyon Road #250,1,17.61,Pool,6
93,1580 Valencia Street #508,2,25.74,Regular,2
94,"1, 2380 Sutter Street",1,15.95,Pool,7
95,"Sonoma Ave, # 44, 1820 Doctors Park Drive",1,12.19,Regular,3
96,3838 California Street #601,1,25.24,Luxury,10
97,6950 Santa Teresa Boulevard,1,21.53,Regular,2
98,655 Redwood Highway Suite 100,1,15.38,Pool,5
99,2500 Alhambra Avenue,2,17.83,Pool,8
100,2700 International Boulevard # 35,1,23.82,Luxury,12
101,3300 Webster Street,2,22.23,Luxury,13
102,380 Tesconi Court,4,14.90,Pool,6
103,2574 San Bruno Avenue,3,32.08,Regular,4
104,500 San Pablo Avenue,1,8.16,Pool,3
105,2490 Hospital Drive #111,4,35.36,Luxury,8
106,2100 Webster Street suite 214,3,33.10,Regular,3
107,4340 Redwood Highway Suite A-22,1,21.73,Luxury,7
108,42808 Christy Street #208,1,28.97,Luxury,10
109,2435 Webster Street #101,2,17.95,Pool,4
110,491 30th Street #201,1,10.61,Regular,7
111,1600 West Campbell Avenue #202,2,18.60,Regular,5
112,7788 Dublin Boulevard,1,13.14,Pool,5
113,1580 Valencia Street #508,3,55.04,Luxury,11
114,1580 Valencia Street #508,3,19.69,Pool,4
115,211 Quarry Road,2,29.53,Regular,5
116,2700 Grant Street Suite 200,4,43.44,Luxury,14
117,401 Bicentennial Way,1,23.63,Regular,3
118,935 Trancas Street,1,23.54,Regular,7
119,1550 A Professional Drive #100,1,12.46,Regular,3
120,655 Redwood Highway Suite 100,1,14.53,Regular,3
121,329 Tennessee Street,1,16.84,Pool,8
122,20400 Lake Chabot Road #202,2,17.13,Pool,6
123,1720 El Camino Real # 120,4,13.60,Pool,3
124,10 Woodland Road,2,24.73,Pool,4
125,535 Miller Avenue,2,14.62,Pool,5
126,5050 West El Camino Real # 110,1,13.06,Pool,4
127,1479 Ygnacio Valley Road,2,24.37,Luxury,14
128,2100 Webster Street suite 214,1,17.73,Regular,3
129,94109. parking entry on Hyde St 1199 Bush Street Suite 500 Suite 500,4,34.52,Pool,3
130,3553 Whipple Road,1,12.37,Regular,5
131,301 Old San Francisco Road Level 2,3,36.58,Luxury,8
132,3100 Telegraph Avenue # 2109,1,10.08,Pool,9
133,Fairway Arms Apartments,1,14.58,Regular,4
134,5508 Monterey Road,1,19.35,Regular,2
135,301 Industrial Road,1,29.27,Luxury,12
136,1181 Boulevard Way B,1,24.18,Regular,7
137,301 Old San Francisco Road Level 2,2,20.72,Regular,4
138,131 West A Street,1,12.84,Pool,5
139,301 Industrial Road Level 3,3,51.72,Luxury,12
140,795 El Camino Real,2,17.03,Pool,7
141,22101 Redwood Road,2,14.91,Pool,4
142,2305 Camino Ramon Suite 100,2,41.44,Luxury,8
143,2400 Samaritan Drive #105,1,16.38,Luxury,14
144,Giraffe Centre,3,28.89,Pool,5
145,1339 Jacklin Road,2,18.81,Regular,5
146,"Sonoma Ave, # 44, 1820 Doctors Park Drive",4,45.08,Regular,5
147,795 El Camino Real,3,26.34,Regular,3
148,700 West Parr Avenue,2,9.50,Pool,3
149,910 Lincoln Rd E,3,36.01,Regular,2
150,5565 West Las Positas Boulevard,1,29.85,Luxury,7
151,8833 Monterey Road,1,30.07,Luxury,11
152,20400 Lake Chabot Road #202,3,31.96,Regular,3
153,5050 West El Camino Real # 110,2,29.18,Luxury,11
154,2380 Sutter Street,2,24.44,Regular,5
155,321 Middlefield Road # 245,1,13.72,Regular,7
156,1010 Laurel Street,1,14.85,Pool,3
157,5050 West El Camino Real # 110,4,50.96,Luxury,11
