"Speaker","Utterance"
"dialogue_id:"," 51_00047"
"USER","""Find me a rental car"""
"SYSTEM","""What date do you want it?"""
"USER","""from Next tuesday"""
"SYSTEM","""What is the pickup time, drop date and pickup location"""
"USER","""I will pick it up from Toronto Pearson Airport at 12 o""clock in the afternoon and drop off on 11th of this month"""
"SYSTEM","""what type or you need, Full-size or compact?"""
"USER","""a compact car please"""
"SYSTEM","""Please confirm: Booking a compact rental to be picked up from Toronto pearson international Airport on march 5th at 12 pm and drop off on March 11th"""
"USER","""yes thats good. what the cost and the name of the car"""
"SYSTEM","APICall(method='ReserveCar', parameters={ dropoff_date: 2019-03-11, pickup_date: 2019-03-05, pickup_location: Toronto Pearson International Airport, pickup_time: 12:00, type: Compact })"
"Tool","""Search Results\n[{ car_name: Cooper, dropoff_date: 2019-03-11, pickup_date: 2019-03-05, pickup_location: Toronto Pearson International Airport, pickup_time: 12:00, total_price: 180, type: Compact }]\nEnd Search Results"""
"SYSTEM","""Its booked, its a cooper and costs $180"""
"USER","""Please find me a hotel there, where pets are allowed"""
"SYSTEM","""want in Toronto?"""
"USER","""yes, thats right"""
"SYSTEM","APICall(method='SearchHotel', parameters={ location: Toronto, pets_welcome: True })"
"Tool","""Search Results\n[{ average_rating: 4.00, hotel_name: Best Western Premier Toronto Airport Carlingview Hotel, location: Toronto, number_of_rooms: 2, pets_welcome: True, phone_number: +1 416-637-7000, price: 184, street_address: 135 Carlingview Drive, Etobicoke, Ontario M9W 5E7, Canada }, { average_rating: 3.00, hotel_name: Best Western Primrose Hotel Downtown-Toronto, location: Toronto, number_of_rooms: 1, pets_welcome: True, phone_number: +1 800-780-7234, price: 138, street_address: 111 Carlton Street }]\nEnd Search Results"""
"SYSTEM","""How about Best Western Premier Toronto airport carlingview hotel rated 4.0"""
"USER","""what the address and phone number?"""
"SYSTEM","""The address is 135 Carlingview drive, etobicoke, ontario M9W 5e7, canada. The nunber is +1 416-637-7000"""
"USER","""Thats good. make the reservation for 4th of this month"""
"SYSTEM","""and the check out on March 11th?"""
"USER","""ye thats right"""
"SYSTEM","""Please confirm: Making a reservation for 1 room at the Best Western Premier Toronto airport carlingview hotel at Toronto, on march 4th and checkout march 11th"""
"USER","""yes, whats the price?"""
"SYSTEM","APICall(method='ReserveHotel', parameters={ check_in_date: 2019-03-04, check_out_date: 2019-03-11, hotel_name: Best Western Premier Toronto Airport Carlingview Hotel, location: Toronto, number_of_rooms: 1 })"
"Tool","""Search Results\n[{ average_rating: 4.00, check_in_date: 2019-03-04, check_out_date: 2019-03-11, hotel_name: Best Western Premier Toronto Airport Carlingview Hotel, location: Toronto, number_of_rooms: 1, pets_welcome: True, phone_number: +1 416-637-7000, price: 2100, street_address: 135 Carlingview Drive, Etobicoke, Ontario M9W 5E7, Canada }]\nEnd Search Results"""
"SYSTEM","""its done. the total is $2100"""
"USER","""thanks a lot"""
"SYSTEM","""any thing else?"""
"USER","""No, thats it"""
"SYSTEM","""have a good day!"""
