"Speaker","Utterance"
"dialogue_id:"," 126_00006"
"USER","""I need a Luxury cab for 3 to Halu Shabu Shabu."""
"SYSTEM","""Confirming that you want to book a Luxury cab for 3 to Halu Shabu Shabu?"""
"USER","""Yes, that works."""
"SYSTEM","APICall(method='GetRide', parameters={ destination: Halu Shabu Shabu, number_of_seats: 3, ride_type: Luxury })"
"Tool","""Search Results\n[{ destination: Halu Shabu Shabu, number_of_seats: 3, ride_fare: 31.58, ride_type: Luxury, wait_time: 14 }]\nEnd Search Results"""
"SYSTEM","""I have booked your ride and the cab is on its way."""
"USER","""Thanks. Search for me some songs."""
"SYSTEM","APICall(method='LookupSong', parameters={  })"
"Tool","""Search Results\n[{ album: Black Widow, artist: In This Moment, genre: Metalcore, song_name: Sex Metal Barbie, year: 2014 }, { album: So Good, artist: Zara Larsson, genre: Pop, song_name: I Would Like, year: 2016 }]\nEnd Search Results"""
"SYSTEM","""How about Sex Metal Barbie by In This Moment? It is from the album Black Widow."""
"USER","""What genre is it? Is it from 2014?"""
"SYSTEM","""It is a Metalcore song from 2014."""
"USER","""That's the song."""
"SYSTEM","""Do you want to play this song?"""
"USER","""Yes, cast it on the speaker in the kitchen."""
"SYSTEM","""Confirming that you you want to play Sex Metal Barbie on the Kitchen speaker?"""
"USER","""Yes, that is correct."""
"SYSTEM","APICall(method='PlaySong', parameters={ playback_device: Kitchen speaker, song_name: Sex Metal Barbie })"
"Tool","""Search Results\n[{ album: Black Widow, artist: In This Moment, genre: Metalcore, playback_device: Kitchen speaker, song_name: Sex Metal Barbie, year: 2014 }]\nEnd Search Results"""
"SYSTEM","""Enjoy your music!"""
"USER","""Thanks! That's all for now."""
"SYSTEM","""You're welcome. Have a good day."""
