"Speaker","Utterance"
"dialogue_id:"," 29_00005"
"USER","""Can you find me a hotel in LA that I will be able to smoke in?"""
"SYSTEM","APICall(method='SearchHotel', parameters={ location: Los Angeles, smoking_allowed: True })"
"Tool","""Search Results\n[{ location: Los Angeles, number_of_rooms: 1, phone_number: +1 323-469-2500, place_name: Banana Bungalow Hollywood, price_per_night: 21, smoking_allowed: True, star_rating: 1, street_address: 5920 Hollywood Boulevard, Hollywood, California 90028, United States }, { location: Los Angeles, number_of_rooms: 2, phone_number: +1 800-947-7666, place_name: Beverly Laurel Motor Hotel, price_per_night: 120, smoking_allowed: True, star_rating: 2, street_address: 8018 Beverly Boulevard }]\nEnd Search Results"""
"SYSTEM","""There is a 1 star hotel called Banana Bungalow Hollywood."""
"USER","""Can you give me their address and how much it is per night please?"""
"SYSTEM","""They are located at 5920 Hollywood Boulevard, Hollywood, California 90028, United States and the cost is $21 per night."""
"USER","""That sounds perfect! I also will need a round trip flight there, leaving today and returning on the 14th."""
"SYSTEM","""What is your destination city?"""
"USER","""I will be leaving from Chi-town."""
"SYSTEM","APICall(method='SearchRoundtripFlights', parameters={ departure_date: 2019-03-01, destination_airport: Los Angeles, origin_airport: Chicago, return_date: 2019-03-14 })"
"Tool","""Search Results\n[{ airlines: American Airlines, departure_date: 2019-03-01, destination_airport: Los Angeles, inbound_arrival_time: 11:47, inbound_departure_time: 05:15, is_nonstop: True, number_of_tickets: 1, origin_airport: Chicago, outbound_arrival_time: 12:52, outbound_departure_time: 10:20, price: 263, return_date: 2019-03-14, seating_class: Economy }, { airlines: Delta Airlines, departure_date: 2019-03-01, destination_airport: Los Angeles, inbound_arrival_time: 14:52, inbound_departure_time: 08:20, is_nonstop: True, number_of_tickets: 1, origin_airport: Chicago, outbound_arrival_time: 15:27, outbound_departure_time: 12:55, price: 288, return_date: 2019-03-14, seating_class: Economy }]\nEnd Search Results"""
"SYSTEM","""There is an American Airlines flight that departs at 10:20 am and returns at 5:15 am and costs $263."""
"USER","""Sounds great! Please reserve the hotel you found."""
"SYSTEM","""How long do you need the hotel for?"""
"USER","""For 2 days please!"""
"SYSTEM","""Is your check in date March 1st?"""
"USER","""No, I wish to check in on the 6th."""
"SYSTEM","""Please confirm you want 1 room for March 6th at Banana Bungalow Hollywood in Los Angeles for 2 days."""
"USER","""Yes, Perfect! Can you provide their phone number?"""
"SYSTEM","APICall(method='ReserveHotel', parameters={ check_in_date: 2019-03-06, location: Los Angeles, number_of_rooms: 1, place_name: Banana Bungalow Hollywood, stay_length: 2 })"
"Tool","""Search Results\n[{ check_in_date: 2019-03-06, location: Los Angeles, number_of_rooms: 1, phone_number: +1 323-469-2500, place_name: Banana Bungalow Hollywood, price_per_night: 48, smoking_allowed: True, star_rating: 1, stay_length: 2, street_address: 5920 Hollywood Boulevard, Hollywood, California 90028, United States }]\nEnd Search Results"""
"SYSTEM","""I have successfully booked the hotel and their phone number is +1 323-469-2500."""
"USER","""Can you tell me what attractions they have there?"""
"SYSTEM","APICall(method='FindAttractions', parameters={ location: Los Angeles })"
"Tool","""Search Results\n[{ attraction_name: Angels Flight Railway, category: Historical Landmark, free_entry: True, good_for_kids: True, location: Los Angeles, phone_number: 213-626-1901 }, { attraction_name: Autry Museum of the American West, category: Museum, free_entry: False, good_for_kids: True, location: Los Angeles, phone_number: 323-667-2000 }]\nEnd Search Results"""
"SYSTEM","""They have a Historical Landmark called Angels Flight Railway."""
"USER","""Sounds great! That will be all for now."""
"SYSTEM","""Okay, enjoy your time!"""
