"Speaker","Utterance"
"dialogue_id:"," 17_00104"
"USER","""Hello. Can you find me a family counselor in Pleasant Hill?"""
"SYSTEM","APICall(method='FindProvider', parameters={ city: Pleasant Hill, type: Family Counselor })"
"Tool","""Search Results\n[{ address: 140 Mayhew Way # 702, city: Pleasant Hill, phone_number: 925-945-1221, therapist_name: Aguilar Churchill Spence, type: Family Counselor }, { address: 140 Mayhew Way, city: Pleasant Hill, phone_number: 925-930-7450, therapist_name: Diana C. Methfessel, Ma, type: Family Counselor }]\nEnd Search Results"""
"SYSTEM","""Sure thing. There's a family counselor in Pleasant Hill called Aguilar Churchill Spence."""
"USER","""Sounds good to me."""
"SYSTEM","""Want to visit them?"""
"USER","""I do. Make the appointment for quarter to 12 in the morning on the 10th of March."""
"SYSTEM","""You want to see Aguilar Churchill Spence at 11:45 am on March 10th?"""
"USER","""Actually, I think afternoon 2:15 on the 13th works better."""
"SYSTEM","""You want to see them at 2:15 pm on March 13th?"""
"USER","""That works with me."""
"SYSTEM","APICall(method='BookAppointment', parameters={ appointment_date: 2019-03-13, appointment_time: 14:15, therapist_name: Aguilar Churchill Spence })"
"Tool","""Search Results\n[{ address: 140 Mayhew Way # 702, appointment_date: 2019-03-13, appointment_time: 14:30, phone_number: 925-945-1221, therapist_name: Aguilar Churchill Spence }]\nEnd Search Results"""
"SYSTEM","""Unfortunately, I could not book that time. You could instead see Aguilar Churchill Spence at 2:30 pm on March 13th."""
"USER","""That's fine by me."""
"SYSTEM","APICall(method='BookAppointment', parameters={ appointment_date: 2019-03-13, appointment_time: 14:30, therapist_name: Aguilar Churchill Spence })"
"Tool","""Search Results\n[{ address: 140 Mayhew Way # 702, appointment_date: 2019-03-13, appointment_time: 14:30, phone_number: 925-945-1221, therapist_name: Aguilar Churchill Spence }]\nEnd Search Results"""
"SYSTEM","""I booked the appointment. An email should arrive soon affirming this."""
"USER","""What's the phone number and address?"""
"SYSTEM","""You can call 925-945-1221, and can drive to 140 Mayhew Way # 702."""
"USER","""Okay, great. I want to see how much money I've got in my checking account."""
"SYSTEM","APICall(method='CheckBalance', parameters={ account_type: checking })"
"Tool","""Search Results\n[{ account_balance: 20098.57, account_type: checking }]\nEnd Search Results"""
"SYSTEM","""Your checking account currently has $20,098.57."""
"USER","""Great, that's plenty. As for my savings account?"""
"SYSTEM","APICall(method='CheckBalance', parameters={ account_type: savings })"
"Tool","""Search Results\n[{ account_balance: 21121.14, account_type: savings }]\nEnd Search Results"""
"SYSTEM","""Your savings account has $21,121.14."""
"USER","""Okay, great. Now that I know I have the money, can you find me an affordable restaurant?"""
"SYSTEM","""Sure. What type of food?"""
"USER","""I want to eat at a sushi bar."""
"SYSTEM","APICall(method='FindRestaurants', parameters={ category: Sushi, location: Pleasant Hill, price_range: moderate })"
"Tool","""Search Results\n[{ address: 2217 Morello Avenue, category: Sushi, has_seating_outdoors: False, has_vegetarian_options: True, location: Pleasant Hill, phone_number: 925-671-9925, price_range: moderate, rating: 4.70, restaurant_name: Jo's Sushi Bar }]\nEnd Search Results"""
"SYSTEM","""There's 1 of those in Pleasant Hill. It's called Jo's Sushi Bar."""
"USER","""Okay, sounds good."""
"SYSTEM","""Want to rent a table there?"""
"USER","""I would like to do that."""
"SYSTEM","""At what time?"""
"USER","""At morning 11."""
"SYSTEM","""You want a table for 2 at Jo's Sushi Bar in Pleasant Hill at 11 am on March 13th?"""
"USER","""I do. Is outdoor seating there?"""
"SYSTEM","APICall(method='ReserveRestaurant', parameters={ date: 2019-03-13, location: Pleasant Hill, number_of_seats: 2, restaurant_name: Jo's Sushi Bar, time: 11:00 })"
"Tool","""Search Results\n[{ address: 2217 Morello Avenue, category: Sushi, date: 2019-03-13, has_seating_outdoors: False, has_vegetarian_options: True, location: Pleasant Hill, number_of_seats: 2, phone_number: 925-671-9925, price_range: moderate, rating: 4.70, restaurant_name: Jo's Sushi Bar, time: 11:30 }]\nEnd Search Results"""
"SYSTEM","""No, there isn't. Also, I unfortunately could not book your table for 2 at Jo's Sushi Bar. Do you instead want to visit at 11:30 am on March 13th?"""
"USER","""That is fine."""
"SYSTEM","APICall(method='ReserveRestaurant', parameters={ date: 2019-03-13, location: Pleasant Hill, number_of_seats: 2, restaurant_name: Jo's Sushi Bar, time: 11:30 })"
"Tool","""Search Results\n[{ address: 2217 Morello Avenue, category: Sushi, date: 2019-03-13, has_seating_outdoors: False, has_vegetarian_options: True, location: Pleasant Hill, number_of_seats: 2, phone_number: 925-671-9925, price_range: moderate, rating: 4.70, restaurant_name: Jo's Sushi Bar, time: 11:30 }]\nEnd Search Results"""
"SYSTEM","""I booked the table."""
"USER","""Thanks so much!"""
"SYSTEM","""Can I help some more?"""
"USER","""Not now. Thank you."""
"SYSTEM","""Have a great day!"""
