"Speaker","Utterance"
"dialogue_id:"," 71_00000"
"USER","""I am interested in finding an Adventure movie that I can watch."""
"SYSTEM","""Can you tell me the location where you want to watch the movie?"""
"USER","""The movie I want to watch should be shown in Sonoma."""
"SYSTEM","APICall(method='FindMovies', parameters={ genre: Adventure, location: Sonoma })"
"Tool","""Search Results\n[{ genre: Adventure, location: Sonoma, movie_name: Shazam!, price: 12, show_type: 3d, street_address: 4451, theater_name: Sonoma Cinema }]\nEnd Search Results"""
"SYSTEM","""There is 1 movie which matches what you requested. How would you like watching Shazam! ?"""
"USER","""Shazam would be nice to watch. Can you tell me at what time can I watch this movie? I am interested to watch this movie on 3d and on 1st of March at Sonoma Cinema."""
"SYSTEM","APICall(method='GetTimesForMovie', parameters={ location: Sonoma, movie_name: Shazam!, show_date: 2019-03-01, show_type: 3d, theater_name: Sonoma Cinema })"
"Tool","""Search Results\n[{ genre: Adventure, location: Sonoma, movie_name: Shazam!, price: 12, show_date: 2019-03-01, show_time: 19:00, show_type: 3d, street_address: 4451, theater_name: Sonoma Cinema }]\nEnd Search Results"""
"SYSTEM","""There is 1 showtime for the movie you requested. The showtime of this movie is at 7 pm in Sonoma Cinema"""
"USER","""Can you tell me the price for the ticket?"""
"SYSTEM","""The ticket for this movie costs $12 per person."""
"USER","""Can you tell me the address of the theater?"""
"SYSTEM","""The address of the theater is 4451."""
"USER","""Seems right. I am interested to also find a place to eat there, so I want to find a restaurant."""
"SYSTEM","""Can you tell me if you want to have some specific kind of food? It can be Mexican, Indian or something else."""
"USER","""I would be fine having some kind of Pasta food."""
"SYSTEM","APICall(method='FindRestaurants', parameters={ city: Sonoma, cuisine: Italian })"
"Tool","""Search Results\n[{ city: Sonoma, cuisine: Italian, has_live_music: False, phone_number: 707-935-0576, price_range: moderate, restaurant_name: Della Santina's, serves_alcohol: True, street_address: 133 East Napa Street }, { city: Sonoma, cuisine: Italian, has_live_music: False, phone_number: 707-938-9430, price_range: moderate, restaurant_name: Meritage Martini Oyster Bar & Grille, serves_alcohol: True, street_address: 165 West Napa Street }]\nEnd Search Results"""
"SYSTEM","""A good restaurant in Sonoma which I would recommend is Della Santina's restaurant."""
"USER","""Alright, that seems good. I want to book a table at this restaurant for three people, and I want the reservation to be for 5:15 pm."""
"SYSTEM","""Can you please confirm that you want to book a table for 3 people at Della Santina's restaurant in Sonoma, and that you want your reservation to be for March 1st at 5:15 pm?"""
"USER","""Alright, that suits me well."""
"SYSTEM","APICall(method='ReserveRestaurant', parameters={ city: Sonoma, date: 2019-03-01, party_size: 3, restaurant_name: Della Santina's, time: 17:15 })"
"Tool","""Search Results\n[{ city: Sonoma, cuisine: Italian, date: 2019-03-01, has_live_music: False, party_size: 3, phone_number: 707-935-0576, price_range: moderate, restaurant_name: Della Santina's, serves_alcohol: True, street_address: 133 East Napa Street, time: 17:00 }]\nEnd Search Results"""
"SYSTEM","""I apologize but I couldn't make the reservation you asked for. Della Santina's is actually a nice restaurant, so do you want me try again to make a reservation for 3 people on March 1st at 5 pm?"""
"USER","""No, I do not want that. That would be all."""
"SYSTEM","""Have a good time!"""
