"Speaker","Utterance"
"dialogue_id:"," 19_00041"
"USER","""Hello, Please can you find me an apartment?"""
"SYSTEM","""Sure, in which area?"""
"USER","""I am looking for an apartment in Santa Clara."""
"SYSTEM","""So, how many bed rooms do you wish to have?"""
"USER","""Please can you look for four bed rooms with three baths?"""
"SYSTEM","APICall(method='FindApartment', parameters={ area: Santa Clara, number_of_baths: 3, number_of_beds: 4 })"
"Tool","""Search Results\n[{ address: 1500 Vista Club Circle, area: Santa Clara, furnished: False, number_of_baths: 3, number_of_beds: 4, pets_allowed: False, phone_number: 408-827-1770, property_name: Bella Vista Apartments, rent: 5100 }, { address: 3440 Warburton Avenue, area: Santa Clara, furnished: True, number_of_baths: 3, number_of_beds: 4, pets_allowed: True, phone_number: 408-248-5766, property_name: Briarwood Garden Apartments, rent: 5250 }]\nEnd Search Results"""
"SYSTEM","""Sure. There is a nice property, Bella Vista Apartments located at 1500 Vista Club Circle that has 4 bed rooms and 3 bath. The monthly rent is $5,100."""
"USER","""That sounds good. Please can I've a visit to this apartment. Please can you book an appointment on day after tomorrow?"""
"SYSTEM","""Please can you confirm me that you wish to schedule the visit to Bella Vista Apartments on March 3rd, right?"""
"USER","""Yup, sounds good. Is it a pet-friendly apartment?"""
"SYSTEM","APICall(method='ScheduleVisit', parameters={ property_name: Bella Vista Apartments, visit_date: 2019-03-03 })"
"Tool","""Search Results\n[{ address: 1500 Vista Club Circle, furnished: False, number_of_baths: 3, number_of_beds: 4, pets_allowed: False, phone_number: 408-827-1770, property_name: Bella Vista Apartments, rent: 5100, visit_date: 2019-03-03 }]\nEnd Search Results"""
"SYSTEM","""Sorry, they don't allow pets. Okay! your booking is done."""
"USER","""Thanks much. Please can you help me to find some good restaurant there that will serve Halal and which is reasonably priced?"""
"SYSTEM","APICall(method='FindRestaurants', parameters={ category: Halal, location: Santa Clara, price_range: moderate })"
"Tool","""Search Results\n[{ address: 2961 East El Camino Real, category: Halal, has_seating_outdoors: False, has_vegetarian_options: True, location: Santa Clara, phone_number: 888-786-7919, price_range: moderate, rating: 4.00, restaurant_name: Paradise Biryani Pointe }]\nEnd Search Results"""
"SYSTEM","""Yup, there is 1 restaurant, Paradise Biryani Pointe located in Santa Clara."""
"USER","""Please may I know if they have outdoor seating and what's their contact number?"""
"SYSTEM","""Sorry, they don't have out door seating and they are reachable at 888-786-7919."""
"USER","""Okay, thanks much. Please can you help me to find a table there?"""
"SYSTEM","""At what time?"""
"USER","""Please can you book it at 12:30 in the afternoon?"""
"SYSTEM","""Sure. Please can you confirm me that you wish to book a table for 2 people on March 3rd at 12:30 pm at Paradise Biryani Pointe in Santa Clara, right?"""
"USER","""Yup, sounds good. Please can I have the restaurant's rating and do they have vegetarian food?"""
"SYSTEM","APICall(method='ReserveRestaurant', parameters={ date: 2019-03-03, location: Santa Clara, number_of_seats: 2, restaurant_name: Paradise Biryani Pointe, time: 12:30 })"
"Tool","""Search Results\n[{ address: 2961 East El Camino Real, category: Halal, date: 2019-03-03, has_seating_outdoors: False, has_vegetarian_options: True, location: Santa Clara, number_of_seats: 2, phone_number: 888-786-7919, price_range: moderate, rating: 4.00, restaurant_name: Paradise Biryani Pointe, time: 12:30 }]\nEnd Search Results"""
"SYSTEM","""They have a rating of about 4.0 and they serve vegetarian food. Your booking is successful."""
"USER","""Thanks much."""
"SYSTEM","""Do you want me to help you with anything else?"""
"USER","""Nope, thanks much."""
"SYSTEM","""Have a wonderful day."""
