,city,date,event_name,time,venue,venue_address,number_of_tickets,category,event_type
0,New York,2019-03-01,Yankees Vs Orioles,17:30,Yankee Stadium,1 East 161 Street,,,
1,New York,2019-03-08,Yankees Vs Orioles,19:00,Yankee Stadium,1 East 161 Street,,,
2,New York,2019-03-09,Yankees Vs Orioles,18:30,Yankee Stadium,1 East 161 Street,,,
3,New York,2019-03-11,Yankees Vs Orioles,19:30,Yankee Stadium,1 East 161 Street,,,
4,New York,2019-03-01,Yankees Vs Orioles,17:30,Yankee Stadium,1 East 161 Street,1,,
5,San Diego,2019-03-02,Lizzo,18:00,Cal Coast Credit Union Amphitheater,5500 Campanile Drive,,,
6,San Diego,2019-03-06,Lizzo,17:30,Cal Coast Credit Union Amphitheater,5500 Campanile Drive,,,
7,San Diego,2019-03-09,Lizzo,19:30,Cal Coast Credit Union Amphitheater,5500 Campanile Drive,,,
8,San Diego,2019-03-10,Lizzo,17:30,Cal Coast Credit Union Amphitheater,5500 Campanile Drive,,,
9,San Diego,2019-03-14,Lizzo,19:00,Cal Coast Credit Union Amphitheater,5500 Campanile Drive,,,
10,San Diego,2019-03-02,Lizzo,18:00,Cal Coast Credit Union Amphitheater,5500 Campanile Drive,3,,
11,San Francisco,2019-03-01,Cher,17:00,Chase Center Experience,500 Terry A Francois Boulevard Suite 73,,,
12,San Francisco,2019-03-06,Cher,19:00,Chase Center Experience,500 Terry A Francois Boulevard Suite 73,,,
13,San Francisco,2019-03-12,Cher,19:00,Chase Center Experience,500 Terry A Francois Boulevard Suite 73,,,
14,San Francisco,2019-03-13,Cher,17:00,Chase Center Experience,500 Terry A Francois Boulevard Suite 73,,,
15,San Francisco,2019-03-14,Cher,17:00,Chase Center Experience,500 Terry A Francois Boulevard Suite 73,,,
16,New York,2019-03-08,Michael Feinstein,17:30,The Appel Room,10 Columbus Circle,,,
17,New York,2019-03-10,Michael Feinstein,19:00,The Appel Room,10 Columbus Circle,,,
18,New York,2019-03-13,Michael Feinstein,19:30,The Appel Room,10 Columbus Circle,,,
19,New York,2019-03-14,Michael Feinstein,18:30,The Appel Room,10 Columbus Circle,,,
20,New York,2019-03-08,Michael Feinstein,17:30,The Appel Room,10 Columbus Circle,3,,
21,Chicago,2019-03-01,Basta,18:00,Concord Music Hall,2047 North Milwaukee Avenue,,,
22,Chicago,2019-03-02,Basta,17:30,Concord Music Hall,2047 North Milwaukee Avenue,,,
23,Chicago,2019-03-03,Basta,18:00,Concord Music Hall,2047 North Milwaukee Avenue,,,
24,Chicago,2019-03-04,Basta,18:30,Concord Music Hall,2047 North Milwaukee Avenue,,,
25,Chicago,2019-03-05,Basta,19:30,Concord Music Hall,2047 North Milwaukee Avenue,,,
26,Chicago,2019-03-07,Basta,18:30,Concord Music Hall,2047 North Milwaukee Avenue,,,
27,Chicago,2019-03-01,Basta,18:00,Concord Music Hall,2047 North Milwaukee Avenue,1,,
28,London,2019-03-06,India Vs Australia,18:00,The Oval,Kennington Oval,,,
29,London,2019-03-09,India Vs Australia,18:30,The Oval,Kennington Oval,,,
30,London,2019-03-11,India Vs Australia,19:00,The Oval,Kennington Oval,,,
31,London,2019-03-14,India Vs Australia,18:30,The Oval,Kennington Oval,,,
32,London,2019-03-06,India Vs Australia,18:00,The Oval,Kennington Oval,4,,
33,Washington D.C.,2019-03-04,Nationals Vs Orioles,17:00,Nationals Park,1500 South Capitol Street Southeast,,,
34,Washington D.C.,2019-03-12,Nationals Vs Orioles,19:30,Nationals Park,1500 South Capitol Street Southeast,,,
