,amount,payment_method,private_visibility,receiver
0,116,debit card,True,Amelia
1,49,,False,Mahmoud
2,33,credit card,False,Margaret
3,97,debit card,False,Emma
4,161,,False,Isabella
5,31,credit card,False,Rachel
6,50,debit card,False,Mary
7,18,,False,Emma
8,96,app balance,False,Mahmoud
9,89,debit card,False,Rachel
10,130,,True,Tom
11,169,credit card,False,Yumi
12,96,debit card,False,Amelia
13,215,,True,Mahmoud
14,42,app balance,False,Victoria
15,154,debit card,True,Mary
16,132,,False,Rachel
17,84,credit card,False,Svetlana
18,110,debit card,False,Tom
19,161,,False,Jerry
20,79,app balance,True,Victoria
21,34,app balance,False,Rachel
22,58,,False,Tom
23,141,debit card,False,Bob
24,162,credit card,False,Rachel
25,134,,False,Bob
26,53,app balance,True,Mary
27,21,app balance,False,Emma
28,61,,False,Mahmoud
29,29,credit card,False,Margaret
30,83,credit card,False,Margaret
31,35,,False,Yumi
32,16,debit card,True,Mary
33,29,credit card,False,Amelia
34,50,,False,Rachel
35,42,debit card,False,Peter
36,123,app balance,False,Wilson
37,80,,False,Rachel
38,45,debit card,False,Jerry
39,164,app balance,False,Emma
40,14,,False,Victoria
41,36,credit card,False,Bob
42,44,app balance,False,Wilson
43,53,,True,Amelia
44,73,debit card,False,Mahmoud
45,117,debit card,True,Tom
46,120,,False,Jerry
47,125,credit card,False,Wilson
48,166,debit card,False,Rachel
49,94,,False,Margaret
50,16,credit card,False,Isabella
51,84,app balance,False,Amelia
52,93,,False,Isabella
53,112,credit card,False,Mahmoud
54,34,app balance,False,Diego
55,86,,False,Emma
56,65,credit card,False,Amelia
57,164,,False,Isabella
58,109,app balance,False,Wilson
59,12,,False,Diego
60,44,credit card,True,Amelia
61,155,,False,Amelia
62,119,credit card,False,Svetlana
63,138,,True,Svetlana
64,48,debit card,False,Rachel
65,147,,True,Peter
66,151,app balance,False,Victoria
67,9,,False,Margaret
68,94,debit card,True,Wilson
69,115,,True,Amelia
70,82,debit card,False,Jerry
71,117,,False,Margaret
72,93,credit card,False,Mary
73,108,,True,Diego
74,105,credit card,False,Mary
75,60,,False,Mary
76,115,app balance,False,Bob
77,175,,False,Margaret
78,168,app balance,False,Victoria
79,42,,True,Wilson
80,155,credit card,False,Yumi
81,157,,False,Isabella
82,51,debit card,False,Peter
83,79,,False,Isabella
84,169,debit card,False,Svetlana
85,83,,False,Mahmoud
86,46,debit card,False,Bob
87,112,,False,Amelia
88,27,credit card,False,Svetlana
89,30,,True,Mary
90,94,app balance,False,Yumi
91,171,,False,Amelia
92,138,,False,Peter
93,101,,False,Peter
94,79,,False,Peter
95,30,,False,Mahmoud
96,11,,True,Jerry
97,6,,False,Victoria
98,153,,False,Amelia
99,4,,True,Rachel
100,7,,True,Jerry
101,142,,True,Rachel
102,52,,False,Wilson
103,132,,False,Wilson
104,35,,False,Bob
105,175,,False,Emma
106,109,,False,Yumi
107,13,,False,Victoria
108,56,,False,Mahmoud
109,2,,True,Isabella
110,134,,False,Mahmoud
111,124,,False,Svetlana
112,111,,False,Diego
113,144,,True,Yumi
114,84,,False,Victoria
115,117,,False,Mary
116,51,,False,Mary
117,103,,False,Mary
118,71,,False,Isabella
119,162,,False,Diego
120,35,,False,Svetlana
121,6,,True,Svetlana
122,150,,False,Margaret
123,135,,False,Amelia
124,67,,False,Tom
125,23,,True,Bob
126,46,,True,Margaret
127,71,,False,Peter
128,84,,False,Jerry
129,14,,False,Amelia
130,144,,False,Isabella
131,105,,False,Svetlana
132,126,,False,Tom
133,71,,True,Peter
134,16,,False,Jerry
135,18,,True,Victoria
136,112,,False,Tom
137,39,,False,Emma
138,106,,True,Yumi
139,86,,True,Svetlana
140,99,,True,Bob
141,115,,False,Emma
142,4,,False,Isabella
143,13,,False,Jerry
144,59,,False,Isabella
145,159,,True,Tom
146,45,,False,Jerry
147,167,,False,Yumi
148,130,,False,Diego
149,134,,False,Mary
150,30,,False,Amelia
151,17,,False,Jerry
152,188,,False,Peter
153,32,,False,Svetlana
154,115,,True,Mahmoud
155,120,,True,Yumi
156,52,,True,Emma
157,149,,False,Peter
158,105,,True,Svetlana
159,170,,True,Wilson
160,115,,False,Tom
161,124,,False,Victoria
162,106,,False,Margaret
163,77,,False,Svetlana
164,128,,True,Amelia
165,124,,False,Amelia
166,104,,True,Mary
167,43,,False,Tom
168,96,,False,Svetlana
169,50,,True,Yumi
170,128,,False,Svetlana
171,68,,False,Svetlana
172,40,,False,Diego
173,145,,False,Mary
174,180,,True,Wilson
175,30,,True,Jerry
176,150,,True,Tom
177,75,,False,Emma
178,65,,True,Rachel
179,65,,False,Victoria
180,109,,False,Amelia
181,52,,False,Emma
182,198,,False,Mahmoud
183,158,debit card,False,Victoria
184,36,app balance,False,Bob
185,33,app balance,True,Tom
186,106,app balance,True,Rachel
