"Speaker","Utterance"
"dialogue_id:"," 92_00017"
"USER","""show attractions portland"""
"SYSTEM","APICall(method='FindAttractions', parameters={ location: Portland })"
"Tool","""Search Results\n[{ attraction_name: Crystal Springs Rhododendron Garden, category: Park, free_entry: True, good_for_kids: True, location: Portland, phone_number: 503-771-8386 }, { attraction_name: Lan Su Chinese Garden, category: Park, free_entry: True, good_for_kids: True, location: Portland, phone_number: 503-228-8131 }]\nEnd Search Results"""
"SYSTEM","""crystal springs rhododendron garden park"""
"USER","""is it free?"""
"SYSTEM","""yes it is"""
"USER","""okay that works"""
"SYSTEM","""tell me check in"""
"USER","""comfort inn portland for 2 days 8th of this month"""
"SYSTEM","""comfort inn & suites portland airport march 8th 2 days portland 1"""
"USER","""tell me phone"""
"SYSTEM","APICall(method='ReserveHotel', parameters={ check_in_date: 2019-03-08, destination: Portland, hotel_name: Comfort Inn & Suites Portland Airport, number_of_days: 2, number_of_rooms: 1 })"
"Tool","""Search Results\n[{ check_in_date: 2019-03-08, destination: Portland, has_wifi: True, hotel_name: Comfort Inn & Suites Portland Airport, number_of_days: 2, number_of_rooms: 1, phone_number: +1 503-252-6397, price_per_night: 64, star_rating: 2, street_address: 5019 Northeast 102nd Avenue }]\nEnd Search Results"""
"SYSTEM","""2 stars +1 503-252-6397"""
"USER","""thanks a lot"""
"SYSTEM","""anything else then?"""
"USER","""No thank you"""
"SYSTEM","""bye bye now"""
