"Speaker","Utterance"
"dialogue_id:"," 44_00000"
"USER","""I'm undecided on what event I want to attend next. Name some off for me and I'll decide on one."""
"SYSTEM","""Are there any specific events or locations that you are looking for?"""
"USER","""I'd be interested in attending the Golden Bears Vs Trojans events. It's an anticipated match-up. As far as location is concerned, I'm looking for something in Berkeley."""
"SYSTEM","APICall(method='GetEventDates', parameters={ city: Berkeley, event_name: Golden Bears Vs Trojans })"
"Tool","""Search Results\n[{ city: Berkeley, date: 2019-03-02, event_name: Golden Bears Vs Trojans, time: 17:00, venue: California Memorial Stadium, venue_address: 2227 Piedmont Avenue }, { city: Berkeley, date: 2019-03-04, event_name: Golden Bears Vs Trojans, time: 17:30, venue: California Memorial Stadium, venue_address: 2227 Piedmont Avenue }]\nEnd Search Results"""
"SYSTEM","""The Golden Bears Vs Trojans event will take place on March 2nd at the California Memorial Stadium."""
"USER","""Sounds good, but I was wondering if there are any other events. What about Jordan Rakei? Will they be performing in LAX anytime soon?"""
"SYSTEM","APICall(method='GetEventDates', parameters={ city: Los Angeles, event_name: Jordan Rakei })"
"Tool","""Search Results\n[{ city: Los Angeles, date: 2019-03-01, event_name: Jordan Rakei, time: 17:00, venue: Regent Theater DTLA, venue_address: 448 South Main Street }, { city: Los Angeles, date: 2019-03-04, event_name: Jordan Rakei, time: 18:00, venue: Regent Theater DTLA, venue_address: 448 South Main Street }]\nEnd Search Results"""
"SYSTEM","""There is an event on 9 days in the near future. On March 1st, Jordan Rakei will be at the Regent Theater DTLA."""
"USER","""Tell me what the start time is."""
"SYSTEM","""The scheduled event will begin at 5 pm."""
"USER","""Tell me where the Regent Theater DTLA is located."""
"SYSTEM","""The Regent Theater is located at 448 South Main Street."""
"USER","""I'm not sure if that day will work. What about other days for that event?"""
"SYSTEM","""Another day for Jordan Rakei is March 4th at the Regent Theater DTLA."""
"USER","""That sounds like it would fit my schedule better."""
"SYSTEM","""Do you want tickets for the event on this date?"""
"USER","""No I don't think I'll purchase those just yet."""
"SYSTEM","""Can I assist you with anything else today?"""
"USER","""I'll need transportation there. Can you find me tickets for the bus with a departure time of 7:15 in the morning?"""
"SYSTEM","""Where will you be departing from?"""
"USER","""I will be departing from San Francisco that day."""
"SYSTEM","""What day would you like to leave at 7:15? Is March 4th an acceptable date?"""
"USER","""That won't work for me. I am planning to make the trip later today."""
"SYSTEM","""How many tickets will you be needing then?"""
"USER","""Please purchase 1 ticket for me."""
"SYSTEM","""Concerning your trip, you want to depart San Francisco to head to Los Angeles on March 1st at 7:15 am. If so, I will purchase 1 Economy class ticket for you."""
"USER","""Yes that works just fine for me."""
"SYSTEM","APICall(method='BuyBusTicket', parameters={ departure_date: 2019-03-01, departure_time: 07:15, destination: Los Angeles, fare_type: Economy, group_size: 1, origin: San Francisco })"
"Tool","""Search Results\n[{ departure_date: 2019-03-01, departure_time: 07:00, destination: Los Angeles, destination_station_name: Union Station, fare_type: Economy, group_size: 1, origin: San Francisco, origin_station_name: Salesforce Transit Center, price: 50 }]\nEnd Search Results"""
"SYSTEM","""I was not able to complete that transaction. Would a bus at 7 am for $50 be acceptable?"""
"USER","""Not what I had in mind but it will have to do."""
"SYSTEM","APICall(method='BuyBusTicket', parameters={ departure_date: 2019-03-01, departure_time: 07:00, destination: Los Angeles, fare_type: Economy, group_size: 1, origin: San Francisco })"
"Tool","""Search Results\n[{ departure_date: 2019-03-01, departure_time: 07:00, destination: Los Angeles, destination_station_name: Union Station, fare_type: Economy, group_size: 1, origin: San Francisco, origin_station_name: Salesforce Transit Center, price: 50 }]\nEnd Search Results"""
"SYSTEM","""Your reservation has been confirmed."""
"USER","""Okay back to the event. Please purchase two tickets for the event for me."""
"SYSTEM","""Confirm the following. You want 2 tickets for Jordan Rakei on March 4th in Los Angeles?"""
"USER","""Yes that information is correct."""
"SYSTEM","APICall(method='BuyEventTickets', parameters={ city: Los Angeles, date: 2019-03-04, event_name: Jordan Rakei, number_of_tickets: 2 })"
"Tool","""Search Results\n[{ city: Los Angeles, date: 2019-03-04, event_name: Jordan Rakei, number_of_tickets: 2, time: 18:00, venue: Regent Theater DTLA, venue_address: 448 South Main Street }]\nEnd Search Results"""
"SYSTEM","""I have booked your tickets and the reservation is confirmed."""
"USER","""What's the location of the venue again?"""
"SYSTEM","""The event will be taking place at 448 South Main Street."""
"USER","""Okay thank you for the help."""
"SYSTEM","""Do you need help with anything else?"""
"USER","""No thank you. I appreciate the help you provided."""
"SYSTEM","""You are very welcome. Have a good day."""
