"Speaker","Utterance"
"dialogue_id:"," 87_00093"
"USER","""Can you help me look for an apartment?"""
"SYSTEM","""Sure. In which area do you want the apartment to be in?"""
"USER","""Find me one in Santa Clara."""
"SYSTEM","""How many bedrooms do you need?"""
"USER","""A three bedrooms apartment would be great."""
"SYSTEM","APICall(method='FindApartment', parameters={ area: Santa Clara, number_of_beds: 3 })"
"Tool","""Search Results\n[{ address: 1000 Kiely Boulevard, area: Santa Clara, furnished: False, number_of_baths: 3, number_of_beds: 3, pets_allowed: True, phone_number: 669-206-0300, property_name: 1000 Kiely, rent: 4300 }, { address: 900 Pepper Tree Lane, area: Santa Clara, furnished: False, number_of_baths: 2, number_of_beds: 3, pets_allowed: True, phone_number: 866-472-2645, property_name: Alderwood Apartments, rent: 3650 }]\nEnd Search Results"""
"SYSTEM","""I would recommend the 3 bedroom and 3 bathroom 1000 Kiely, priced at $4,300 per month. The address is 1000 Kiely Boulevard."""
"USER","""This one sounds good."""
"SYSTEM","""Would you like me to schedule a property visit for you?"""
"USER","""Yes please. Make it on the 13th of this month."""
"SYSTEM","""Can you please confirm that you want to schedule a visit to 1000 Kiely on March 13th?"""
"USER","""Yes, that's correct. Do you know if they allow pets?"""
"SYSTEM","APICall(method='ScheduleVisit', parameters={ property_name: 1000 Kiely, visit_date: 2019-03-13 })"
"Tool","""Search Results\n[{ address: 1000 Kiely Boulevard, furnished: False, number_of_baths: 3, number_of_beds: 3, pets_allowed: True, phone_number: 669-206-0300, property_name: 1000 Kiely, rent: 4300, visit_date: 2019-03-13 }]\nEnd Search Results"""
"SYSTEM","""Pets are allowed and I've successfully scheduled your visit to the property."""
"USER","""Perfect. Please get me a cab for this visit!"""
"SYSTEM","""How many people will be riding?"""
"USER","""Just 1, me. It's OK if you find a shared ride."""
"SYSTEM","""Can you please confirm that you need a shared ride for 1 to 1000 Kiely Boulevard?"""
"USER","""Yes, that's correct! How much for the ride?"""
"SYSTEM","APICall(method='GetRide', parameters={ destination: 1000 Kiely Boulevard, number_of_riders: 1, shared_ride: True })"
"Tool","""Search Results\n[{ approximate_ride_duration: 22, destination: 1000 Kiely Boulevard, number_of_riders: 1, ride_fare: 14.05, shared_ride: True }]\nEnd Search Results"""
"SYSTEM","""Your cab is on its way. Total cab fare is $14.05."""
"USER","""Thanks a lot for everything. That will be all for now."""
"SYSTEM","""Have a good one!"""
