,car_name,dropoff_date,pickup_city,pickup_date,pickup_location,pickup_time,total_price,type
0,Altima,2019-03-07,New York,2019-03-04,Port Authority Station,10:30,84,Standard
1,Camry,2019-03-07,New York,2019-03-04,JFK International Airport,10:30,99,Standard
2,Civic,2019-03-07,New York,2019-03-04,JFK International Airport,10:30,90,Standard
3,Corolla,2019-03-07,New York,2019-03-04,JFK International Airport,10:30,102,Standard
4,Elantra,2019-03-07,New York,2019-03-04,Port Authority Station,10:30,93,Standard
5,Prius,2019-03-07,New York,2019-03-04,Port Authority Station,10:30,81,Standard
6,Accord,2019-03-07,New York,2019-03-06,Grand Central Station,18:30,30,Standard
7,Camry,2019-03-07,New York,2019-03-06,JFK International Airport,18:30,32,Standard
8,Civic,2019-03-07,New York,2019-03-06,JFK International Airport,18:30,35,Standard
9,Corolla,2019-03-07,New York,2019-03-06,Grand Central Station,18:30,29,Standard
10,Elantra,2019-03-07,New York,2019-03-06,JFK International Airport,18:30,30,Standard
11,Accord,2019-03-14,Phoenix,2019-03-09,Sky Harbor International Airport,16:30,165,Standard
12,Camry,2019-03-14,Phoenix,2019-03-09,Sky Harbor International Airport,16:30,170,Standard
13,Prius,2019-03-14,Phoenix,2019-03-09,Sky Harbor International Airport,16:30,160,Standard
14,Accord,2019-03-14,,2019-03-09,Sky Harbor International Airport,16:30,165,Standard
15,Accord,2019-03-07,Sacramento,2019-03-04,SMF International Airport,18:00,102,Standard
16,Camry,2019-03-07,Sacramento,2019-03-04,SMF International Airport,18:00,102,Standard
17,Civic,2019-03-07,Sacramento,2019-03-04,SMF International Airport,18:00,108,Standard
18,Fusion,2019-03-07,Sacramento,2019-03-04,SMF International Airport,18:00,96,Standard
19,Accord,2019-03-07,New York,2019-03-04,Grand Central Station,18:00,69,Standard
20,Altima,2019-03-07,New York,2019-03-04,Port Authority Station,18:00,84,Standard
21,Camry,2019-03-07,New York,2019-03-04,JFK International Airport,18:00,99,Standard
22,Civic,2019-03-07,New York,2019-03-04,JFK International Airport,18:00,90,Standard
23,Corolla,2019-03-07,New York,2019-03-04,Grand Central Station,18:00,66,Standard
24,Elantra,2019-03-07,New York,2019-03-04,Port Authority Station,18:00,93,Standard
25,Prius,2019-03-07,New York,2019-03-04,Port Authority Station,18:00,81,Standard
26,Altima,2019-03-07,,2019-03-04,Port Authority Station,18:00,84,Standard
27,Camry,2019-03-06,Toronto,2019-03-05,Toronto Pearson International Airport,11:00,35,Standard
28,Cooper,2019-03-06,Toronto,2019-03-05,Toronto Pearson International Airport,11:00,29,Compact
29,Cruze,2019-03-06,Toronto,2019-03-05,Toronto Pearson International Airport,11:00,35,Standard
30,Equinox,2019-03-06,Toronto,2019-03-05,Toronto Pearson International Airport,11:00,53,Full-size
