"Speaker","Utterance"
"dialogue_id:"," 15_00107"
"USER","""I would like to find a salon."""
"SYSTEM","""In which city do you prefer the salon to be located?"""
"USER","""In SFO will be great."""
"SYSTEM","APICall(method='FindProvider', parameters={ city: San Francisco })"
"Tool","""Search Results\n[{ average_rating: 4.80, city: San Francisco, is_unisex: True, phone_number: 415-286-4371, street_address: 1532 20th Street, stylist_name: 1512 Barber Shop }, { average_rating: 4.50, city: San Francisco, is_unisex: True, phone_number: 415-824-1335, street_address: 2737 20th Street, stylist_name: 20Th Salon And Barber }]\nEnd Search Results"""
"SYSTEM","""A nice salon in San Francisco is 1512 Barber Shop."""
"USER","""Sounds really good.Find for me a therapist around there."""
"SYSTEM","""What type of therapist do you need?"""
"USER","""I would need a Psychologist."""
"SYSTEM","""In San Francisco you want to search?"""
"USER","""Yes, is good."""
"SYSTEM","APICall(method='FindProvider', parameters={ city: San Francisco, type: Psychologist })"
"Tool","""Search Results\n[{ address: 100 Masonic Avenue, city: San Francisco, phone_number: 415-346-2356, therapist_name: Adam E. Pollock, type: Psychologist }, { address: 625 Potrero Avenue, city: San Francisco, phone_number: 415-502-8336, therapist_name: Deardorff Julianna, type: Psychologist }]\nEnd Search Results"""
"SYSTEM","""You can try a Psychologist in San Francisco called Adam E. Pollock."""
"USER","""Where can I find and what is the contact phone number."""
"SYSTEM","""100 Masonic Avenue is the address and 415-346-2356 is the phone number."""
"USER","""Sounds okay for me."""
"SYSTEM","""You need an appointment?"""
"USER","""Yes I would like to be at five in the evening and if is possible in 12th of this month."""
"SYSTEM","""You want to book an appointment at Adam E. Pollock on March 12th at 5 pm.Is OK?"""
"USER","""No,try to make it on March 8th at 10:30 in the morning."""
"SYSTEM","""You want to be on March 8th at 10:30 am.I'm right?"""
"USER","""Yes is okay."""
"SYSTEM","APICall(method='BookAppointment', parameters={ appointment_date: 2019-03-08, appointment_time: 10:30, therapist_name: Adam E. Pollock })"
"Tool","""Search Results\n[{ address: 100 Masonic Avenue, appointment_date: 2019-03-08, appointment_time: 10:30, phone_number: 415-346-2356, therapist_name: Adam E. Pollock }]\nEnd Search Results"""
"SYSTEM","""The appointment is done and you should get an confirmation email soon."""
"USER","""Make for me an appointment at the salon that you found in that day."""
"SYSTEM","""At what time you want to be?"""
"USER","""Make it at five in the evening."""
"SYSTEM","""You want an appointment at 1512 Barber Shop on March 8th at 5 pm.Is that correct?"""
"USER","""Yes, very good.Tell me if is a unisex salon and what is the average rating."""
"SYSTEM","APICall(method='BookAppointment', parameters={ appointment_date: 2019-03-08, appointment_time: 17:00, stylist_name: 1512 Barber Shop })"
"Tool","""Search Results\n[{ appointment_date: 2019-03-08, appointment_time: 17:00, average_rating: 4.80, is_unisex: True, phone_number: 415-286-4371, street_address: 1532 20th Street, stylist_name: 1512 Barber Shop }]\nEnd Search Results"""
"SYSTEM","""The appointment is done.Yes, it is an unisex salon with average rating 4.8."""
"USER","""Thank you.That's all!"""
"SYSTEM","""Have a great day!"""
