,car_name,car_type,dropoff_date,pickup_city,pickup_date,pickup_location,pickup_time,total_price
0,Chevrolet Cruze,Standard,2019-03-13,Mexico City,2019-03-10,Estacion Buenavista,09:30,51
1,Honda Civic,Standard,2019-03-13,Mexico City,2019-03-10,Estacion Buenavista,09:30,66
2,Toyota Camry,Standard,2019-03-13,Mexico City,2019-03-10,Estacion Buenavista,09:30,60
3,Toyota Prius,Standard,2019-03-13,Mexico City,2019-03-10,Estacion Buenavista,09:30,60
4,Chevrolet Cruze,Standard,2019-03-13,,2019-03-10,Estacion Buenavista,09:30,51
5,Chevrolet Equinox,Full-size,2019-03-09,Toronto,2019-03-05,Toronto Pearson International Airport,17:00,196
6,Hyundai Tucson,Full-size,2019-03-09,Toronto,2019-03-05,Toronto Pearson International Airport,17:00,168
7,Subaru Forester,Full-size,2019-03-09,Toronto,2019-03-05,Toronto Pearson International Airport,17:00,196
8,Honda Fit,Compact,2019-03-09,Toronto,2019-03-05,Toronto Pearson International Airport,17:00,112
9,Kia Forte,Compact,2019-03-09,Toronto,2019-03-05,Toronto Pearson International Airport,17:00,116
10,Mini Cooper,Compact,2019-03-09,Toronto,2019-03-05,Toronto Pearson International Airport,17:00,120
11,Volkswagen GTI,Compact,2019-03-09,Toronto,2019-03-05,Toronto Pearson International Airport,17:00,96
12,Honda Accord,Standard,2019-03-09,New York,2019-03-07,Grand Central Station,13:30,64
13,Honda Civic,Standard,2019-03-09,New York,2019-03-07,JFK International Airport,13:30,68
14,Hyundai Elantra,Standard,2019-03-09,New York,2019-03-07,Port Authority Station,13:30,64
15,Nissan Altima,Standard,2019-03-09,New York,2019-03-07,Port Authority Station,13:30,60
16,Toyota Camry,Standard,2019-03-09,New York,2019-03-07,JFK International Airport,13:30,62
17,Toyota Corolla,Standard,2019-03-09,New York,2019-03-07,Grand Central Station,13:30,56
18,Toyota Prius,Standard,2019-03-09,New York,2019-03-07,Port Authority Station,13:30,60
19,Hyundai Elantra,Standard,2019-03-08,New York,2019-03-02,Port Authority Station,15:00,144
20,Toyota Corolla,Standard,2019-03-08,New York,2019-03-02,Grand Central Station,15:00,192
21,Hyundai Tucson,Full-size,2019-03-08,Anaheim,2019-03-02,Anaheim Intermodal Center,15:00,216
22,Hyundai Tucson,Full-size,2019-03-08,,2019-03-02,Anaheim Intermodal Center,15:00,216
23,Chevrolet Cruze,Standard,2019-03-05,London,2019-03-03,Heathrow International Airport,12:00,58
24,Honda Accord,Standard,2019-03-05,London,2019-03-03,Gatwick International Airport,12:00,68
25,Hyundai Elantra,Standard,2019-03-05,London,2019-03-03,Heathrow International Airport,12:00,70
26,Nissan Altima,Standard,2019-03-05,London,2019-03-03,Heathrow International Airport,12:00,72
27,Toyota Prius,Standard,2019-03-05,London,2019-03-03,Heathrow International Airport,12:00,66
28,Chevrolet Cruze,Standard,2019-03-05,,2019-03-03,Heathrow International Airport,12:00,58
29,Chevrolet Cruze,Standard,2019-03-13,Mexico City,2019-03-11,Estacion Buenavista,11:00,38
30,Honda Civic,Standard,2019-03-13,Mexico City,2019-03-11,Estacion Buenavista,11:00,36
31,Toyota Camry,Standard,2019-03-13,Mexico City,2019-03-11,Estacion Buenavista,11:00,38
32,Toyota Prius,Standard,2019-03-13,Mexico City,2019-03-11,Estacion Buenavista,11:00,40
33,Chevrolet Cruze,Standard,2019-03-07,Anaheim,2019-03-04,John Wayne Airport,16:30,99
34,Ford Fusion,Standard,2019-03-07,Anaheim,2019-03-04,John Wayne Airport,16:30,78
35,Honda Accord,Standard,2019-03-07,Anaheim,2019-03-04,John Wayne Airport,16:30,102
36,Hyundai Elantra,Standard,2019-03-07,Anaheim,2019-03-04,Anaheim Intermodal Center,16:30,96
37,Nissan Altima,Standard,2019-03-07,Anaheim,2019-03-04,John Wayne Airport,16:30,99
38,Toyota Camry,Standard,2019-03-07,Anaheim,2019-03-04,Anaheim Intermodal Center,16:30,87
39,Chevrolet Bolt,Compact,2019-03-07,Anaheim,2019-03-02,John Wayne Airport,16:30,165
40,Honda Fit,Compact,2019-03-07,Anaheim,2019-03-02,Anaheim Intermodal Center,16:30,105
41,Kia Forte,Compact,2019-03-07,Anaheim,2019-03-02,Anaheim Intermodal Center,16:30,130
42,Volkswagen GTI,Compact,2019-03-07,Anaheim,2019-03-02,John Wayne Airport,16:30,120
43,Volkswagen Golf,Compact,2019-03-07,Anaheim,2019-03-02,John Wayne Airport,16:30,175
44,Honda Fit,Compact,2019-03-07,,2019-03-02,Anaheim Intermodal Center,16:30,105
45,Hyundai Elantra,Standard,2019-03-11,Seattle,2019-03-05,King Street Station,14:00,168
46,Toyota Prius,Standard,2019-03-11,Seattle,2019-03-05,King Street Station,14:00,168
47,Toyota Prius,Standard,2019-03-11,,2019-03-05,King Street Station,14:00,168
48,Chevrolet Bolt,Compact,2019-03-11,San Francisco,2019-03-07,Salesforce Transit Center,17:00,92
49,Kia Forte,Compact,2019-03-11,San Francisco,2019-03-07,SFO International Airport,17:00,112
50,Mini Cooper,Compact,2019-03-11,San Francisco,2019-03-07,SFO International Airport,17:00,88
51,Nissan Leaf,Compact,2019-03-11,San Francisco,2019-03-07,SFO International Airport,17:00,128
52,Volkswagen GTI,Compact,2019-03-11,San Francisco,2019-03-07,SFO International Airport,17:00,104
53,Honda Accord,Standard,2019-03-12,New York,2019-03-10,Grand Central Station,15:30,70
54,Honda Civic,Standard,2019-03-12,New York,2019-03-10,JFK International Airport,15:30,60
55,Hyundai Elantra,Standard,2019-03-12,New York,2019-03-10,Port Authority Station,15:30,70
56,Nissan Altima,Standard,2019-03-12,New York,2019-03-10,Port Authority Station,15:30,62
57,Toyota Camry,Standard,2019-03-12,New York,2019-03-10,JFK International Airport,15:30,58
58,Toyota Corolla,Standard,2019-03-12,New York,2019-03-10,Grand Central Station,15:30,70
59,Toyota Prius,Standard,2019-03-12,New York,2019-03-10,Port Authority Station,15:30,70
60,Honda Civic,Standard,2019-03-12,,2019-03-10,JFK International Airport,15:30,60
61,Honda Accord,Standard,2019-03-09,Washington,2019-03-07,Union Station,13:30,52
62,Honda Civic,Standard,2019-03-09,Washington,2019-03-07,Union Station,13:30,62
63,Toyota Camry,Standard,2019-03-09,Washington,2019-03-07,Dulles International Airport,13:30,60
64,Toyota Prius,Standard,2019-03-09,Washington,2019-03-07,Dulles International Airport,13:30,70
65,Honda Accord,Standard,2019-03-09,,2019-03-07,Union Station,13:30,52
66,Chevrolet Cruze,Standard,2019-03-11,Mexico City,2019-03-07,Estacion Buenavista,09:30,80
67,Honda Civic,Standard,2019-03-11,Mexico City,2019-03-07,Estacion Buenavista,09:30,72
68,Toyota Camry,Standard,2019-03-11,Mexico City,2019-03-07,Estacion Buenavista,09:30,72
69,Toyota Prius,Standard,2019-03-11,Mexico City,2019-03-07,Estacion Buenavista,09:30,76
70,Chevrolet Bolt,Compact,2019-03-05,Vancouver,2019-03-03,YVR International Airport,16:30,54
71,Chevrolet Cruze,Standard,2019-03-05,Vancouver,2019-03-03,Pacific Central Station,16:30,66
72,Chevrolet Equinox,Full-size,2019-03-05,Vancouver,2019-03-03,Pacific Central Station,16:30,74
73,Honda Accord,Standard,2019-03-05,Vancouver,2019-03-03,YVR International Airport,16:30,74
74,Honda Fit,Compact,2019-03-05,Vancouver,2019-03-03,YVR International Airport,16:30,60
75,Hyundai Elantra,Standard,2019-03-05,Vancouver,2019-03-03,YVR International Airport,16:30,64
76,Hyundai Tucson,Full-size,2019-03-05,Vancouver,2019-03-03,Pacific Central Station,16:30,74
77,Kia Forte,Compact,2019-03-05,Vancouver,2019-03-03,Pacific Central Station,16:30,56
78,Mini Cooper,Compact,2019-03-05,Vancouver,2019-03-03,YVR International Airport,16:30,56
79,Nissan Altima,Standard,2019-03-05,Vancouver,2019-03-03,YVR International Airport,16:30,72
80,Chevrolet Bolt,Compact,2019-03-11,Vancouver,2019-03-09,YVR International Airport,16:30,60
81,Chevrolet Cruze,Standard,2019-03-11,Vancouver,2019-03-09,Pacific Central Station,16:30,58
82,Chevrolet Equinox,Full-size,2019-03-11,Vancouver,2019-03-09,Pacific Central Station,16:30,88
83,Honda Accord,Standard,2019-03-11,Vancouver,2019-03-09,YVR International Airport,16:30,68
84,Honda Fit,Compact,2019-03-11,Vancouver,2019-03-09,YVR International Airport,16:30,50
85,Hyundai Elantra,Standard,2019-03-11,Vancouver,2019-03-09,YVR International Airport,16:30,64
86,Hyundai Tucson,Full-size,2019-03-11,Vancouver,2019-03-09,Pacific Central Station,16:30,78
87,Kia Forte,Compact,2019-03-11,Vancouver,2019-03-09,Pacific Central Station,16:30,56
88,Mini Cooper,Compact,2019-03-11,Vancouver,2019-03-09,YVR International Airport,16:30,48
89,Chevrolet Cruze,Standard,2019-03-11,,2019-03-09,Pacific Central Station,16:30,58
90,Honda Accord,Standard,2019-03-09,Chicago,2019-03-04,O'Hare International Airport,20:00,175
91,Nissan Altima,Standard,2019-03-09,Chicago,2019-03-04,O'Hare International Airport,20:00,155
92,Toyota Prius,Standard,2019-03-09,Chicago,2019-03-04,O'Hare International Airport,20:00,165
93,Honda Accord,Standard,2019-03-09,,2019-03-04,O'Hare International Airport,20:00,175
94,Chevrolet Cruze,Standard,2019-03-09,Anaheim,2019-03-06,John Wayne Airport,15:30,99
95,Ford Fusion,Standard,2019-03-09,Anaheim,2019-03-06,John Wayne Airport,15:30,93
96,Honda Accord,Standard,2019-03-09,Anaheim,2019-03-06,John Wayne Airport,15:30,102
97,Hyundai Elantra,Standard,2019-03-09,Anaheim,2019-03-06,Anaheim Intermodal Center,15:30,99
98,Nissan Altima,Standard,2019-03-09,Anaheim,2019-03-06,John Wayne Airport,15:30,102
99,Toyota Camry,Standard,2019-03-09,Anaheim,2019-03-06,Anaheim Intermodal Center,15:30,72
100,Honda Accord,Standard,2019-03-09,,2019-03-06,John Wayne Airport,15:30,102
101,Chevrolet Equinox,Full-size,2019-03-10,Sacramento,2019-03-08,SMF International Airport,15:00,96
102,Honda CR-V,Full-size,2019-03-10,Sacramento,2019-03-08,Sacramento Valley Station,15:00,76
103,Nissan Rogue,Full-size,2019-03-10,Sacramento,2019-03-08,Sacramento Valley Station,15:00,86
104,Toyota Highlander,Full-size,2019-03-10,Sacramento,2019-03-08,SMF International Airport,15:00,86
105,Nissan Rogue,Full-size,2019-03-10,,2019-03-08,Sacramento Valley Station,15:00,86
106,Honda Accord,Standard,2019-03-05,New York,2019-03-04,Grand Central Station,14:00,24
107,Honda Civic,Standard,2019-03-05,New York,2019-03-04,JFK International Airport,14:00,33
108,Hyundai Elantra,Standard,2019-03-05,New York,2019-03-04,Port Authority Station,14:00,31
109,Nissan Altima,Standard,2019-03-05,New York,2019-03-04,Port Authority Station,14:00,26
110,Toyota Camry,Standard,2019-03-05,New York,2019-03-04,JFK International Airport,14:00,36
111,Toyota Corolla,Standard,2019-03-05,New York,2019-03-04,Grand Central Station,14:00,27
112,Toyota Prius,Standard,2019-03-05,New York,2019-03-04,Port Authority Station,14:00,27
113,Chevrolet Bolt,Compact,2019-03-05,New York,2019-03-04,Port Authority Station,15:00,24
114,Honda Fit,Compact,2019-03-05,New York,2019-03-04,Grand Central Station,15:00,25
115,Kia Forte,Compact,2019-03-05,New York,2019-03-04,Port Authority Station,15:00,28
116,Mini Cooper,Compact,2019-03-05,New York,2019-03-04,JFK International Airport,15:00,28
117,Nissan Leaf,Compact,2019-03-05,New York,2019-03-04,Port Authority Station,15:00,22
118,Volkswagen Golf,Compact,2019-03-05,New York,2019-03-04,Port Authority Station,15:00,30
119,Honda Fit,Compact,2019-03-05,,2019-03-04,Grand Central Station,15:00,25
120,Honda Civic,Standard,2019-03-13,Los Angeles,2019-03-08,Union Station,10:00,165
121,Toyota Corolla,Standard,2019-03-13,Los Angeles,2019-03-08,Union Station,10:00,150
122,Honda Civic,Standard,2019-03-13,,2019-03-08,Union Station,10:00,165
123,Chevrolet Cruze,Standard,2019-03-10,Los Angeles,2019-03-09,Union Station,10:00,37
124,Honda Civic,Standard,2019-03-10,Los Angeles,2019-03-09,Union Station,10:00,32
125,Honda Fit,Compact,2019-03-10,Los Angeles,2019-03-09,Union Station,10:00,20
126,Hyundai Elantra,Standard,2019-03-10,Los Angeles,2019-03-09,Union Station,10:00,28
127,Jeep Cherokee,Full-size,2019-03-10,Los Angeles,2019-03-09,Union Station,10:00,43
128,Toyota Corolla,Standard,2019-03-10,Los Angeles,2019-03-09,Union Station,10:00,31
129,Toyota Highlander,Full-size,2019-03-10,Los Angeles,2019-03-09,Union Station,10:00,46
130,Toyota RAV4,Full-size,2019-03-10,Los Angeles,2019-03-09,Union Station,10:00,42
131,Volkswagen GTI,Compact,2019-03-10,Los Angeles,2019-03-09,Union Station,10:00,23
132,Chevrolet Cruze,Standard,2019-03-10,,2019-03-09,Union Station,10:00,37
133,Ford Fusion,Standard,2019-03-04,Seattle,2019-03-01,King Street Station,18:30,93
134,Honda Civic,Standard,2019-03-04,Seattle,2019-03-01,King Street Station,18:30,87
135,Hyundai Elantra,Standard,2019-03-04,Seattle,2019-03-01,King Street Station,18:30,69
136,Toyota Prius,Standard,2019-03-04,Seattle,2019-03-01,King Street Station,18:30,87
137,Hyundai Elantra,Standard,2019-03-04,,2019-03-01,King Street Station,18:30,69
