"Speaker","Utterance"
"dialogue_id:"," 100_00109"
"USER","""Hello! please can you look my availability in my calendar?"""
"SYSTEM","""When do you wish to know your availability?"""
"USER","""Please can you look for Saturday this week?"""
"SYSTEM","APICall(method='GetAvailableTime', parameters={ event_date: 2019-03-02 })"
"Tool","""Search Results\n[{ available_end_time: 23:00, available_start_time: 18:30, event_date: 2019-03-02 }]\nEnd Search Results"""
"SYSTEM","""Sure, you've an empty slot from 6:30 pm to 11 pm on March 2nd."""
"USER","""Sounds good. please can you find something interesting stuff to do on March 2nd?"""
"SYSTEM","""Sure. Are you interested in Music or Sports or anything else in particular?"""
"USER","""Yup, I like Sports events and looking for any upcoming events around Washington D.C."""
"SYSTEM","APICall(method='FindEvents', parameters={ category: Sports, city_of_event: Washington D.C., date: 2019-03-02 })"
"Tool","""Search Results\n[{ address_of_location: 100 Potomac Avenue Southwest, category: Sports, city_of_event: Washington D.C., date: 2019-03-02, event_location: Audi Field, event_name: Dc United Vs Revolution, subcategory: Football, time: 20:30 }, { address_of_location: 2400 East Capitol Street Southeast, category: Sports, city_of_event: Washington D.C., date: 2019-03-02, event_location: RFK Stadium, event_name: El Salvador Vs Haiti, subcategory: Football, time: 19:30 }]\nEnd Search Results"""
"SYSTEM","""Okay, the popular event Dc United Vs Revolution is going to take place at Audi Field on March 2nd at 8:30 pm."""
"USER","""Oh! Is it so! Please can I have details about this event, as well as the address of the event location?"""
"SYSTEM","""Sure, its a Football event taking place at 100 Potomac avenue Southwest."""
"USER","""Sounds good to me."""
"SYSTEM","""Do you wish to get tickets for this event?"""
"USER","""Yup, I would like to."""
"SYSTEM","""For how many persons?"""
"USER","""Please can you get 2 tickets?"""
"SYSTEM","""Please can you confirm me that you wish to get 2 tickets for Dc United Vs Revolution on March 2nd that is taking place at Washington D.C., right?"""
"USER","""Sounds great."""
"SYSTEM","APICall(method='BuyEventTickets', parameters={ city_of_event: Washington D.C., date: 2019-03-02, event_name: Dc United Vs Revolution, number_of_seats: 2 })"
"Tool","""Search Results\n[{ address_of_location: 100 Potomac Avenue Southwest, city_of_event: Washington D.C., date: 2019-03-02, event_location: Audi Field, event_name: Dc United Vs Revolution, number_of_seats: 2, time: 20:30 }]\nEnd Search Results"""
"SYSTEM","""Okay! I've booked the tickets for this event. Have fun."""
"USER","""Thanks much for the help."""
"SYSTEM","""Do you want me to assist you with anything else?"""
"USER","""Nope, thanks much for the help."""
"SYSTEM","""Have a fantastic day."""
