Speaker,Utterance
dialogue_id:, 22_00026
USER,"""I would like book a cab ride to Kanpai."""
SYSTEM,"""Is there a specific type of ride you would prefer? You can ride Pool, Luxury, or there are other options."""
USER,"""I would like to have a Pool ride."""
SYSTEM,"""How many are in your group?"""
USER,"""It is just me, so 1."""
SYSTEM,"""Please confirm: You would like a ride to Kanpai, there is 1 in your party and you want to ride Pool."""
USER,"""Apologies, there is actually 2 in my group."""
SYSTEM,"""Please confirm: You want to ride Pool. There are 2 in your group."""
USER,"""Actually, I would like a ride to 659 Merchant Street and I just need a regular ride."""
SYSTEM,"""Please confirm: You want a ride to 659 Merchant Street, regular ride."""
USER,"""Yes, that is correct."""
SYSTEM,"""APICall(method='GetRide', parameters={ destination: 659 Merchant Street, number_of_seats: 2, ride_type: Regular })"""
Tool,"""Search Results\n[{ destination: 659 Merchant Street, number_of_seats: 2, ride_fare: 15.64, ride_type: Regular, wait_time: 7 }]\nEnd Search Results"""
SYSTEM,"""I have booked your ride and the cab is on its way to your location."""
USER,"""Do you know how long it will take to get here?"""
SYSTEM,"""The cab is expected to be there in about 7 minutes."""
USER,"""Thank you for your help, that will be all."""
SYSTEM,"""Have a great day!"""
