,city,date,event_name,event_type,price_per_ticket,time,venue,venue_address,number_of_tickets
0,New York,2019-03-04,Abbi Jacobson,Music,50,18:30,Kaufmann Concert Hall,1395 Lexington Avenue,
1,New York,2019-03-04,Alpha Blondy,Music,60,19:30,Sony Hall,235 West 46th Street,
2,New York,2019-03-04,Boston Symphony Orchestra,Music,30,18:00,Stern Auditorium / Perelman Stage,881 7th Avenue,
3,New York,2019-03-04,Buddy Guy,Music,45,19:00,Sony Hall,235 West 46th Street,
4,New York,2019-03-04,Carbon Leaf,Music,55,17:30,Sony Hall,235 West 46th Street,
5,New York,2019-03-04,Crooked Colours,Music,30,18:30,Rough Trade NYC,"64 North 9th Street, Brooklyn",
6,New York,2019-03-04,Dj Gravy,Music,30,16:00,Sony Hall,235 West 46th Street,
7,New York,2019-03-04,Emanuel Ax,Music,50,19:30,Stern Auditorium / Perelman Stage,881 7th Avenue,
8,New York,2019-03-04,Finneas,Music,30,19:30,Warsaw,"261 Driggs Avenue, Brooklyn",
9,New York,2019-03-04,France Rocks Festival,Music,35,19:00,David Rubenstein Atrium at Lincoln Center,61 West 62nd Street,
10,San Francisco,2019-03-04,Alex Cameron,Music,35,18:30,August Hall,420 Mason Street,
11,San Francisco,2019-03-04,Finneas,Music,60,19:30,August Hall,420 Mason Street,
12,San Francisco,2019-03-04,Jeanette Tietze,Music,25,19:00,The Episcopal Church of the Incarnation,1750 29th Avenue,
13,San Francisco,2019-03-04,Matt Corby,Music,40,18:30,August Hall,420 Mason Street,
14,San Francisco,2019-03-04,Patti Lupone,Music,50,17:30,San Francisco Symphony,201 Van Ness Avenue,
15,San Francisco,2019-03-04,Remo Drive,Music,30,19:30,The Chapel,777 Valencia Street,
16,San Francisco,2019-03-04,Sinead Harnett,Music,40,17:00,August Hall,420 Mason Street,
17,San Francisco,2019-03-04,The Adicts,Music,50,17:30,August Hall,420 Mason Street,
18,San Francisco,2019-03-04,The Wailers,Music,30,19:30,The Chapel,777 Valencia Street,
19,London,2019-03-14,Kllo,Music,30,18:00,Studio 9294,92 Wallis Road,
20,London,2019-03-14,Liam Frost,Music,55,16:00,Servant Jazz Quarters,10A Bradbury Street,
21,London,2019-03-14,Pvris,Music,20,19:00,Electric Brixton,Town Hall Parade,
22,London,2019-03-14,Ruel,Music,50,16:00,Electric Brixton,Town Hall Parade,
23,London,2019-03-14,Shakey Graves,Music,55,17:30,The Dome,2A Dartmouth Park Hill,
24,London,2019-03-14,Sunset Sons,Music,45,17:30,Electric Brixton,Town Hall Parade,
25,London,2019-03-14,Twin Peaks,Music,30,16:30,The Dome,2A Dartmouth Park Hill,
26,Philadelphia,2019-03-10,Anthony Green,Music,60,18:00,The Foundry,29 East Allen Street 2nd Floor,
27,Philadelphia,2019-03-11,Ayokay,Music,60,18:30,The Foundry,29 East Allen Street 2nd Floor,
28,Philadelphia,2019-03-06,Babymetal,Music,30,16:00,The Fillmore Philadelphia,29 East Allen Street,
29,Philadelphia,2019-03-04,Bars And Melody,Music,50,17:00,The Foundry,29 East Allen Street 2nd Floor,
30,Philadelphia,2019-03-13,Brockhampton,Music,30,18:00,The Fillmore Philadelphia,29 East Allen Street,
31,Philadelphia,2019-03-03,Charlotte Lawrence,Music,25,17:30,The Fillmore Philadelphia,29 East Allen Street,
32,Philadelphia,2019-03-08,Conan Gray,Music,35,19:00,The Fillmore Philadelphia,29 East Allen Street,
33,Philadelphia,2019-03-13,Counterparts,Music,60,17:00,The Foundry,29 East Allen Street 2nd Floor,
