,cast,directed_by,genre,movie_title,percent_rating
0,Quentin Tarantino,Quentin Tarantino,Cult,Pulp Fiction,92
1,William Jackson Harper,Ari Aster,Horror,Midsommar,83
2,Javier Bardem,Pedro Almodovar,Drama,Live Flesh,80
3,Kate McKinnon,Danny Boyle,Comedy,Yesterday,63
4,Davi Santos,Johannes Roberts,Horror,47 Meters Down: Uncaged,45
5,Lorraine Toussaint,Andre Ovredal,Horror,Scary Stories to Tell in the Dark,79
6,Manabu Hosoi,Shinichirou Ueda,Horror,One Cut of the Dead,100
7,Calvin Trillin,Max Lewkowicz,Documentary,Fiddler: A Miracle of Miracles,100
8,Tony Hale,Josh Cooley,Animation,Toy Story 4,97
9,Doris McCarthy,Bart Freundlich,Drama,After The Wedding,43
10,Koichi Yamadera,Satoshi Kon,Anime,Paprika,84
11,Michaela Watkins,Paul Downs Colaizzo,Drama,Brittany Runs a Marathon,90
12,Pavle Cemerikic,Ognjen Glavonic,War,The Load,100
13,Meera Ganatra,Gurinder Chadha,Drama,Blinded by the Light,88
14,Helena Holmes,David Leitch,Action,Hobbs and Shaw,67
15,Jamie Kennedy,James Gray,Sci-fi,Ad Astra,84
16,Adam Bakri,Gavin Hood,Mystery,Official Secrets,78
17,Leonard Sharp,Alexander Mackendrick,Thriller,The Ladykillers,100
18,James Urbaniak,Richard Linklater,Comedy,"Where'd You Go, Bernadette",46
19,Roger McGuinn,Andrew Slater,Musical,Echo In The Canyon,94
20,James Ransone,Andres Muschietti,Supernatural,IT Chapter Two,64
21,Karen Holness,Simon Curtis,Drama,The Art of Racing in the Rain,43
22,Josh Gad,Thurop Van Orman,Animation,The Angry Birds Movie 2,72
23,Duane Whitaker,Quentin Tarantino,Cult,Pulp Fiction,92
24,Jillian Bell,Paul Downs Colaizzo,Drama,Brittany Runs a Marathon,90
25,Paola Lara,Issa Lopez,Tragedy,Tigers Are Not Afraid,96
26,Prabhas,Sujeeth,Action,Saaho,10
27,Sushant Singh Rajput,Nitesh Tiwari,Comedy,Chhichhore,60
28,Alexander Calvert,Gene Stupnitsky,Comedy,Good Boys,79
29,Zhao Shuzhen,Lulu Wang,Family,The Farewell,99
30,Richard L. Hawkins,Steven Spielberg,Sci-fi,Close Encounters of the Third Kind,95
31,Jason Burkey,Riley Stearns,Thriller,The Art of Self-Defense,83
32,Ian Hendry,Douglas Hickox,Horror,Theatre of Blood,93
33,Nick Nolte,Ric Roman Waugh,Action,Angel Has Fallen,39
34,Liv Tyler,Peter Jackson,Fantasy,The Lord of the Rings: The Return of the King,93
35,Timothy Olyphant,Quentin Tarantino,Offbeat,Once Upon a Time In Hollywood,85
36,Ron Mueck,Jim Henson,Fantasy,Labyrinth,70
37,James Wlcek,Herbert Ross,Family,Steel Magnolias,70
38,Rudy Chernicoff,Benjamin Naishtat,Thriller,Rojo,98
39,Britta Steffenhagen,Thurop Van Orman,Animation,The Angry Birds Movie 2,72
40,Daria Ekamasova,Kirill Mikhanovsky,Comedy-drama,Give Me Liberty,92
41,Jack Sterner,Alex Kendrick,Drama,Overcomer,46
42,Zoe Bell,Quentin Tarantino,Offbeat,Once Upon a Time In Hollywood,85
43,James Corden,Danny Boyle,Comedy,Yesterday,63
44,Amer Hlehel,Sameh Zoabi,World,Tel Aviv on Fire,92
45,Jack Carson,Gregory La Cava,Drama,Stage Door,95
46,Alexandre Bourgeois,Jovanka Vuckovic,Action,Riot Girls,100
47,Xabiani Ponce de Leon,Hari Sama,Drama,This Is Not Berlin,86
48,Mohan Kapoor,Jagan Shakti,Action,Mission Mangal,67
49,Bakary Sangare,Louis Garrel,Drama,A Faithful Man,78
50,Andrea Bang,Julius Onah,Mystery,Luce,92
51,Andrea Martin,Joel Zwick,Comedy,My Big Fat Greek Wedding,76
52,McKinley Belcher III,Simon Curtis,Drama,The Art of Racing in the Rain,43
53,Hayley Squires,Peter Strickland,Horror,In Fabric,96
54,Daniel Camp,Herbert Ross,Family,Steel Magnolias,70
55,Jon Glaser,Lorene Scafaria,Drama,Hustlers,94
56,Helena Howard,Josephine Decker,Thriller,Madeline's Madeline,88
57,Eugene Dynarski,Steven Spielberg,Sci-fi,Close Encounters of the Third Kind,95
58,Nahuel Cano,Lucrecia Martel,World,Zama,96
59,Alex King,David Leitch,Action,Hobbs and Shaw,67
60,Diana Dors,Douglas Hickox,Horror,Theatre of Blood,93
61,Sterling K. Brown,Thurop Van Orman,Animation,The Angry Birds Movie 2,72
62,Lori Pelenise Tuisano,David Leitch,Action,Hobbs and Shaw,67
63,Conleth Hill,Gavin Hood,Mystery,Official Secrets,78
64,Claudia Doumit,Richard Linklater,Comedy,"Where'd You Go, Bernadette",46
65,Katsunosuke Hori,Satoshi Kon,Anime,Paprika,84
66,Nikita Mehta,Gurinder Chadha,Drama,Blinded by the Light,88
67,Rhys Ifans,Gavin Hood,Mystery,Official Secrets,78
68,Steve Whitmire,Jim Henson,Fantasy,Labyrinth,70
69,Steve Terada,Riley Stearns,Thriller,The Art of Self-Defense,83
70,Nancy Parsons,Herbert Ross,Family,Steel Magnolias,70
71,Klaudia Garcia,Hari Sama,Drama,This Is Not Berlin,86
72,Carol Sutton,Herbert Ross,Family,Steel Magnolias,70
73,Tzi Ma,Lulu Wang,Family,The Farewell,99
74,Aryn Wright-Thompson,Alex Kendrick,Drama,Overcomer,46
75,Vanessa Przada,Gene Stupnitsky,Comedy,Good Boys,79
76,Pete Davidson,Thurop Van Orman,Animation,The Angry Birds Movie 2,72
77,Leland Orser,Riley Stearns,Thriller,The Art of Self-Defense,83
78,Noah Gaynor,Julius Onah,Mystery,Luce,92
79,Utkarsh Ambudkar,Paul Downs Colaizzo,Drama,Brittany Runs a Marathon,90
80,Akiko Kawase,Satoshi Kon,Anime,Paprika,84
81,Ian Hughes,Peter Jackson,Fantasy,The Lord of the Rings: The Return of the King,93
82,Ryan Reynolds,David Leitch,Action,Hobbs and Shaw,67
83,Sarah McLeod,Peter Jackson,Fantasy,The Lord of the Rings: The Return of the King,93
84,J. Patrick McNamara,Steven Spielberg,Sci-fi,Close Encounters of the Third Kind,95
85,Supreet Reddy,Sujeeth,Action,Saaho,10
86,Ving Rhames,Quentin Tarantino,Cult,Pulp Fiction,92
87,Fiona Reid,Joel Zwick,Comedy,My Big Fat Greek Wedding,76
88,Lawrence Bender,Quentin Tarantino,Cult,Pulp Fiction,92
89,Yuri Lowenthal,Satoshi Kon,Anime,Paprika,84
90,C.J. Rush,Riley Stearns,Thriller,The Art of Self-Defense,83
91,Danny John-Jules,Jim Henson,Fantasy,Labyrinth,70
92,Ronald Young,Herbert Ross,Family,Steel Magnolias,70
93,Zach Woods,Thurop Van Orman,Animation,The Angry Birds Movie 2,72
94,Merrill Connally,Steven Spielberg,Sci-fi,Close Encounters of the Third Kind,95
95,Gwendoline Christie,Peter Strickland,Horror,In Fabric,96
96,Bill Hader,Josh Cooley,Animation,Toy Story 4,97
97,Josh Barclay Caras,Gene Stupnitsky,Comedy,Good Boys,79
98,Sanjay Kapoor,Jagan Shakti,Action,Mission Mangal,67
99,Franklin Pangborn,Gregory La Cava,Drama,Stage Door,95
100,Doug Erholtz,Satoshi Kon,Anime,Paprika,84
101,Betsy Widhalm,Herbert Ross,Family,Steel Magnolias,70
102,Sunita Mani,Josephine Decker,Thriller,Madeline's Madeline,88
103,Jennifer Lopez,Lorene Scafaria,Drama,Hustlers,94
104,Gavin Brocker,Peter Strickland,Horror,In Fabric,96
105,Eric Stoltz,Quentin Tarantino,Cult,Pulp Fiction,92
106,Martin Kove,Quentin Tarantino,Offbeat,Once Upon a Time In Hollywood,85
107,Jennifer Connelly,Jim Henson,Fantasy,Labyrinth,70
108,Vincent Andriano,Gurinder Chadha,Drama,Blinded by the Light,88
109,Dolly Parton,Herbert Ross,Family,Steel Magnolias,70
110,Maya Hawke,Quentin Tarantino,Offbeat,Once Upon a Time In Hollywood,85
111,Bruce Willis,Quentin Tarantino,Cult,Pulp Fiction,92
112,Monica Dolan,Gavin Hood,Mystery,Official Secrets,78
113,Kathy Griffin,Quentin Tarantino,Cult,Pulp Fiction,92
114,Chris Reilly,Gavin Hood,Mystery,Official Secrets,78
115,Christopher Malcolm,Jim Henson,Fantasy,Labyrinth,70
116,James Keane,Steven Spielberg,Sci-fi,Close Encounters of the Third Kind,95
