Speaker,Utterance
dialogue_id:, 9_00000
USER,"""i like to travel in order to attend a meeting. Will you find me a train?"""
SYSTEM,"""In which city you like depart from? At what date do you wish to travel? TO which city you are planning to go?"""
USER,"""Going to Anaheim, CA from SD. I need tickets on 13th of MArch."""
SYSTEM,"""APICall(method='FindTrains', parameters={ date_of_journey: 2019-03-13, from: San Diego, to: Anaheim })"""
Tool,"""Search Results\n[{ class: Value, date_of_journey: 2019-03-13, from: San Diego, from_station: Santa Fe Depot, journey_start_time: 08:30, number_of_adults: 1, to: Anaheim, to_station: Anaheim Intermodal Center, total: 48, trip_protection: True }, { class: Value, date_of_journey: 2019-03-13, from: San Diego, from_station: Santa Fe Depot, journey_start_time: 09:10, number_of_adults: 1, to: Anaheim, to_station: Anaheim Intermodal Center, total: 52, trip_protection: True }]\nEnd Search Results"""
SYSTEM,"""There is one train which is departing at 8:30 am . Its costs $48 in total."""
USER,"""Not interested. Whether any other train available? I want value tickets."""
SYSTEM,"""APICall(method='FindTrains', parameters={ class: Value, date_of_journey: 2019-03-13, from: San Diego, to: Anaheim })"""
Tool,"""Search Results\n[{ class: Value, date_of_journey: 2019-03-13, from: San Diego, from_station: Santa Fe Depot, journey_start_time: 08:30, number_of_adults: 1, to: Anaheim, to_station: Anaheim Intermodal Center, total: 48, trip_protection: True }, { class: Value, date_of_journey: 2019-03-13, from: San Diego, from_station: Santa Fe Depot, journey_start_time: 09:10, number_of_adults: 1, to: Anaheim, to_station: Anaheim Intermodal Center, total: 52, trip_protection: True }]\nEnd Search Results"""
SYSTEM,"""There is one train which is departing at 9:10 am . Its costs $52 in total."""
USER,"""ok thats great. it suits for me."""
SYSTEM,"""Whether i need to book tickets in that train?"""
USER,"""Yes, i want to make reservation. I need also trip insurance."""
SYSTEM,"""HOw many tickets do you need?"""
USER,"""i need one seats."""
SYSTEM,"""Please check and confirm the following details. Train ticket need to be booked which will depart from San Diego. The destination place is Anaheim. The train leaves on march 13th and Leaves at 9:10 am. Number of Passengers is 1 people. It is a value ticket and it has trip insurance."""
USER,"""ok thats great. its suits for me."""
SYSTEM,"""APICall(method='GetTrainTickets', parameters={ class: Value, date_of_journey: 2019-03-13, from: San Diego, journey_start_time: 09:10, number_of_adults: 1, to: Anaheim, trip_protection: True })"""
Tool,"""Search Results\n[{ class: Value, date_of_journey: 2019-03-13, from: San Diego, from_station: Santa Fe Depot, journey_start_time: 09:10, number_of_adults: 1, to: Anaheim, to_station: Anaheim Intermodal Center, total: 52, trip_protection: True }]\nEnd Search Results"""
SYSTEM,"""Ticket has been booked successfully."""
USER,"""what is the station name from which train depart?"""
SYSTEM,"""the train is leaving from Santa Fe Depot."""
USER,"""What is the destination station name?"""
SYSTEM,"""The train arrives at Anaheim Intermodal Center."""
USER,"""THanks a lot for you immense help."""
SYSTEM,"""Whether i need to do anything else?"""
USER,"""No, Not now . thanks for your care."""
SYSTEM,"""Bye , have a wonderful day."""
