,directed_by,genre,subtitles,title
0,Brian De Palma,Mystery,True,Body Double
1,Neil Burger,Comedy,False,The Upside
2,Laure de Clermont-Tonnerre,Drama,False,The Mustang
3,Dean DeBlois,Animation,False,How to Train Your Dragon: The Hidden World
4,Sebastian Lelio,Comedy,False,Gloria Bell
5,Justin Kelly,Biographical,False,JT LeRoy
6,Jia Zhangke,Crime,False,Ash Is Purest White
7,Stanley Kubrick,Comedy,False,Dr. Strangelove
8,Orson Welles,Mystery,False,Citizen Kane
9,Robert Budreau,Comedy,True,Stockholm
10,Neil Marshall,Fantasy,False,Hellboy
11,Michael Chaves,Horror,False,The Curse of La Llorona
12,Anthony Maras,Thriller,True,Hotel Mumbai
13,Qui Sheng,Drama,False,Suburban Birds
14,Peter Farrelly,Comedy,False,Green Book
15,Chris Butler,Comedy,False,Missing Link
16,Garth Davis,Drama,False,Mary Magdalene
17,Hiroyasu Ishida,Fantasy,True,Penguin Highway
18,James Kent,War,False,The Aftermath
19,Simon Jaquemet,Drama,False,The Innocent
20,Roxann Dawson,Biographical,True,Breakthrough
21,Eric Khoo,Drama,False,Ramen Shop
22,Max Minghella,Musical,False,Teen Spirit
23,Likarion Wainaina,Drama,False,Supa Modo
24,Claus Rafle,Documentary,False,The Invisibles
25,Eric Khoo,Drama,True,Ramen Shop
26,Alfred Hitchcock,Drama,True,The Man Who Knew Too Much
27,James Kent,War,True,The Aftermath
28,Anthony Maras,Thriller,False,Hotel Mumbai
29,George Miller,Fantasy,True,Mad Max: Fury Road
30,David Sandberg,Adventure,False,Shazam!
31,Laszlo Nemes,Drama,True,Sunset
32,Martin Scorsese,Biographical,False,Shine a Light
33,Sebastian Lelio,Comedy,True,Gloria Bell
34,Dean DeBlois,Animation,True,How to Train Your Dragon: The Hidden World
35,Laura Steinel,Comedy,False,Family
36,Tyler Perry,Comedy,True,A Madea Family Funeral
37,George Sidney,Romance,True,Viva Las Vegas
38,Laure de Clermont-Tonnerre,Drama,True,The Mustang
39,Malik Bendjelloul,Biographical,False,Searching for Sugar Man
40,Kevin Kolsch,Thriller,True,Pet Sematary
41,Martin Scorsese,Biographical,True,Shine a Light
42,Michael Chaves,Horror,True,The Curse of La Llorona
43,Stephen Merchant,Sports,False,Fighting with My Family
44,Laura Steinel,Comedy,True,Family
45,Anna Boden,Adventure,True,Captain Marvel
46,David Sandberg,Adventure,True,Shazam!
47,Ronald Neame,Adventure,True,The Poseidon Adventure
48,Joel Coen,Adventure,True,True Grit
49,Joel Coen,Adventure,False,True Grit
50,Morton DaCosta,Comedy,True,Auntie Mame
51,Stanley Kubrick,Comedy,True,Dr. Strangelove
52,Peter Farrelly,Comedy,True,Green Book
53,Harry Elfont,Comedy,True,Josie and the Pussycats
54,Tina Gordon,Comedy,True,Little
55,Jonathan Levine,Comedy,True,Long Shot
56,Chris Butler,Comedy,True,Missing Link
57,Likarion Wainaina,Drama,True,Supa Modo
58,Tim Burton,Fantasy,False,Dumbo
59,Tyler Perry,Comedy,False,A Madea Family Funeral
60,Justin Kelly,Biographical,True,JT LeRoy
61,Roxann Dawson,Biographical,False,Breakthrough
62,Matteo Garrone,Drama,True,Dogman
63,Iain Softley,Drama,True,Hackers
64,Claire Denis,Drama,True,High Life
65,Nia DaCosta,Drama,False,Little Woods
66,Garth Davis,Drama,True,Mary Magdalene
67,Trevor Nunn,Drama,False,Red Joan
68,Qui Sheng,Drama,True,Suburban Birds
69,Madeleine Olnek,Drama,True,Wild Nights with Emily
70,Jenny Gage,Romance,True,After
71,Michael Gordon,Romance,True,Pillow Talk
72,Cameron Crowe,Romance,True,Say Anything
73,Tom McCarthy,Romance,True,The Visitor
74,Stephen Merchant,Sports,True,Fighting with My Family
75,Elaine May,Mafia,False,Mikey and Nicky
76,Orson Welles,Mystery,True,Citizen Kane
77,Alfred Hitchcock,Crime,True,Blackmail - Cinemix Par Chloe
78,Max Minghella,Musical,True,Teen Spirit
79,Tina Gordon,Comedy,False,Little
80,Neil Burger,Comedy,True,The Upside
81,Matteo Garrone,Drama,False,Dogman
82,Robin Bissell,Drama,True,The Best of Enemies
83,Jia Zhangke,Crime,True,Ash Is Purest White
84,Michael Schultz,Action,True,The Last Dragon
85,Michael Schultz,Action,False,The Last Dragon
86,Rachel Lears,Documentary,False,Knock Down The House
87,Hiroyasu Ishida,Fantasy,False,Penguin Highway
88,Madeleine Olnek,Drama,False,Wild Nights with Emily
89,Claire Denis,Drama,False,High Life
90,Simon Jaquemet,Drama,True,The Innocent
91,Jonathan Levine,Comedy,False,Long Shot
92,Laszlo Nemes,Drama,False,Sunset
93,George Miller,Fantasy,False,Mad Max: Fury Road
94,Christian Petzold,Drama,False,Transit
95,Alfred Hitchcock,Drama,False,The Man Who Knew Too Much
96,George Sidney,Romance,False,Viva Las Vegas
97,Tom McCarthy,Romance,False,The Visitor
98,Anna Boden,Adventure,False,Captain Marvel
99,Morton DaCosta,Comedy,False,Auntie Mame
100,Harry Elfont,Comedy,False,Josie and the Pussycats
101,Kevin Kolsch,Thriller,False,Pet Sematary
102,Robert Budreau,Comedy,False,Stockholm
103,Iain Softley,Drama,False,Hackers
104,Cameron Crowe,Romance,False,Say Anything
105,Brian De Palma,Mystery,False,Body Double
106,Michael Gordon,Romance,False,Pillow Talk
107,Jenny Gage,Romance,False,After
108,Ronald Neame,Adventure,False,The Poseidon Adventure
