"Speaker","Utterance"
"dialogue_id:"," 33_00051"
"USER","""I have some leisure time and i need to spend it in a very interesting way. will you find me some thing interesting to do?"""
"SYSTEM","""In which city i need to search in for?"""
"USER","""i like to find something around chicago."""
"SYSTEM","""Whether do you prefer any type of events?"""
"USER","""i like only musical performance."""
"SYSTEM","APICall(method='FindEvents', parameters={ city: Chicago, event_type: Music })"
"Tool","""Search Results\n[{ city: Chicago, date: 2019-03-11, event_name: Ashe, event_type: Music, price_per_ticket: 20, time: 19:30, venue: Chop Shop, venue_address: 2033 West North Avenue }, { city: Chicago, date: 2019-03-04, event_name: Conor Maynard, event_type: Music, price_per_ticket: 60, time: 19:00, venue: Chop Shop, venue_address: 2033 West North Avenue }]\nEnd Search Results"""
"SYSTEM","""THere is an event called Ashe.it is very popular. it take place at chop shop. it is on March 11th starting at 7:30 pm."""
"USER","""ok that sounds great."""
"SYSTEM","""whether i need to buy any tickets for this event?"""
"USER","""yes, i like to buy tickets. i need 2 tickets."""
"SYSTEM","""Please check and confirm the following details. Booking tickets for Ashe. You need 2 tickets and the date of it is MArch 11th. THe event is taking place in chicago."""
"USER","""Yes that suits for me. How much does one ticket cost?"""
"SYSTEM","APICall(method='BuyEventTickets', parameters={ city: Chicago, date: 2019-03-11, event_name: Ashe, number_of_tickets: 2 })"
"Tool","""Search Results\n[{ city: Chicago, date: 2019-03-11, event_name: Ashe, number_of_tickets: 2, price_per_ticket: 20, time: 19:30, venue: Chop Shop, venue_address: 2033 West North Avenue }]\nEnd Search Results"""
"SYSTEM","""Reservation is made successfully. The ticket costs $20."""
"USER","""Please find me a cab to go there? I prefer a The most comfortable ride."""
"SYSTEM","""Please check and confirm the following details. Cab ride to Chop Shop. Need 2 seats and Prefer a Luxury ride."""
"USER","""Ok that suits for me. How long before the cab reaches here? How much does the ride costs?"""
"SYSTEM","APICall(method='GetRide', parameters={ destination: Chop Shop, number_of_seats: 2, ride_type: Luxury })"
"Tool","""Search Results\n[{ destination: Chop Shop, number_of_seats: 2, ride_fare: 24.00, ride_type: Luxury, wait_time: 12 }]\nEnd Search Results"""
"SYSTEM","""cab ride is booked and the cab is on its way. the cab is expected in 12 minutes. the ride costs is around $24.00"""
"USER","""thanks a lot for your immense help, that's all i need."""
"SYSTEM","""Have a great day"""
