Speaker,Utterance
dialogue_id:, 43_00000
USER,"""I'm looking for somewhere I can grab some food in Fremont. Something intermediate priced would be perfect."""
SYSTEM,"""Is there any kind of food you want to eat specifically today?"""
USER,"""Asian Fusion food would be perfect."""
SYSTEM,"""APICall(method='FindRestaurants', parameters={ city: Fremont, cuisine: Asian, price_range: moderate })"""
Tool,"""Search Results\n[{ city: Fremont, cuisine: Asian, has_live_music: False, phone_number: 510-979-1368, price_range: moderate, restaurant_name: Asian Pearl Seafood Restaurant, serves_alcohol: False, street_address: 43635 Boscell Road }, { city: Fremont, cuisine: Asian, has_live_music: False, phone_number: 510-742-6221, price_range: moderate, restaurant_name: Elephant Bar Restaurant, serves_alcohol: True, street_address: 39233 Fremont Boulevard }]\nEnd Search Results"""
SYSTEM,"""If you're in Fremont, you've got to give Asian Pearl Seafood Restaurant a try."""
USER,"""What's their address and contact number?"""
SYSTEM,"""They live at 43635 Boscell Road and you can reach them at 510-979-1368."""
USER,"""Yeah, that works for me. I'd like to make reservations at a restaurant on the 10th of March."""
SYSTEM,"""What time would you like it?"""
USER,"""1:30 in the afternoon, for 5 people."""
SYSTEM,"""So you'd like to book at table for 5 at Asian Pearl Seafood Restaurant in Fremont at 1:30 pm on March 10th, right?"""
USER,"""Yeah, that works for me. Do they serve liquor? Live music?"""
SYSTEM,"""APICall(method='ReserveRestaurant', parameters={ city: Fremont, date: 2019-03-10, party_size: 5, restaurant_name: Asian Pearl Seafood Restaurant, time: 13:30 })"""
Tool,"""Search Results\n[{ city: Fremont, cuisine: Asian, date: 2019-03-10, has_live_music: False, party_size: 5, phone_number: 510-979-1368, price_range: moderate, restaurant_name: Asian Pearl Seafood Restaurant, serves_alcohol: False, street_address: 43635 Boscell Road, time: 13:30 }]\nEnd Search Results"""
SYSTEM,"""Got it. They don't have have any live music or any alcohol."""
USER,"""Thanks a bunch!"""
SYSTEM,"""Did you need anything else?"""
USER,"""Nope. Thank you."""
SYSTEM,"""Have a good day!"""
