,airlines,departure_date,destination,destination_airport,fare,is_redeye,number_stops,origin,origin_airport,outbound_arrival_time,outbound_departure_time,passengers,seating_class,inbound_arrival_time,inbound_departure_time,return_date
0,Alaska Airlines,2019-03-08,Las Vegas,McCarran International Airport,103,False,0,San Francisco,SFO International Airport,21:50,20:15,1,Economy,,,
1,American Airlines,2019-03-08,Las Vegas,McCarran International Airport,102,False,0,San Francisco,SFO International Airport,19:05,17:30,1,Economy,,,
2,Delta Airlines,2019-03-08,Las Vegas,McCarran International Airport,105,False,0,San Francisco,SFO International Airport,12:25,10:50,1,Economy,,,
3,United Airlines,2019-03-08,Las Vegas,McCarran International Airport,95,False,0,San Francisco,SFO International Airport,20:50,19:15,1,Economy,,,
4,Alaska Airlines,2019-03-08,Las Vegas,McCarran International Airport,103,False,0,San Francisco,SFO International Airport,21:50,20:15,4,Economy,,,
5,American Airlines,2019-03-08,Las Vegas,McCarran International Airport,102,False,0,San Francisco,SFO International Airport,19:05,17:30,4,Economy,,,
6,Delta Airlines,2019-03-08,Las Vegas,McCarran International Airport,105,False,0,San Francisco,SFO International Airport,12:25,10:50,4,Economy,,,
7,United Airlines,2019-03-08,Las Vegas,McCarran International Airport,95,False,0,San Francisco,SFO International Airport,20:50,19:15,4,Economy,,,
8,American Airlines,2019-03-12,Los Angeles,LAX International Airport,149,False,0,Atlanta,Hartsfield-Jackson International Airport,16:29,14:30,1,Economy,,,
9,Delta Airlines,2019-03-12,Los Angeles,LAX International Airport,157,True,0,Atlanta,Hartsfield-Jackson International Airport,00:19,22:20,1,Economy,,,
10,Southwest Airlines,2019-03-12,Los Angeles,LAX International Airport,277,False,1,Atlanta,Hartsfield-Jackson International Airport,23:30,17:55,1,Economy,,,
11,United Airlines,2019-03-12,Los Angeles,LAX International Airport,255,False,1,Atlanta,Hartsfield-Jackson International Airport,15:25,09:40,1,Economy,,,
12,American Airlines,2019-03-12,Vancouver,YVR International Airport,198,False,0,Atlanta,Hartsfield-Jackson International Airport,17:06,14:25,3,Economy,,,
13,Delta Airlines,2019-03-12,Vancouver,YVR International Airport,196,False,0,Atlanta,Hartsfield-Jackson International Airport,18:01,15:20,3,Economy,,,
14,Southwest Airlines,2019-03-12,Vancouver,YVR International Airport,297,False,1,Atlanta,Hartsfield-Jackson International Airport,11:11,04:35,3,Economy,,,
15,American Airlines,2019-03-04,Atlanta,Hartsfield-Jackson International Airport,135,False,0,New York,JFK International Airport,14:07,11:45,1,Economy,,,
16,Delta Airlines,2019-03-04,Atlanta,Hartsfield-Jackson International Airport,137,False,0,New York,JFK International Airport,09:42,07:20,1,Economy,,,
17,Southwest Airlines,2019-03-04,Atlanta,Hartsfield-Jackson International Airport,124,False,0,New York,JFK International Airport,11:27,09:05,1,Economy,,,
18,United Airlines,2019-03-04,Atlanta,Hartsfield-Jackson International Airport,140,False,0,New York,JFK International Airport,21:27,19:05,1,Economy,,,
19,American Airlines,2019-03-14,Chicago,O'Hare International Airport,128,False,0,Atlanta,Hartsfield-Jackson International Airport,22:16,21:15,1,Economy,,,
20,Delta Airlines,2019-03-14,Chicago,O'Hare International Airport,122,False,0,Atlanta,Hartsfield-Jackson International Airport,08:51,07:50,1,Economy,,,
21,Southwest Airlines,2019-03-14,Chicago,O'Hare International Airport,105,False,0,Atlanta,Hartsfield-Jackson International Airport,05:36,04:35,1,Economy,,,
22,United Airlines,2019-03-14,Chicago,O'Hare International Airport,108,False,0,Atlanta,Hartsfield-Jackson International Airport,07:16,06:15,1,Economy,,,
23,Delta Airlines,2019-03-12,Chicago,O'Hare International Airport,183,True,0,Vancouver,YVR International Airport,00:31,17:55,1,Economy,,,
24,Alaska Airlines,2019-03-01,New York,JFK International Airport,194,False,0,San Francisco,SFO International Airport,16:06,06:40,1,Economy,,,
25,American Airlines,2019-03-01,New York,JFK International Airport,191,True,0,San Francisco,SFO International Airport,05:56,20:30,1,Economy,,,
26,Southwest Airlines,2019-03-01,New York,JFK International Airport,214,True,0,San Francisco,SFO International Airport,06:46,21:20,1,Economy,,,
27,United Airlines,2019-03-01,New York,JFK International Airport,178,False,0,San Francisco,SFO International Airport,15:16,05:50,1,Economy,,,
28,Alaska Airlines,2019-03-09,New York,JFK International Airport,196,False,0,San Francisco,SFO International Airport,18:01,08:35,1,Economy,,,
29,American Airlines,2019-03-09,New York,JFK International Airport,174,True,0,San Francisco,SFO International Airport,05:56,20:30,1,Economy,,,
30,Delta Airlines,2019-03-09,New York,JFK International Airport,200,False,0,San Francisco,SFO International Airport,20:21,10:55,1,Economy,,,
31,Southwest Airlines,2019-03-09,New York,JFK International Airport,187,True,0,San Francisco,SFO International Airport,06:46,21:20,1,Economy,,,
32,United Airlines,2019-03-09,New York,JFK International Airport,199,False,0,San Francisco,SFO International Airport,15:16,05:50,1,Economy,,,
33,Air Canada,2019-03-11,Atlanta,Hartsfield-Jackson International Airport,188,False,1,Toronto,Toronto Pearson International Airport,23:41,16:40,4,Economy,,,
34,American Airlines,2019-03-11,Atlanta,Hartsfield-Jackson International Airport,224,False,1,Toronto,Toronto Pearson International Airport,21:27,12:50,4,Economy,,,
35,United Airlines,2019-03-11,Atlanta,Hartsfield-Jackson International Airport,191,False,1,Toronto,Toronto Pearson International Airport,23:41,17:35,4,Economy,,,
36,United Airlines,2019-03-03,Toronto,Toronto Pearson International Airport,259,False,1,Las Vegas,McCarran International Airport,21:54,12:05,1,Economy,,,
37,American Airlines,2019-03-12,London,Heathrow International Airport,356,True,1,Chicago,O'Hare International Airport,06:37,12:30,1,Economy,,,
38,Delta Airlines,2019-03-12,London,Heathrow International Airport,337,True,1,Chicago,O'Hare International Airport,06:37,11:05,1,Economy,,,
39,Southwest Airlines,2019-03-12,London,Heathrow International Airport,205,True,0,Chicago,O'Hare International Airport,00:49,10:20,1,Economy,,,
40,United Airlines,2019-03-12,London,Heathrow International Airport,241,True,0,Chicago,O'Hare International Airport,03:14,12:45,1,Economy,,,
41,United Airlines,2019-03-12,London,Heathrow International Airport,406,True,1,Portland,PDX International Airport,16:04,12:05,1,Economy,,,
42,Alaska Airlines,2019-03-05,New York,JFK International Airport,184,False,0,Los Angeles,LAX International Airport,18:40,09:30,1,Economy,,,
43,American Airlines,2019-03-05,New York,JFK International Airport,177,True,0,Los Angeles,LAX International Airport,03:30,18:20,1,Economy,,,
44,Delta Airlines,2019-03-05,New York,JFK International Airport,205,True,0,Los Angeles,LAX International Airport,08:05,22:55,1,Economy,,,
45,Southwest Airlines,2019-03-05,New York,JFK International Airport,302,True,1,Los Angeles,LAX International Airport,00:19,13:00,1,Economy,,,
46,United Airlines,2019-03-05,New York,JFK International Airport,205,True,0,Los Angeles,LAX International Airport,05:25,20:15,1,Economy,,,
47,Alaska Airlines,2019-03-11,Phoenix,Sky Harbor International Airport,237,False,1,Seattle,Seattle-Tacoma International Airport,16:22,12:00,1,Economy,,,
48,American Airlines,2019-03-11,Phoenix,Sky Harbor International Airport,218,False,1,Seattle,Seattle-Tacoma International Airport,13:38,08:15,1,Economy,,,
49,Delta Airlines,2019-03-11,Phoenix,Sky Harbor International Airport,254,False,1,Seattle,Seattle-Tacoma International Airport,13:38,08:45,1,Economy,,,
50,United Airlines,2019-03-11,Phoenix,Sky Harbor International Airport,244,False,1,Seattle,Seattle-Tacoma International Airport,23:38,18:20,1,Economy,,,
51,Delta Airlines,2019-03-11,Phoenix,Sky Harbor International Airport,307,False,1,Seattle,Seattle-Tacoma International Airport,13:38,08:45,1,Premium Economy,,,
52,United Airlines,2019-03-11,Phoenix,Sky Harbor International Airport,354,False,1,Seattle,Seattle-Tacoma International Airport,23:38,18:20,1,Premium Economy,,,
53,Southwest Airlines,2019-03-11,Phoenix,Sky Harbor International Airport,258,False,0,Atlanta,Hartsfield-Jackson International Airport,13:17,12:05,1,Premium Economy,,,
54,United Airlines,2019-03-13,Toronto,Toronto Pearson International Airport,232,False,1,Las Vegas,McCarran International Airport,21:54,12:05,1,Economy,,,
55,Alaska Airlines,2019-03-14,Nairobi,Jomo Kenyatta International Airport,416,True,1,Los Angeles,LAX International Airport,20:42,06:45,1,Economy,,,
56,American Airlines,2019-03-01,Vancouver,YVR International Airport,228,False,1,Phoenix,Sky Harbor International Airport,13:59,07:35,2,Economy,,,
57,Delta Airlines,2019-03-01,Vancouver,YVR International Airport,255,False,1,Phoenix,Sky Harbor International Airport,20:12,11:55,2,Economy,,,
58,Southwest Airlines,2019-03-01,Vancouver,YVR International Airport,232,False,1,Phoenix,Sky Harbor International Airport,13:59,07:05,2,Economy,,,
59,United Airlines,2019-03-01,Vancouver,YVR International Airport,232,False,1,Phoenix,Sky Harbor International Airport,13:59,07:15,2,Economy,,,
60,Alaska Airlines,2019-03-08,Portland,PDX International Airport,132,False,0,San Diego,SAN International Airport,16:04,13:20,3,Economy,,,
61,American Airlines,2019-03-08,Portland,PDX International Airport,144,False,0,San Diego,SAN International Airport,12:04,09:20,3,Economy,,,
62,Delta Airlines,2019-03-08,Portland,PDX International Airport,133,True,0,San Diego,SAN International Airport,00:04,21:20,3,Economy,,,
63,United Airlines,2019-03-08,Portland,PDX International Airport,119,False,0,San Diego,SAN International Airport,23:14,20:30,3,Economy,,,
64,United Airlines,2019-03-09,Los Angeles,LAX International Airport,162,False,0,New York,JFK International Airport,15:20,12:10,4,Economy,,,
65,Alaska Airlines,2019-03-10,Mexico City,Benito Juarez International Airport,155,False,0,San Francisco,SFO International Airport,18:53,13:10,3,Economy,,,
66,American Airlines,2019-03-10,Mexico City,Benito Juarez International Airport,148,False,0,San Francisco,SFO International Airport,19:03,13:20,3,Economy,,,
67,Southwest Airlines,2019-03-10,Mexico City,Benito Juarez International Airport,155,False,0,San Francisco,SFO International Airport,12:23,06:40,3,Economy,,,
68,United Airlines,2019-03-10,Mexico City,Benito Juarez International Airport,261,False,1,San Francisco,SFO International Airport,20:05,09:15,3,Economy,,,
69,Southwest Airlines,2019-03-10,Mexico City,Benito Juarez International Airport,155,False,0,San Francisco,SFO International Airport,12:23,06:40,1,Economy,,,
70,American Airlines,2019-03-06,Seattle,Seattle-Tacoma International Airport,358,False,1,Las Vegas,McCarran International Airport,10:36,06:40,1,Premium Economy,,,
71,United Airlines,2019-03-06,Seattle,Seattle-Tacoma International Airport,348,False,1,Las Vegas,McCarran International Airport,18:21,13:40,1,Premium Economy,,,
72,Southwest Airlines,2019-03-03,Washington,Dulles International Airport,169,False,0,Chicago,O'Hare International Airport,09:43,06:45,1,Premium Economy,,,
73,American Airlines,2019-03-02,Toronto,Toronto Pearson International Airport,160,False,1,Philadelphia,PHL International Airport,20:28,16:45,3,Economy,,,
74,Delta Airlines,2019-03-02,Toronto,Toronto Pearson International Airport,217,False,1,Philadelphia,PHL International Airport,18:58,14:20,3,Economy,,,
75,Southwest Airlines,2019-03-02,Toronto,Toronto Pearson International Airport,165,False,1,Philadelphia,PHL International Airport,20:28,17:20,3,Economy,,,
76,United Airlines,2019-03-02,Toronto,Toronto Pearson International Airport,216,False,1,Philadelphia,PHL International Airport,17:08,11:30,3,Economy,,,
