,category,departure_date,departure_time,from_city,from_station,num_passengers,price,to_city,to_station,additional_luggage
0,direct,2019-03-13,06:50,Los Angeles,North Hollywood Station,1,26,San Diego,El Cajon Bus Stop,
1,direct,2019-03-13,08:10,Los Angeles,North Hollywood Station,1,26,San Diego,El Cajon Bus Stop,
2,direct,2019-03-13,08:50,Los Angeles,North Hollywood Station,1,30,San Diego,El Cajon Bus Stop,
3,direct,2019-03-13,10:30,Los Angeles,North Hollywood Station,1,27,San Diego,El Cajon Bus Stop,
4,direct,2019-03-13,10:40,Los Angeles,North Hollywood Station,1,24,San Diego,El Cajon Bus Stop,
5,direct,2019-03-13,11:10,Los Angeles,North Hollywood Station,1,27,San Diego,El Cajon Bus Stop,
6,direct,2019-03-13,12:10,Los Angeles,North Hollywood Station,1,26,San Diego,El Cajon Bus Stop,
7,direct,2019-03-13,13:20,Los Angeles,North Hollywood Station,1,28,San Diego,El Cajon Bus Stop,
8,direct,2019-03-13,14:00,Los Angeles,North Hollywood Station,1,26,San Diego,El Cajon Bus Stop,
9,direct,2019-03-13,14:30,Los Angeles,North Hollywood Station,1,27,San Diego,El Cajon Bus Stop,
10,direct,2019-03-13,06:50,Los Angeles,North Hollywood Station,4,26,San Diego,El Cajon Bus Stop,
11,direct,2019-03-13,08:10,Los Angeles,North Hollywood Station,4,26,San Diego,El Cajon Bus Stop,
12,direct,2019-03-13,08:50,Los Angeles,North Hollywood Station,4,30,San Diego,El Cajon Bus Stop,
13,direct,2019-03-13,10:30,Los Angeles,North Hollywood Station,4,27,San Diego,El Cajon Bus Stop,
14,direct,2019-03-13,10:40,Los Angeles,North Hollywood Station,4,24,San Diego,El Cajon Bus Stop,
15,direct,2019-03-13,11:10,Los Angeles,North Hollywood Station,4,27,San Diego,El Cajon Bus Stop,
16,direct,2019-03-13,12:10,Los Angeles,North Hollywood Station,4,26,San Diego,El Cajon Bus Stop,
17,direct,2019-03-13,13:20,Los Angeles,North Hollywood Station,4,28,San Diego,El Cajon Bus Stop,
18,direct,2019-03-13,14:00,Los Angeles,North Hollywood Station,4,26,San Diego,El Cajon Bus Stop,
19,direct,2019-03-13,06:50,Fresno,2660 Tulare St,1,45,San Diego,El Cajon Bus Stop,
20,direct,2019-03-13,08:20,Fresno,2660 Tulare St,1,43,San Diego,El Cajon Bus Stop,
21,direct,2019-03-13,09:30,Fresno,2660 Tulare St,1,46,San Diego,El Cajon Bus Stop,
22,direct,2019-03-13,13:50,Fresno,2660 Tulare St,1,38,San Diego,El Cajon Bus Stop,
23,direct,2019-03-13,16:20,Fresno,2660 Tulare St,1,44,San Diego,El Cajon Bus Stop,
24,direct,2019-03-13,16:30,Fresno,2660 Tulare St,1,48,San Diego,El Cajon Bus Stop,
25,direct,2019-03-07,10:50,Fresno,2660 Tulare St,1,35,San Francisco,Transbay Terminal,
26,direct,2019-03-07,12:40,Fresno,2660 Tulare St,1,31,San Francisco,Transbay Terminal,
27,direct,2019-03-07,13:10,Fresno,2660 Tulare St,1,33,San Francisco,Transbay Terminal,
28,direct,2019-03-07,13:30,Fresno,2660 Tulare St,1,27,San Francisco,Transbay Terminal,
29,direct,2019-03-07,14:20,Fresno,2660 Tulare St,1,32,San Francisco,Transbay Terminal,
30,direct,2019-03-07,14:40,Fresno,2660 Tulare St,1,32,San Francisco,Transbay Terminal,
31,direct,2019-03-07,16:10,Fresno,2660 Tulare St,1,32,San Francisco,Transbay Terminal,
32,direct,2019-03-07,19:40,Fresno,2660 Tulare St,1,33,San Francisco,Transbay Terminal,
33,direct,2019-03-03,07:30,Seattle,Westlake Station,1,32,Portland,SW Arthur & 1st,
34,direct,2019-03-03,09:00,Seattle,Westlake Station,1,29,Portland,SW Arthur & 1st,
35,direct,2019-03-03,09:20,Seattle,Westlake Station,1,27,Portland,SW Arthur & 1st,
36,direct,2019-03-03,09:30,Seattle,Westlake Station,1,33,Portland,SW Arthur & 1st,
37,direct,2019-03-03,09:50,Seattle,Westlake Station,1,27,Portland,SW Arthur & 1st,
38,direct,2019-03-03,12:10,Seattle,Westlake Station,1,32,Portland,SW Arthur & 1st,
39,direct,2019-03-03,12:20,Seattle,Westlake Station,1,31,Portland,SW Arthur & 1st,
40,direct,2019-03-03,18:30,Seattle,Westlake Station,1,30,Portland,SW Arthur & 1st,
41,direct,2019-03-11,07:20,Las Vegas,Union Plaza,1,38,Fresno,2660 Tulare St,
42,direct,2019-03-11,09:00,Las Vegas,Union Plaza,1,38,Fresno,2660 Tulare St,
43,direct,2019-03-11,10:10,Las Vegas,Union Plaza,1,40,Fresno,2660 Tulare St,
