"Speaker","Utterance"
"dialogue_id:"," 8_00049"
"USER","""I need a bus to Las Vegas for a party of 3 on the 11th of March."""
"SYSTEM","""From where are you guys leaving?"""
"USER","""From Fresno, CA."""
"SYSTEM","APICall(method='FindBus', parameters={ from_location: Fresno, leaving_date: 2019-03-11, to_location: Las Vegas, travelers: 3 })"
"Tool","""Search Results\n[{ fare: 40, from_location: Fresno, from_station: Fresno Station, leaving_date: 2019-03-11, leaving_time: 07:20, to_location: Las Vegas, to_station: Union Plaza, transfers: 0, travelers: 3 }, { fare: 43, from_location: Fresno, from_station: Fresno Station, leaving_date: 2019-03-11, leaving_time: 08:50, to_location: Las Vegas, to_station: Union Plaza, transfers: 0, travelers: 3 }]\nEnd Search Results"""
"SYSTEM","""There's a 7:20 am Bus with 0 transfers for $40."""
"USER","""What are the stations that it uses?"""
"SYSTEM","""It goes from Fresno Station to Union Plaza."""
"USER","""Nice. Get me on it."""
"SYSTEM","""OK. 3 seats on a 7:20 am Fresno to Las Vegas bus on March 11th?"""
"USER","""That is correct."""
"SYSTEM","APICall(method='BuyBusTicket', parameters={ from_location: Fresno, leaving_date: 2019-03-11, leaving_time: 07:20, to_location: Las Vegas, travelers: 3 })"
"Tool","""Search Results\n[{ fare: 40, from_location: Fresno, from_station: Fresno Station, leaving_date: 2019-03-11, leaving_time: 07:20, to_location: Las Vegas, to_station: Union Plaza, transfers: 0, travelers: 3 }]\nEnd Search Results"""
"SYSTEM","""Your seats are reserved."""
"USER","""Now what about a hotel once we're there?"""
"SYSTEM","APICall(method='SearchHotel', parameters={ location: Las Vegas })"
"Tool","""Search Results\n[{ location: Las Vegas, number_of_rooms: 1, phone_number: +1 702-256-3766, place_name: Best Western Plus Las Vegas West, price_per_night: 117, smoking_allowed: False, star_rating: 3, street_address: 8669 West Sahara Avenue }, { location: Las Vegas, number_of_rooms: 2, phone_number: +1 702-638-1800, place_name: Budget Suites Of America, price_per_night: 44, smoking_allowed: True, star_rating: 1, street_address: 2219 North Rancho Drive }]\nEnd Search Results"""
"SYSTEM","""I suggest Best Western Plus Las Vegas West. It has 3 stars."""
"USER","""Where is this place?"""
"SYSTEM","""8669 West Sahara Avenue."""
"USER","""That's sounds acceptable."""
"SYSTEM","""Should I book it."""
"USER","""Hold off for now."""
"SYSTEM","""Ok. What else?"""
"USER","""Nothing. You've done enough."""
"SYSTEM","""OK. You know where to find me."""
