"Speaker","Utterance"
"dialogue_id:"," 13_00034"
"USER","""11th of this month in london, england"""
"SYSTEM","APICall(method='GetWeather', parameters={ city: London, date: 2019-03-11 })"
"Tool","""Search Results\n[{ city: London, date: 2019-03-11, humidity: 41, precipitation: 15, temperature: 71, wind: 11 }]\nEnd Search Results"""
"SYSTEM","""71 degrees 15 percent chance"""
"USER","""how humid though?"""
"SYSTEM","""11 miles 41 percent"""
"USER","""monday next week premium economy"""
"SYSTEM","""what city departure?"""
"USER","""chicago works for me"""
"SYSTEM","APICall(method='SearchOnewayFlight', parameters={ departure_date: 2019-03-04, destination_city: London, flight_class: Premium Economy, origin_city: Chicago })"
"Tool","""Search Results\n[{ airlines: Southwest Airlines, arrives_next_day: True, departure_date: 2019-03-04, destination_airport_name: Heathrow International Airport, destination_city: London, flight_class: Premium Economy, number_checked_bags: 0, number_stops: 0, origin_airport_name: O'Hare International Airport, origin_city: Chicago, outbound_arrival_time: 09:39, outbound_departure_time: 19:10, passengers: 1, price: 390 }, { airlines: United Airlines, arrives_next_day: False, departure_date: 2019-03-04, destination_airport_name: Heathrow International Airport, destination_city: London, flight_class: Premium Economy, number_checked_bags: 0, number_stops: 0, origin_airport_name: O'Hare International Airport, origin_city: Chicago, outbound_arrival_time: 20:29, outbound_departure_time: 06:00, passengers: 1, price: 403 }]\nEnd Search Results"""
"SYSTEM","""southwest airlines 7:10 pm 0 layovers $390"""
"USER","""12:30 march 14th"""
"SYSTEM","""when and where?"""
"USER","""11th of this month vancouver bc"""
"SYSTEM","APICall(method='GetCarsAvailable', parameters={ dropoff_date: 2019-03-14, pickup_city: Vancouver, pickup_date: 2019-03-11, pickup_time: 12:30 })"
"Tool","""Search Results\n[{ car_name: Accord, dropoff_date: 2019-03-14, pickup_city: Vancouver, pickup_date: 2019-03-11, pickup_location: YVR International Airport, pickup_time: 12:30, total_price: 99, type: Standard }, { car_name: Altima, dropoff_date: 2019-03-14, pickup_city: Vancouver, pickup_date: 2019-03-11, pickup_location: YVR International Airport, pickup_time: 12:30, total_price: 105, type: Standard }]\nEnd Search Results"""
"SYSTEM","""yvr international airport march 11th standard accord"""
"USER","""tell me the cost"""
"SYSTEM","""$99 in total"""
"USER","""that is good"""
"SYSTEM","""have a good one"""
