"Speaker","Utterance"
"dialogue_id:"," 25_00062"
"USER","""May I see my alarms please?"""
"SYSTEM","APICall(method='GetAlarms', parameters={  })"
"Tool","""Search Results\n[{ alarm_name: Wake up, alarm_time: 07:30 }, { alarm_name: Errands, alarm_time: 15:30 }]\nEnd Search Results"""
"SYSTEM","""Yes, you have 2 current alarms. There is a 7:30 AM alarm titled wake up."""
"USER","""Thank you very much."""
"SYSTEM","""Would you like to set a new alarm?"""
"USER","""No, thank you. I'd like to find a restaurant though."""
"SYSTEM","""In what location and what kind of cuisine would you like?"""
"USER","""I'd like a restaurant in SF, some place with Irish food."""
"SYSTEM","APICall(method='FindRestaurants', parameters={ category: Irish, location: San Francisco })"
"Tool","""Search Results\n[{ address: 243 O'Farrell Street, category: Irish, has_seating_outdoors: False, has_vegetarian_options: False, location: San Francisco, phone_number: 415-954-0777, price_range: moderate, rating: 4.30, restaurant_name: Johnny Foley's Irish House }, { address: 1940 Taraval, category: Irish, has_seating_outdoors: False, has_vegetarian_options: False, location: San Francisco, phone_number: 415-731-8900, price_range: moderate, rating: 4.40, restaurant_name: Parkside Tavern }]\nEnd Search Results"""
"SYSTEM","""I recommend Johnny Foley's Irish House in San Francisco."""
"USER","""Do they have vegetarian dishes and patio dining?"""
"SYSTEM","""I'm sorry, they don't have vegetarian dishes nor do they have patio dining."""
"USER","""That's fine. I'd also like to book a car please, something I can pick up from Union Plaza. I'm thinking of an SUV."""
"SYSTEM","""When would you like to get the car and Start the rental and until what date will you need it?"""
"USER","""I'd like to pick it up in the morning 9:30. I'll need it from next Thursday until the 11th."""
"SYSTEM","""Would you like to purchase insurance for the vehicle?"""
"USER","""No, that's OK."""
"SYSTEM","""Confirming rental of an SUV with pick up from Union Plaza on March 7th at 9:30 AM and returning March 11th. The vehicle will not include insurance."""
"USER","""That's good, thank you. What kind of car is it?"""
"SYSTEM","APICall(method='ReserveCar', parameters={ add_insurance: False, car_type: SUV, end_date: 2019-03-11, pickup_location: Union Plaza, pickup_time: 09:30, start_date: 2019-03-07 })"
"Tool","""Search Results\n[{ add_insurance: False, car_name: GMC Terrain, car_type: SUV, end_date: 2019-03-11, pickup_location: Union Plaza, pickup_time: 09:30, price_per_day: 36.00, start_date: 2019-03-07 }]\nEnd Search Results"""
"SYSTEM","""The car is a GMC Terrain and the reservation is complete."""
"USER","""Thanks, I need to share the location as well. With John please."""
"SYSTEM","""What is the address you want to share? Is it 243 O'Farrell Street, union Plaza or a different address?"""
"USER","""Yes, the address is 243 O'Farrell Street."""
"SYSTEM","""Confirming location sharing of 243 O'Farrell Street with John."""
"USER","""That's right, thank you."""
"SYSTEM","APICall(method='ShareLocation', parameters={ contact_name: John, location: 243 O'Farrell Street })"
"Tool","""Search Results\n[{ contact_name: John, location: 243 O'Farrell Street }]\nEnd Search Results"""
"SYSTEM","""The location has been shared."""
"USER","""Great, I guess that's everything."""
"SYSTEM","""Have a wonderful day."""
