"Speaker","Utterance"
"dialogue_id:"," 18_00068"
"USER","""Check savings balance."""
"SYSTEM","APICall(method='CheckBalance', parameters={ account_type: savings })"
"Tool","""Search Results\n[{ account_balance: 5379.64, account_type: savings }]\nEnd Search Results"""
"SYSTEM","""YOu have $5,379.64 in savings."""
"USER","""Find a vegetarian restaurant in Albany."""
"SYSTEM","""Cuisine?"""
"USER","""Japanese."""
"SYSTEM","APICall(method='FindRestaurants', parameters={ category: Japanese, has_vegetarian_options: True, location: Albany })"
"Tool","""Search Results\n[{ address: 2009 977, category: Japanese, has_seating_outdoors: False, has_vegetarian_options: True, location: Albany, phone_number: 510-524-4700, price_range: moderate, rating: 4.40, restaurant_name: Sumo Japanese Restaurant }]\nEnd Search Results"""
"SYSTEM","""Sumo Japanese Restaurant is in Albany."""
"USER","""Good, book a table for one at 11 o""clock in the morning on the 12th of this month."""
"SYSTEM","""Please confirm: table for 1 at Sumo Japanese Restaurant in Albany at 11 am on March 12th."""
"USER","""No, at 19:45."""
"SYSTEM","""Please confirm: table for 1 at 7:45 pm."""
"USER","""Yes. Address?"""
"SYSTEM","APICall(method='ReserveRestaurant', parameters={ date: 2019-03-12, location: Albany, number_of_seats: 1, restaurant_name: Sumo Japanese Restaurant, time: 19:45 })"
"Tool","""Search Results\n[{ address: 2009 977, category: Japanese, date: 2019-03-12, has_seating_outdoors: False, has_vegetarian_options: True, location: Albany, number_of_seats: 1, phone_number: 510-524-4700, price_range: moderate, rating: 4.40, restaurant_name: Sumo Japanese Restaurant, time: 19:30 }]\nEnd Search Results"""
"SYSTEM","""I couldn't make that booking. It's at 2009 977. Should I try Sumo Japanese Restaurant for 1 at 7:30 pm on March 12th?"""
"USER","""Forget it."""
"SYSTEM","""Anything else for today?"""
"USER","""No, thanks."""
"SYSTEM","""Have a nice day."""
