,address_of_location,category,city_of_event,date,event_location,event_name,subcategory,time,number_of_seats
0,235 West 46th Street,Music,New York,2019-03-01,Sony Hall,Buddy Guy,Blues,19:30,
1,"64 North 9th Street, Brooklyn",Music,New York,2019-03-01,Rough Trade NYC,Crooked Colours,Electronica,18:30,
2,235 West 46th Street,Music,New York,2019-03-01,Sony Hall,Harlem Gospel Choir,Christian,20:30,
3,"141 Prospect Park West, Brooklyn",Music,New York,2019-03-01,Prospect Park Bandshell,Jason Isbell,Country,20:30,
4,"1 Tennis Place, Forest Hills",Music,New York,2019-03-01,Forest Hills Stadium,Jethro Tull,Rock,18:00,
5,"1 Tennis Place, Forest Hills",Music,New York,2019-03-01,Forest Hills Stadium,Jojo Siwa,Pop,20:00,
6,"17 Eastern Parkway, Brooklyn",Music,New York,2019-03-01,Murmrr,Kishi Bashi,Electronica,18:00,
7,"17 Eastern Parkway, Brooklyn",Music,New York,2019-03-01,Murmrr,Low,Rock,20:00,
8,"141 Prospect Park West, Brooklyn",Music,New York,2019-03-01,Prospect Park Bandshell,Mac Demarco,Blues,18:00,
9,10 Columbus Circle,Music,New York,2019-03-01,The Appel Room,Michael Feinstein,Classical,18:00,
10,"64 North 9th Street, Brooklyn",,New York,2019-03-01,Rough Trade NYC,Crooked Colours,,18:30,3
11,1 AMB Drive Northwest,Sports,Atlanta,2019-03-04,Mercedes-Benz Stadium,Falcons Vs Buccaneers,American Football,19:30,
12,1 AMB Drive Northwest,Sports,Atlanta,2019-03-09,Mercedes-Benz Stadium,Falcons Vs Jaguars,American Football,18:00,
13,1 AMB Drive Northwest,Sports,Atlanta,2019-03-10,Mercedes-Benz Stadium,Falcons Vs Rams,American Football,19:00,
14,1 AMB Drive Northwest,Sports,Atlanta,2019-03-12,Mercedes-Benz Stadium,Falcons Vs Redskins,American Football,20:30,
15,755 Hank Aaron Drive Southeast,Sports,Atlanta,2019-03-04,Georgia State Stadium,Panthers Vs Jaguars,Basketball,18:00,
16,755 Hank Aaron Drive Southeast,Sports,Atlanta,2019-03-08,Georgia State Stadium,Panthers Vs Mountaineers,Basketball,18:00,
17,755 Hank Aaron Drive Southeast,Sports,Atlanta,2019-03-14,Georgia State Stadium,Panthers Vs Paladins,Basketball,18:00,
18,755 Hank Aaron Drive Southeast,Sports,Atlanta,2019-03-11,Georgia State Stadium,Panthers Vs Trojans,Basketball,19:30,
19,1 AMB Drive Northwest,Sports,Atlanta,2019-03-02,Mercedes-Benz Stadium,United Vs Earthquakes,Football,18:30,
20,1 AMB Drive Northwest,Sports,Atlanta,2019-03-10,Mercedes-Benz Stadium,United Vs Red Bulls,Football,19:30,
21,1 AMB Drive Northwest,,Atlanta,2019-03-09,Mercedes-Benz Stadium,Falcons Vs Jaguars,,18:00,4
22,100 California Drive,Music,Yountville,2019-03-01,Napa Valley Performing Arts Center,Todd Rundgren,Pop,18:30,
23,100 California Drive,,Yountville,2019-03-01,Napa Valley Performing Arts Center,Todd Rundgren,,18:30,4
24,1 Blue Jays Way,Sports,Toronto,2019-03-13,Rogers Centre,Blue Jays Vs Astros,Baseball,18:30,
25,1 Blue Jays Way,Sports,Toronto,2019-03-08,Rogers Centre,Blue Jays Vs Braves,Baseball,20:00,
26,1 Blue Jays Way,Sports,Toronto,2019-03-04,Rogers Centre,Blue Jays Vs Indians,Baseball,20:00,
27,1 Blue Jays Way,Sports,Toronto,2019-03-05,Rogers Centre,Blue Jays Vs Mariners,Baseball,20:30,
28,1 Blue Jays Way,Sports,Toronto,2019-03-08,Rogers Centre,Blue Jays Vs Orioles,Baseball,18:30,
29,1 Blue Jays Way,Sports,Toronto,2019-03-06,Rogers Centre,Blue Jays Vs Rangers,Baseball,20:00,
30,1 Blue Jays Way,Sports,Toronto,2019-03-13,Rogers Centre,Blue Jays Vs Rays,Baseball,20:00,
31,1 Blue Jays Way,Sports,Toronto,2019-03-04,Rogers Centre,Blue Jays Vs Royals,Baseball,18:00,
32,1 Blue Jays Way,Sports,Toronto,2019-03-06,Rogers Centre,Blue Jays Vs Yankees,Baseball,19:00,
33,170 Princes' Boulevard,Sports,Toronto,2019-03-08,BMO Field,Toronto Fc Vs Crew,Football,20:30,
34,1 Blue Jays Way,Sports,Toronto,2019-03-01,Rogers Centre,Blue Jays Vs Braves,Baseball,20:00,
35,1 Blue Jays Way,Sports,Toronto,2019-03-01,Rogers Centre,Blue Jays Vs Indians,Baseball,18:30,
36,1 Blue Jays Way,Sports,Toronto,2019-03-01,Rogers Centre,Blue Jays Vs Rays,Baseball,18:30,
37,1 Blue Jays Way,Sports,Toronto,2019-03-01,Rogers Centre,Blue Jays Vs Yankees,Baseball,18:30,
38,1 Blue Jays Way,,Toronto,2019-03-01,Rogers Centre,Blue Jays Vs Braves,,20:00,1
39,123-01 Roosevelt Avenue,Sports,New York,2019-03-13,Citi Field,Mets Vs Braves,Baseball,18:00,
40,123-01 Roosevelt Avenue,Sports,New York,2019-03-02,Citi Field,Mets Vs Cubs,Baseball,19:30,
41,123-01 Roosevelt Avenue,Sports,New York,2019-03-01,Citi Field,Mets Vs Diamondbacks,Baseball,18:00,
42,123-01 Roosevelt Avenue,Sports,New York,2019-03-03,Citi Field,Mets Vs Dodgers,Baseball,19:00,
43,123-01 Roosevelt Avenue,Sports,New York,2019-03-12,Citi Field,Mets Vs Indians,Baseball,20:30,
44,123-01 Roosevelt Avenue,Sports,New York,2019-03-08,Citi Field,Mets Vs Padres,Baseball,19:30,
45,123-01 Roosevelt Avenue,Sports,New York,2019-03-02,Citi Field,Mets Vs Phillies,Baseball,19:00,
46,123-01 Roosevelt Avenue,Sports,New York,2019-03-14,Citi Field,Mets Vs Pirates,Baseball,20:00,
47,123-01 Roosevelt Avenue,Sports,New York,2019-03-10,Citi Field,Mets Vs Rockies,Baseball,18:30,
48,123-01 Roosevelt Avenue,Sports,New York,2019-03-01,Citi Field,Mets Vs Yankees,Baseball,18:30,
49,1 Blue Jays Way,Sports,Toronto,2019-03-08,Rogers Centre,Blue Jays Vs Indians,Baseball,19:30,
50,1 Blue Jays Way,Sports,Toronto,2019-03-08,Rogers Centre,Blue Jays Vs Royals,Baseball,18:00,
51,1 Blue Jays Way,Sports,Toronto,2019-03-08,Rogers Centre,Blue Jays Vs Yankees,Baseball,20:30,
52,170 Princes' Boulevard,Sports,Toronto,2019-03-08,BMO Field,Toronto Vs Ottawa,Football,18:00,
53,1 Blue Jays Way,,Toronto,2019-03-08,Rogers Centre,Blue Jays Vs Indians,,19:30,4
54,100 Potomac Avenue Southwest,Sports,Washington D.C.,2019-03-02,Audi Field,Dc United Vs Revolution,Football,20:30,
55,2400 East Capitol Street Southeast,Sports,Washington D.C.,2019-03-01,RFK Stadium,El Salvador Vs Haiti,Football,18:00,
56,601 F Street Northwest,Sports,Washington D.C.,2019-03-14,Capital One Arena,Mystics Vs Sky,Basketball,18:30,
57,1100 Oak Drive SE,Sports,Washington D.C.,2019-03-06,Entertainment & Sports Arena,Mystics Vs Sun,Basketball,20:30,
58,1500 South Capitol Street Southeast,Sports,Washington D.C.,2019-03-12,Nationals Park,Nationals Vs Braves,Baseball,20:00,
59,1500 South Capitol Street Southeast,Sports,Washington D.C.,2019-03-14,Nationals Park,Nationals Vs Brewers,Baseball,18:00,
60,1500 South Capitol Street Southeast,Sports,Washington D.C.,2019-03-14,Nationals Park,Nationals Vs Diamondbacks,Baseball,19:30,
61,1500 South Capitol Street Southeast,Sports,Washington D.C.,2019-03-13,Nationals Park,Nationals Vs Dodgers,Baseball,20:30,
62,1500 South Capitol Street Southeast,Sports,Washington D.C.,2019-03-09,Nationals Park,Nationals Vs Indians,Baseball,18:30,
63,1500 South Capitol Street Southeast,Sports,Washington D.C.,2019-03-02,Nationals Park,Nationals Vs Orioles,Baseball,18:00,
64,100 Potomac Avenue Southwest,,Washington D.C.,2019-03-02,Audi Field,Dc United Vs Revolution,,20:30,4
65,1 Oxford Street,Sports,Sydney,2019-03-02,Football Federation Australia,Melbourne Knights Vs Avondale,Football,20:30,
66,1 Oxford Street,,Sydney,2019-03-02,Football Federation Australia,Melbourne Knights Vs Avondale,,20:30,3
67,420 Mason Street,Music,San Francisco,2019-03-09,August Hall,Allan Rayman,Hip Hop,18:00,
68,201 Van Ness Avenue,Music,San Francisco,2019-03-12,San Francisco Symphony,Carmina Burana,Classical,20:30,
69,500 Terry A Francois Boulevard Suite 73,Music,San Francisco,2019-03-13,Chase Center Experience,Celine Dion,Pop,20:30,
70,500 Terry A Francois Boulevard Suite 73,Music,San Francisco,2019-03-12,Chase Center Experience,Cher,Pop,18:30,
71,420 Mason Street,Music,San Francisco,2019-03-07,August Hall,Electric Feels,Electronica,19:00,
72,420 Mason Street,Music,San Francisco,2019-03-04,August Hall,Matt Corby,Christian,18:30,
73,777 Valencia Street,Music,San Francisco,2019-03-14,The Chapel,Okkervil River,Country,19:00,
74,777 Valencia Street,Music,San Francisco,2019-03-02,The Chapel,Remo Drive,Pop,20:30,
75,201 Van Ness Avenue,Music,San Francisco,2019-03-12,San Francisco Symphony,San Francisco Symphony,Classical,18:00,
76,420 Mason Street,Music,San Francisco,2019-03-11,August Hall,The Drums,Pop,18:30,
77,420 Mason Street,,San Francisco,2019-03-09,August Hall,Allan Rayman,,18:00,4
78,420 Mason Street,,San Francisco,2019-03-09,August Hall,Allan Rayman,,18:00,2
79,"261 Driggs Avenue, Brooklyn",Music,New York,2019-03-05,Warsaw,Amber Run Brooklyn,Pop,19:30,
80,"56-15 Northern Boulevard, Woodside",Music,New York,2019-03-05,La Boom,Americo,International,19:00,
81,"52-19 Flushing Avenue, Maspeth",Music,New York,2019-03-05,Knockdown Center,Blowout Music Festival,Hip Hop,18:00,
82,"64 North 9th Street, Brooklyn",Music,New York,2019-03-05,Rough Trade NYC,Crooked Colours,Electronica,20:00,
83,61 West 62nd Street,Music,New York,2019-03-05,David Rubenstein Atrium at Lincoln Center,France Rocks Festival,International,20:30,
84,235 West 46th Street,Music,New York,2019-03-05,Sony Hall,Jamey Johnson,Country,18:30,
85,881 7th Avenue,Music,New York,2019-03-05,Stern Auditorium / Perelman Stage,Joe Hisaishi,Classical,19:00,
86,"17 Eastern Parkway, Brooklyn",Music,New York,2019-03-05,Murmrr,Kishi Bashi,Electronica,18:00,
87,235 West 46th Street,Music,New York,2019-03-05,Sony Hall,Lyfe Jennings,Blues,20:00,
88,"1 Tennis Place, Forest Hills",Music,New York,2019-03-05,Forest Hills Stadium,Outlaw Music Festival,Country,18:00,
89,"261 Driggs Avenue, Brooklyn",,New York,2019-03-05,Warsaw,Amber Run Brooklyn,,19:30,1
90,"261 Driggs Avenue, Brooklyn",Music,New York,2019-03-14,Warsaw,Amber Run Brooklyn,Pop,18:00,
91,"56-15 Northern Boulevard, Woodside",Music,New York,2019-03-06,La Boom,Americo,International,18:30,
92,89 South Street,Music,New York,2019-03-09,Pier 17,Ben Harper,Blues,18:00,
93,89 South Street,Music,New York,2019-03-09,Pier 17,Blackbear,Hip Hop,18:30,
94,235 West 46th Street,Music,New York,2019-03-10,Sony Hall,Buddy Guy,Blues,19:30,
95,"1 Tennis Place, Forest Hills",Music,New York,2019-03-11,Forest Hills Stadium,Chemical Brothers,Rock,20:00,
96,235 West 46th Street,Music,New York,2019-03-02,Sony Hall,Chris Botti,Jazz,19:30,
97,"64 North 9th Street, Brooklyn",Music,New York,2019-03-06,Rough Trade NYC,Crooked Colours,Electronica,18:30,
98,3608 33rd Street,Music,New York,2019-03-06,Melrose Ballroom,Esscalation Music Festival,Electronica,18:00,
99,"261 Driggs Avenue, Brooklyn",,New York,2019-03-14,Warsaw,Amber Run Brooklyn,,18:00,3
100,1 AMB Drive Northwest,Sports,Atlanta,2019-03-01,Mercedes-Benz Stadium,United Vs Earthquakes,Football,19:00,
101,1 AMB Drive Northwest,Sports,Atlanta,2019-03-01,Mercedes-Benz Stadium,United Vs Revolution,Football,20:00,
102,1 AMB Drive Northwest,Sports,Atlanta,2019-03-08,Mercedes-Benz Stadium,United Vs Revolution,Football,18:00,
103,1 AMB Drive Northwest,Sports,Atlanta,2019-03-05,Mercedes-Benz Stadium,United Vs United,Football,18:00,
104,1 AMB Drive Northwest,,Atlanta,2019-03-10,Mercedes-Benz Stadium,United Vs Red Bulls,,19:30,3
105,1 AMB Drive Northwest,,Atlanta,2019-03-04,Mercedes-Benz Stadium,Falcons Vs Buccaneers,,19:30,4
106,"104 N. Ave 56, 2nd Floor",Music,Los Angeles,2019-03-02,Lodge Room,Bill Callahan,Country,20:30,
107,1234 West 7th Street,Music,Los Angeles,2019-03-07,The Teragram Ballroom,Girl In Red,Pop,19:00,
108,1720 East 16th Street,Music,Los Angeles,2019-03-14,1720(tm),Gloryhammer,Rock,20:30,
109,1234 West 7th Street,Music,Los Angeles,2019-03-08,The Teragram Ballroom,Guided By Voices,Rock,18:00,
110,448 South Main Street,Music,Los Angeles,2019-03-11,Regent Theater DTLA,Jordan Rakei,Jazz,20:30,
111,5970 Santa Monica Boulevard,Music,Los Angeles,2019-03-04,Masonic Lodge at Hollywood Forever,Kishi Bashi,Electronica,20:30,
112,1234 West 7th Street,Music,Los Angeles,2019-03-10,The Teragram Ballroom,Lights,Electronica,18:00,
113,1234 West 7th Street,Music,Los Angeles,2019-03-09,The Teragram Ballroom,Murder City Devils,Rock,18:00,
114,1720 East 16th Street,Music,Los Angeles,2019-03-11,1720(tm),Spose,Hip Hop,18:00,
115,448 South Main Street,Music,Los Angeles,2019-03-02,Regent Theater DTLA,Starset,Rock,20:00,
116,1234 West 7th Street,,Los Angeles,2019-03-07,The Teragram Ballroom,Girl In Red,,19:00,1
117,3800 Montlake Boulevard Northeast,Sports,Seattle,2019-03-05,Husky Stadium,Huskies Vs Cougars,Basketball,20:00,
118,3800 Montlake Boulevard Northeast,Sports,Seattle,2019-03-05,Husky Stadium,Huskies Vs Utes,Basketball,18:30,
119,3800 Montlake Boulevard Northeast,Sports,Seattle,2019-03-13,Husky Stadium,Huskies Vs Warriors,Basketball,18:30,
120,1250 1st Avenue South,Sports,Seattle,2019-03-10,T-Mobile Park,Mariners Vs Angels,Baseball,20:30,
121,1250 1st Avenue South,Sports,Seattle,2019-03-05,T-Mobile Park,Mariners Vs Blue Jays,Baseball,18:00,
122,1250 1st Avenue South,Sports,Seattle,2019-03-04,T-Mobile Park,Mariners Vs Rangers,Baseball,20:00,
123,1250 1st Avenue South,Sports,Seattle,2019-03-12,T-Mobile Park,Mariners Vs Rays,Baseball,20:30,
124,1250 1st Avenue South,Sports,Seattle,2019-03-01,T-Mobile Park,Mariners Vs Tigers,Baseball,20:00,
125,1250 1st Avenue South,Sports,Seattle,2019-03-06,T-Mobile Park,Mariners Vs White Sox,Baseball,20:00,
126,800 Occidental Avenue South,Sports,Seattle,2019-03-01,CenturyLink Field,Seahawks Vs Cardinals,American Football,19:00,
127,100 Park Boulevard,Sports,San Diego,2019-03-02,Petco Park,Padres Vs Brewers,Baseball,20:30,
128,100 Park Boulevard,Sports,San Diego,2019-03-04,Petco Park,Padres Vs Diamondbacks,Baseball,18:00,
129,100 Park Boulevard,Sports,San Diego,2019-03-06,Petco Park,Padres Vs Orioles,Baseball,18:30,
130,100 Park Boulevard,Sports,San Diego,2019-03-05,Petco Park,Padres Vs Rays,Baseball,18:00,
131,100 Park Boulevard,,San Diego,2019-03-02,Petco Park,Padres Vs Brewers,,20:30,2
132,100 Park Boulevard,,San Diego,2019-03-04,Petco Park,Padres Vs Diamondbacks,,18:00,4
133,1 Lincoln Financial Field Way,Sports,Philadelphia,2019-03-14,Lincoln Financial Field,Eagles Vs Cowboys,American Football,20:00,
134,1 Lincoln Financial Field Way,Sports,Philadelphia,2019-03-03,Lincoln Financial Field,Owls Vs Bison,American Football,19:30,
135,1 Lincoln Financial Field Way,Sports,Philadelphia,2019-03-13,Lincoln Financial Field,Owls Vs Huskies,American Football,18:30,
136,1 Lincoln Financial Field Way,Sports,Philadelphia,2019-03-08,Lincoln Financial Field,Owls Vs Knights,American Football,20:30,
137,1 Lincoln Financial Field Way,Sports,Philadelphia,2019-03-04,Lincoln Financial Field,Owls Vs Terrapins,American Football,19:30,
138,1 Lincoln Financial Field Way,Sports,Philadelphia,2019-03-07,Lincoln Financial Field,Owls Vs Tigers,American Football,19:00,
139,1 Lincoln Financial Field Way,Sports,Philadelphia,2019-03-09,Lincoln Financial Field,Owls Vs Yellow Jackets,American Football,19:00,
140,1 Citizens Bank Way,Sports,Philadelphia,2019-03-10,Citizens Bank Park,Phillies Vs Braves,Baseball,18:00,
