"Speaker","Utterance"
"dialogue_id:"," 49_00029"
"USER","""I'm going to be visiting friends in Nairobi fairly soon. What's the weather like there on March 3rd?"""
"SYSTEM","APICall(method='GetWeather', parameters={ city: Nairobi, date: 2019-03-03 })"
"Tool","""Search Results\n[{ city: Nairobi, date: 2019-03-03, humidity: 16, precipitation: 2, temperature: 103, wind: 1 }]\nEnd Search Results"""
"SYSTEM","""It'll average at a sizzling 103 degrees Fahrenheit, with just a 2 percent chance of rain."""
"USER","""Okay. Good to know. I want to get a round trip flight there."""
"SYSTEM","""Will you be leaving March 3rd? On what day will you return, and from what city will you depart?"""
"USER","""Yeah, I'm leaving from Atlanta on that day. I will return on the 12th of March."""
"SYSTEM","APICall(method='SearchRoundtripFlights', parameters={ departure_date: 2019-03-03, destination: Nairobi, origin: Atlanta, return_date: 2019-03-12 })"
"Tool","""Search Results\n[{ airlines: American Airlines, departure_date: 2019-03-03, destination: Nairobi, destination_airport: Jomo Kenyatta International Airport, fare: 431, inbound_arrival_time: 22:52, inbound_departure_time: 05:35, is_redeye: True, number_stops: 1, origin: Atlanta, origin_airport: Hartsfield-Jackson International Airport, outbound_arrival_time: 10:07, outbound_departure_time: 06:45, passengers: 1, return_date: 2019-03-12, seating_class: Economy }]\nEnd Search Results"""
"SYSTEM","""I found 1 flight that suits your criteria. How does a $431 American Airlines sound? It leaves at 6:45 am, and will return at 5:35 am."""
"USER","""That's good. I also need to find a house for 1 that has laundry service and a rating of at least 4.6."""
"SYSTEM","APICall(method='SearchHouse', parameters={ has_laundry_service: True, number_of_adults: 1, rating: 4.60, where_to: Nairobi })"
"Tool","""Search Results\n[{ address: Chiromo Road, has_laundry_service: True, number_of_adults: 1, phone_number: +254 703 049000, rating: 4.60, total_price: 720, where_to: Nairobi }, { address: Elgon Road, has_laundry_service: True, number_of_adults: 1, phone_number: +254 709 810000, rating: 4.60, total_price: 600, where_to: Nairobi }]\nEnd Search Results"""
"SYSTEM","""I found a house at Chiromo Road with a 4.6 star rating."""
"USER","""That's a great house! That's all I'll need."""
"SYSTEM","""It's a pleasure to help you out. I hope Nairobi is a great time for you. Goodbye."""
