,airlines,departure_date,destination_airport,destination_city,number_stops,origin_airport,origin_city,outbound_arrival_time,outbound_departure_time,passengers,price,refundable,seating_class,inbound_arrival_time,inbound_departure_time,return_date
0,Delta Airlines,2019-03-10,PHL International Airport,Philadelphia,1,Charles de Gaulle International Airport,Paris,00:51,17:35,1,364,False,Economy,,,
1,Air Canada,2019-03-09,Seattle-Tacoma International Airport,Seattle,1,YVR International Airport,Vancouver,02:32,16:45,1,263,False,Economy,,,
2,Delta Airlines,2019-03-09,Seattle-Tacoma International Airport,Seattle,1,YVR International Airport,Vancouver,12:15,02:50,1,309,False,Economy,,,
3,United Airlines,2019-03-09,Seattle-Tacoma International Airport,Seattle,1,YVR International Airport,Vancouver,22:56,18:05,1,257,False,Economy,,,
4,American Airlines,2019-03-03,SFO International Airport,San Francisco,0,McCarran International Airport,Las Vegas,12:30,10:55,1,96,True,Economy,,,
5,Delta Airlines,2019-03-03,SFO International Airport,San Francisco,0,McCarran International Airport,Las Vegas,00:25,22:50,1,97,False,Economy,,,
6,Southwest Airlines,2019-03-03,SFO International Airport,San Francisco,1,McCarran International Airport,Las Vegas,18:15,14:35,1,177,False,Economy,,,
7,United Airlines,2019-03-03,SFO International Airport,San Francisco,0,McCarran International Airport,Las Vegas,19:05,17:30,1,103,True,Economy,,,
8,American Airlines,2019-03-13,PHL International Airport,Philadelphia,1,Benito Juarez International Airport,Mexico City,19:26,12:05,1,208,True,Economy,,,
9,Delta Airlines,2019-03-13,PHL International Airport,Philadelphia,1,Benito Juarez International Airport,Mexico City,20:31,15:00,1,197,False,Economy,,,
10,United Airlines,2019-03-13,PHL International Airport,Philadelphia,1,Benito Juarez International Airport,Mexico City,16:36,08:25,1,199,False,Economy,,,
11,American Airlines,2019-03-13,Kingsford Smith International Airport,Sydney,0,LAX International Airport,Los Angeles,04:32,05:05,1,182,False,Economy,,,
12,Delta Airlines,2019-03-13,Kingsford Smith International Airport,Sydney,1,LAX International Airport,Los Angeles,16:01,09:15,1,293,False,Economy,,,
13,Southwest Airlines,2019-03-13,Kingsford Smith International Airport,Sydney,0,LAX International Airport,Los Angeles,13:32,14:05,1,186,False,Economy,,,
14,United Airlines,2019-03-13,Kingsford Smith International Airport,Sydney,0,LAX International Airport,Los Angeles,07:22,07:55,1,181,True,Economy,,,
15,Alaska Airlines,2019-03-13,O'Hare International Airport,Chicago,0,LAX International Airport,Los Angeles,22:52,16:20,4,168,True,Economy,,,
16,American Airlines,2019-03-13,O'Hare International Airport,Chicago,0,LAX International Airport,Los Angeles,15:02,08:30,4,193,False,Economy,,,
17,Delta Airlines,2019-03-13,O'Hare International Airport,Chicago,0,LAX International Airport,Los Angeles,20:12,13:40,4,180,False,Economy,,,
18,Southwest Airlines,2019-03-13,O'Hare International Airport,Chicago,0,LAX International Airport,Los Angeles,20:12,13:40,4,177,False,Economy,,,
19,Delta Airlines,2019-03-10,SFO International Airport,San Francisco,1,Kingsford Smith International Airport,Sydney,10:40,17:50,1,295,False,Economy,,,
20,United Airlines,2019-03-10,SFO International Airport,San Francisco,1,Kingsford Smith International Airport,Sydney,18:15,22:05,1,271,False,Economy,,,
21,Delta Airlines,2019-03-10,Seattle-Tacoma International Airport,Seattle,1,Kingsford Smith International Airport,Sydney,14:47,17:50,3,347,False,Economy,,,
22,Delta Airlines,2019-03-12,Indira Gandhi International Airport,Delhi,1,Hartsfield-Jackson International Airport,Atlanta,09:04,07:50,1,334,False,Economy,,,
23,American Airlines,2019-03-05,JFK International Airport,New York,0,PHL International Airport,Philadelphia,17:36,16:45,1,100,False,Premium Economy,,,
24,Delta Airlines,2019-03-05,JFK International Airport,New York,0,PHL International Airport,Philadelphia,17:31,16:40,1,96,False,Premium Economy,,,
25,Southwest Airlines,2019-03-05,JFK International Airport,New York,0,PHL International Airport,Philadelphia,08:36,07:45,1,98,False,Premium Economy,,,
26,United Airlines,2019-03-05,JFK International Airport,New York,0,PHL International Airport,Philadelphia,05:36,04:45,1,104,False,Premium Economy,,,
27,American Airlines,2019-03-05,PDX International Airport,Portland,0,LAX International Airport,Los Angeles,01:45,23:15,1,129,False,Economy,,,
28,Alaska Airlines,2019-03-10,SFO International Airport,San Francisco,0,SAN International Airport,San Diego,12:50,11:10,1,102,False,Economy,,,
29,American Airlines,2019-03-10,SFO International Airport,San Francisco,0,SAN International Airport,San Diego,23:00,21:20,1,103,False,Economy,,,
30,Delta Airlines,2019-03-10,SFO International Airport,San Francisco,0,SAN International Airport,San Diego,21:35,19:55,1,107,False,Economy,,,
31,Southwest Airlines,2019-03-10,SFO International Airport,San Francisco,0,SAN International Airport,San Diego,08:40,07:00,1,103,False,Economy,,,
32,United Airlines,2019-03-10,SFO International Airport,San Francisco,0,SAN International Airport,San Diego,09:00,07:20,1,105,False,Economy,,,
33,Alaska Airlines,2019-03-02,SFO International Airport,San Francisco,0,SAN International Airport,San Diego,12:50,11:10,1,103,False,Economy,,,
34,American Airlines,2019-03-02,SFO International Airport,San Francisco,0,SAN International Airport,San Diego,23:00,21:20,1,99,False,Economy,,,
35,Delta Airlines,2019-03-02,SFO International Airport,San Francisco,0,SAN International Airport,San Diego,21:35,19:55,1,99,False,Economy,,,
36,Southwest Airlines,2019-03-02,SFO International Airport,San Francisco,0,SAN International Airport,San Diego,08:40,07:00,1,97,False,Economy,,,
37,American Airlines,2019-03-02,SFO International Airport,San Francisco,1,SAN International Airport,San Diego,13:30,09:50,1,148,True,Economy,,,
38,American Airlines,2019-03-02,LAX International Airport,Los Angeles,0,Hartsfield-Jackson International Airport,Atlanta,11:34,09:35,1,177,True,Economy,,,
39,Delta Airlines,2019-03-02,LAX International Airport,Los Angeles,0,Hartsfield-Jackson International Airport,Atlanta,00:19,22:20,1,150,True,Economy,,,
40,Southwest Airlines,2019-03-02,LAX International Airport,Los Angeles,0,Hartsfield-Jackson International Airport,Atlanta,15:29,13:30,1,187,False,Economy,,,
41,United Airlines,2019-03-02,LAX International Airport,Los Angeles,0,Hartsfield-Jackson International Airport,Atlanta,10:34,08:35,1,175,True,Economy,,,
42,Air Canada,2019-03-01,JFK International Airport,New York,1,YVR International Airport,Vancouver,01:09,14:00,1,295,True,Economy,,,
43,Air Canada,2019-03-10,Hartsfield-Jackson International Airport,Atlanta,0,YVR International Airport,Vancouver,18:26,09:45,1,159,False,Economy,,,
44,Delta Airlines,2019-03-10,Hartsfield-Jackson International Airport,Atlanta,1,YVR International Airport,Vancouver,14:56,02:50,1,267,False,Economy,,,
45,American Airlines,2019-03-05,Benito Juarez International Airport,Mexico City,1,McCarran International Airport,Las Vegas,20:05,09:30,1,209,False,Economy,,,
46,Delta Airlines,2019-03-05,Benito Juarez International Airport,Mexico City,1,McCarran International Airport,Las Vegas,20:05,12:20,1,206,False,Economy,,,
47,Southwest Airlines,2019-03-05,Benito Juarez International Airport,Mexico City,1,McCarran International Airport,Las Vegas,02:05,14:35,1,229,False,Economy,,,
48,United Airlines,2019-03-05,Benito Juarez International Airport,Mexico City,1,McCarran International Airport,Las Vegas,20:05,12:05,1,212,False,Economy,,,
49,Alaska Airlines,2019-03-13,O'Hare International Airport,Chicago,0,SFO International Airport,San Francisco,20:22,13:35,1,283,False,Premium Economy,,,
50,American Airlines,2019-03-13,Benito Juarez International Airport,Mexico City,0,LAX International Airport,Los Angeles,20:05,14:45,1,162,False,Economy,,,
51,Delta Airlines,2019-03-13,Benito Juarez International Airport,Mexico City,1,LAX International Airport,Los Angeles,18:53,09:15,1,235,False,Economy,,,
52,Southwest Airlines,2019-03-13,Benito Juarez International Airport,Mexico City,0,LAX International Airport,Los Angeles,02:05,20:45,1,166,False,Economy,,,
53,United Airlines,2019-03-13,Benito Juarez International Airport,Mexico City,0,LAX International Airport,Los Angeles,09:45,04:25,1,140,False,Economy,,,
54,Alaska Airlines,2019-03-13,Hartsfield-Jackson International Airport,Atlanta,0,LAX International Airport,Los Angeles,05:24,21:25,1,162,True,Economy,,,
55,American Airlines,2019-03-13,Hartsfield-Jackson International Airport,Atlanta,0,LAX International Airport,Los Angeles,01:24,17:25,1,165,False,Economy,,,
56,Delta Airlines,2019-03-13,Hartsfield-Jackson International Airport,Atlanta,0,LAX International Airport,Los Angeles,17:19,09:20,1,173,False,Economy,,,
57,Southwest Airlines,2019-03-13,Hartsfield-Jackson International Airport,Atlanta,1,LAX International Airport,Los Angeles,23:41,13:40,1,284,False,Economy,,,
58,United Airlines,2019-03-13,Hartsfield-Jackson International Airport,Atlanta,0,LAX International Airport,Los Angeles,04:39,20:40,1,179,False,Economy,,,
59,Alaska Airlines,2019-03-04,PDX International Airport,Portland,0,LAX International Airport,Los Angeles,09:55,07:25,1,127,True,Economy,,,
60,American Airlines,2019-03-04,PDX International Airport,Portland,0,LAX International Airport,Los Angeles,01:45,23:15,1,120,False,Economy,,,
61,Delta Airlines,2019-03-04,PDX International Airport,Portland,0,LAX International Airport,Los Angeles,00:20,21:50,1,123,True,Economy,,,
62,Southwest Airlines,2019-03-04,PDX International Airport,Portland,0,LAX International Airport,Los Angeles,19:00,16:30,1,150,False,Economy,,,
63,United Airlines,2019-03-04,PDX International Airport,Portland,1,LAX International Airport,Los Angeles,14:13,08:55,1,180,True,Economy,,,
64,Alaska Airlines,2019-03-01,McCarran International Airport,Las Vegas,0,SFO International Airport,San Francisco,21:50,20:15,1,87,True,Economy,,,
65,American Airlines,2019-03-01,McCarran International Airport,Las Vegas,0,SFO International Airport,San Francisco,19:05,17:30,1,118,False,Economy,,,
66,Delta Airlines,2019-03-01,McCarran International Airport,Las Vegas,0,SFO International Airport,San Francisco,12:25,10:50,1,91,False,Economy,,,
67,Southwest Airlines,2019-03-01,McCarran International Airport,Las Vegas,1,SFO International Airport,San Francisco,16:15,12:50,1,178,False,Economy,,,
68,United Airlines,2019-03-01,McCarran International Airport,Las Vegas,0,SFO International Airport,San Francisco,20:50,19:15,1,84,False,Economy,,,
69,American Airlines,2019-03-08,LAX International Airport,Los Angeles,0,Indira Gandhi International Airport,Delhi,20:04,19:00,4,297,False,Economy,,,
70,American Airlines,2019-03-07,Sky Harbor International Airport,Phoenix,1,O'Hare International Airport,Chicago,09:18,04:30,1,256,False,Economy,,,
71,Delta Airlines,2019-03-07,Sky Harbor International Airport,Phoenix,1,O'Hare International Airport,Chicago,13:17,08:30,1,258,False,Economy,,,
72,United Airlines,2019-03-07,Sky Harbor International Airport,Phoenix,1,O'Hare International Airport,Chicago,01:17,18:25,1,276,False,Economy,,,
73,American Airlines,2019-03-02,YVR International Airport,Vancouver,0,O'Hare International Airport,Chicago,14:31,11:55,2,161,False,Economy,,,
74,Delta Airlines,2019-03-02,YVR International Airport,Vancouver,1,O'Hare International Airport,Chicago,14:56,08:30,2,302,False,Economy,,,
75,Southwest Airlines,2019-03-02,YVR International Airport,Vancouver,0,O'Hare International Airport,Chicago,11:11,08:35,2,135,False,Economy,,,
76,United Airlines,2019-03-02,YVR International Airport,Vancouver,1,O'Hare International Airport,Chicago,19:49,12:45,2,307,False,Economy,,,
77,United Airlines,2019-03-04,Seattle-Tacoma International Airport,Seattle,1,Indira Gandhi International Airport,Delhi,09:37,01:10,3,410,False,Economy,,,
78,American Airlines,2019-03-09,Seattle-Tacoma International Airport,Seattle,1,Sky Harbor International Airport,Phoenix,14:47,08:40,1,226,False,Economy,,,
79,Delta Airlines,2019-03-09,Seattle-Tacoma International Airport,Seattle,1,Sky Harbor International Airport,Phoenix,17:06,11:55,1,222,False,Economy,,,
80,Southwest Airlines,2019-03-09,Seattle-Tacoma International Airport,Seattle,1,Sky Harbor International Airport,Phoenix,12:42,07:25,1,228,True,Economy,,,
81,United Airlines,2019-03-09,Seattle-Tacoma International Airport,Seattle,1,Sky Harbor International Airport,Phoenix,23:43,18:10,1,196,False,Economy,,,
82,American Airlines,2019-03-12,SFO International Airport,San Francisco,1,Heathrow International Airport,London,23:45,15:05,4,341,False,Economy,,,
83,British Airways,2019-03-12,SFO International Airport,San Francisco,1,Heathrow International Airport,London,20:11,09:15,4,374,False,Economy,,,
84,Delta Airlines,2019-03-12,SFO International Airport,San Francisco,1,Heathrow International Airport,London,21:12,08:00,4,355,False,Economy,,,
85,United Airlines,2019-03-12,SFO International Airport,San Francisco,1,Heathrow International Airport,London,09:31,00:25,4,443,False,Economy,,,
86,Delta Airlines,2019-03-03,JFK International Airport,New York,0,O'Hare International Airport,Chicago,12:34,09:15,1,128,False,Economy,,,
87,American Airlines,2019-03-13,PDX International Airport,Portland,1,McCarran International Airport,Las Vegas,23:14,19:15,3,247,True,Economy,,,
88,Delta Airlines,2019-03-13,PDX International Airport,Portland,1,McCarran International Airport,Las Vegas,21:05,16:45,3,207,False,Economy,,,
89,Southwest Airlines,2019-03-13,PDX International Airport,Portland,1,McCarran International Airport,Las Vegas,19:00,14:35,3,218,False,Economy,,,
90,United Airlines,2019-03-13,PDX International Airport,Portland,1,McCarran International Airport,Las Vegas,21:33,17:30,3,216,True,Economy,,,
91,Alaska Airlines,2019-03-06,Hartsfield-Jackson International Airport,Atlanta,1,SFO International Airport,San Francisco,00:51,13:35,1,239,False,Economy,,,
92,American Airlines,2019-03-06,Hartsfield-Jackson International Airport,Atlanta,1,SFO International Airport,San Francisco,01:24,15:50,1,262,False,Economy,,,
93,Delta Airlines,2019-03-06,Hartsfield-Jackson International Airport,Atlanta,0,SFO International Airport,San Francisco,18:31,10:05,1,173,False,Economy,,,
94,Southwest Airlines,2019-03-06,Hartsfield-Jackson International Airport,Atlanta,1,SFO International Airport,San Francisco,17:04,06:45,1,273,False,Economy,,,
95,United Airlines,2019-03-06,Hartsfield-Jackson International Airport,Atlanta,1,SFO International Airport,San Francisco,04:14,18:10,1,251,False,Economy,,,
96,Alaska Airlines,2019-03-06,Sky Harbor International Airport,Phoenix,0,SFO International Airport,San Francisco,13:52,11:45,1,121,True,Economy,,,
97,Delta Airlines,2019-03-06,Sky Harbor International Airport,Phoenix,0,SFO International Airport,San Francisco,11:42,09:35,1,115,True,Economy,,,
98,Southwest Airlines,2019-03-06,Sky Harbor International Airport,Phoenix,0,SFO International Airport,San Francisco,01:17,23:10,1,128,False,Economy,,,
99,Alaska Airlines,2019-03-10,O'Hare International Airport,Chicago,0,SFO International Airport,San Francisco,20:22,13:35,1,183,False,Economy,,,
100,American Airlines,2019-03-10,O'Hare International Airport,Chicago,0,SFO International Airport,San Francisco,22:07,15:20,1,170,False,Economy,,,
101,Delta Airlines,2019-03-10,O'Hare International Airport,Chicago,0,SFO International Airport,San Francisco,04:52,22:05,1,183,False,Economy,,,
102,Southwest Airlines,2019-03-10,O'Hare International Airport,Chicago,1,SFO International Airport,San Francisco,15:02,06:45,1,287,False,Economy,,,
103,United Airlines,2019-03-10,O'Hare International Airport,Chicago,0,SFO International Airport,San Francisco,04:07,21:20,1,182,True,Economy,,,
104,Alaska Airlines,2019-03-10,O'Hare International Airport,Chicago,0,SFO International Airport,San Francisco,20:22,13:35,2,183,False,Economy,,,
105,American Airlines,2019-03-10,O'Hare International Airport,Chicago,0,SFO International Airport,San Francisco,22:07,15:20,2,170,False,Economy,,,
106,Delta Airlines,2019-03-10,O'Hare International Airport,Chicago,0,SFO International Airport,San Francisco,04:52,22:05,2,183,False,Economy,,,
107,Southwest Airlines,2019-03-10,O'Hare International Airport,Chicago,1,SFO International Airport,San Francisco,15:02,06:45,2,287,False,Economy,,,
108,Alaska Airlines,2019-03-06,SAN International Airport,San Diego,0,LAX International Airport,Los Angeles,08:24,07:30,1,70,True,Economy,,,
109,American Airlines,2019-03-06,SAN International Airport,San Diego,0,LAX International Airport,Los Angeles,08:34,07:40,1,69,False,Economy,,,
110,Southwest Airlines,2019-03-06,SAN International Airport,San Diego,0,LAX International Airport,Los Angeles,16:19,15:25,1,58,False,Economy,,,
111,United Airlines,2019-03-06,SAN International Airport,San Diego,0,LAX International Airport,Los Angeles,12:34,11:40,1,63,False,Economy,,,
112,American Airlines,2019-03-02,PHL International Airport,Philadelphia,1,Benito Juarez International Airport,Mexico City,19:26,12:05,1,212,True,Economy,,,
113,United Airlines,2019-03-02,PHL International Airport,Philadelphia,1,Benito Juarez International Airport,Mexico City,19:46,08:25,1,210,False,Economy,,,
114,American Airlines,2019-03-12,Heathrow International Airport,London,1,Dulles International Airport,Washington,10:14,14:50,1,359,False,Economy,,,
115,Southwest Airlines,2019-03-12,Heathrow International Airport,London,1,Dulles International Airport,Washington,10:14,15:35,1,339,False,Economy,,,
116,United Airlines,2019-03-12,Heathrow International Airport,London,1,Dulles International Airport,Washington,10:44,16:40,1,348,False,Economy,,,
117,Alaska Airlines,2019-03-12,Heathrow International Airport,London,1,Seattle-Tacoma International Airport,Seattle,16:04,15:45,1,404,True,Economy,,,
118,Southwest Airlines,2019-03-12,Heathrow International Airport,London,1,Seattle-Tacoma International Airport,Seattle,06:04,05:25,1,400,False,Economy,,,
119,Alaska Airlines,2019-03-07,Charles de Gaulle International Airport,Paris,0,LAX International Airport,Los Angeles,11:18,13:00,4,250,False,Economy,,,
120,American Airlines,2019-03-07,Charles de Gaulle International Airport,Paris,0,LAX International Airport,Los Angeles,07:58,09:40,4,269,False,Economy,,,
121,Delta Airlines,2019-03-07,Charles de Gaulle International Airport,Paris,0,LAX International Airport,Los Angeles,06:43,08:25,4,277,False,Economy,,,
122,Southwest Airlines,2019-03-07,Charles de Gaulle International Airport,Paris,1,LAX International Airport,Los Angeles,11:36,07:20,4,418,False,Economy,,,
123,Delta Airlines,2019-03-10,Charles de Gaulle International Airport,Paris,0,LAX International Airport,Los Angeles,06:43,08:25,4,255,False,Economy,,,
124,United Airlines,2019-03-08,PDX International Airport,Portland,0,SAN International Airport,San Diego,23:14,20:30,1,119,True,Economy,,,
125,American Airlines,2019-03-04,Benito Juarez International Airport,Mexico City,1,Dulles International Airport,Washington,11:06,05:10,1,225,True,Economy,,,
126,Delta Airlines,2019-03-04,Benito Juarez International Airport,Mexico City,1,Dulles International Airport,Washington,20:05,10:00,1,301,False,Economy,,,
127,Southwest Airlines,2019-03-04,Benito Juarez International Airport,Mexico City,1,Dulles International Airport,Washington,02:05,14:50,1,337,False,Economy,,,
128,American Airlines,2019-03-11,Seattle-Tacoma International Airport,Seattle,1,McCarran International Airport,Las Vegas,14:47,09:30,4,214,False,Economy,,,
129,United Airlines,2019-03-11,Seattle-Tacoma International Airport,Seattle,1,McCarran International Airport,Las Vegas,18:21,13:40,4,235,False,Economy,,,
130,Air Canada,2019-03-08,Seattle-Tacoma International Airport,Seattle,1,YVR International Airport,Vancouver,22:56,14:05,1,239,False,Economy,,,
131,American Airlines,2019-03-07,Toronto Pearson International Airport,Toronto,1,McCarran International Airport,Las Vegas,21:54,09:30,2,260,False,Economy,,,
132,United Airlines,2019-03-07,Toronto Pearson International Airport,Toronto,1,McCarran International Airport,Las Vegas,21:54,12:05,2,275,False,Economy,,,
133,Southwest Airlines,2019-03-01,Indira Gandhi International Airport,Delhi,1,Sky Harbor International Airport,Phoenix,16:07,06:00,3,366,False,Economy,,,
134,United Airlines,2019-03-01,Indira Gandhi International Airport,Delhi,1,Sky Harbor International Airport,Phoenix,16:07,11:05,3,359,False,Economy,,,
135,American Airlines,2019-03-14,PHL International Airport,Philadelphia,1,Charles de Gaulle International Airport,Paris,10:56,04:05,1,272,False,Economy,,,
136,Delta Airlines,2019-03-14,PHL International Airport,Philadelphia,1,Charles de Gaulle International Airport,Paris,00:16,17:35,1,333,False,Economy,,,
137,American Airlines,2019-03-06,O'Hare International Airport,Chicago,0,Hartsfield-Jackson International Airport,Atlanta,22:16,21:15,1,108,True,Economy,,,
138,Delta Airlines,2019-03-06,O'Hare International Airport,Chicago,0,Hartsfield-Jackson International Airport,Atlanta,08:51,07:50,1,126,False,Economy,,,
139,Southwest Airlines,2019-03-06,O'Hare International Airport,Chicago,0,Hartsfield-Jackson International Airport,Atlanta,14:36,13:35,1,121,False,Economy,,,
140,United Airlines,2019-03-06,O'Hare International Airport,Chicago,0,Hartsfield-Jackson International Airport,Atlanta,07:16,06:15,1,119,False,Economy,,,
141,American Airlines,2019-03-02,O'Hare International Airport,Chicago,0,Hartsfield-Jackson International Airport,Atlanta,22:16,21:15,1,118,True,Economy,,,
142,Delta Airlines,2019-03-02,O'Hare International Airport,Chicago,0,Hartsfield-Jackson International Airport,Atlanta,08:51,07:50,1,110,False,Economy,,,
143,Southwest Airlines,2019-03-02,O'Hare International Airport,Chicago,0,Hartsfield-Jackson International Airport,Atlanta,05:36,04:35,1,104,False,Economy,,,
144,American Airlines,2019-03-08,Hartsfield-Jackson International Airport,Atlanta,1,PHL International Airport,Philadelphia,14:56,10:10,1,215,False,Economy,,,
145,American Airlines,2019-03-10,SAN International Airport,San Diego,1,Indira Gandhi International Airport,Delhi,23:04,19:00,1,323,False,Economy,,,
146,United Airlines,2019-03-10,SAN International Airport,San Diego,1,Indira Gandhi International Airport,Delhi,08:34,01:10,1,293,False,Economy,,,
147,American Airlines,2019-03-12,Hartsfield-Jackson International Airport,Atlanta,0,Sky Harbor International Airport,Phoenix,06:37,23:25,1,162,False,Economy,,,
