,departure_date,departure_time,destination,destination_station_name,fare_type,group_size,origin,origin_station_name,price
0,2019-03-03,07:20,Los Angeles,Union Station,Economy,1,Las Vegas,Union Plaza,41
1,2019-03-03,10:20,Los Angeles,Union Station,Economy,1,Las Vegas,Union Plaza,48
2,2019-03-03,11:50,Los Angeles,Union Station,Economy,1,Las Vegas,Union Plaza,33
3,2019-03-03,17:00,Los Angeles,Union Station,Economy,1,Las Vegas,Union Plaza,42
4,2019-03-03,07:20,Los Angeles,Union Station,Economy,3,Las Vegas,Union Plaza,41
5,2019-03-03,10:20,Los Angeles,Union Station,Economy,3,Las Vegas,Union Plaza,48
6,2019-03-03,11:50,Los Angeles,Union Station,Economy,3,Las Vegas,Union Plaza,33
7,2019-03-03,17:00,Los Angeles,Union Station,Economy,3,Las Vegas,Union Plaza,42
8,2019-03-08,07:50,Long Beach,Downtown Station,Flexible,1,San Francisco,Salesforce Transit Center,72
9,2019-03-08,08:50,Long Beach,Downtown Station,Flexible,1,San Francisco,Salesforce Transit Center,65
10,2019-03-08,09:10,Long Beach,Downtown Station,Flexible,1,San Francisco,Salesforce Transit Center,73
11,2019-03-08,10:30,Long Beach,Downtown Station,Flexible,1,San Francisco,Salesforce Transit Center,70
12,2019-03-08,15:20,Long Beach,Downtown Station,Flexible,1,San Francisco,Salesforce Transit Center,72
13,2019-03-08,16:30,Long Beach,Downtown Station,Flexible,1,San Francisco,Salesforce Transit Center,68
14,2019-03-08,17:00,Long Beach,Downtown Station,Flexible,1,San Francisco,Salesforce Transit Center,68
15,2019-03-05,07:30,Fresno,Fresno Station,Economy extra,4,Sacramento,Sacramento Valley Station,39
16,2019-03-05,10:40,Fresno,Fresno Station,Economy extra,4,Sacramento,Sacramento Valley Station,41
17,2019-03-05,11:00,Fresno,Fresno Station,Economy extra,4,Sacramento,Sacramento Valley Station,37
18,2019-03-05,13:30,Fresno,Fresno Station,Economy extra,4,Sacramento,Sacramento Valley Station,39
19,2019-03-05,18:40,Fresno,Fresno Station,Economy extra,4,Sacramento,Sacramento Valley Station,38
20,2019-03-05,19:50,Fresno,Fresno Station,Economy extra,4,Sacramento,Sacramento Valley Station,43
21,2019-03-06,07:30,Fresno,Fresno Station,Economy extra,4,Sacramento,Sacramento Valley Station,41
22,2019-03-06,10:40,Fresno,Fresno Station,Economy extra,4,Sacramento,Sacramento Valley Station,43
23,2019-03-06,11:00,Fresno,Fresno Station,Economy extra,4,Sacramento,Sacramento Valley Station,40
24,2019-03-06,13:30,Fresno,Fresno Station,Economy extra,4,Sacramento,Sacramento Valley Station,38
25,2019-03-06,18:40,Fresno,Fresno Station,Economy extra,4,Sacramento,Sacramento Valley Station,44
26,2019-03-06,07:30,Fresno,Fresno Station,Flexible,4,Sacramento,Sacramento Valley Station,51
27,2019-03-06,10:40,Fresno,Fresno Station,Flexible,4,Sacramento,Sacramento Valley Station,53
28,2019-03-06,11:00,Fresno,Fresno Station,Flexible,4,Sacramento,Sacramento Valley Station,50
29,2019-03-06,13:30,Fresno,Fresno Station,Flexible,4,Sacramento,Sacramento Valley Station,48
30,2019-03-10,10:50,San Francisco,Salesforce Transit Center,Economy,1,Las Vegas,Union Plaza,49
31,2019-03-10,12:50,San Francisco,Salesforce Transit Center,Economy,1,Las Vegas,Union Plaza,50
32,2019-03-10,14:40,San Francisco,Salesforce Transit Center,Economy,1,Las Vegas,Union Plaza,50
33,2019-03-10,14:50,San Francisco,Salesforce Transit Center,Economy,1,Las Vegas,Union Plaza,44
34,2019-03-10,15:50,San Francisco,Salesforce Transit Center,Economy,1,Las Vegas,Union Plaza,51
35,2019-03-10,19:40,San Francisco,Salesforce Transit Center,Economy,1,Las Vegas,Union Plaza,51
36,2019-03-10,10:50,San Francisco,Salesforce Transit Center,Economy,4,Las Vegas,Union Plaza,49
37,2019-03-10,12:50,San Francisco,Salesforce Transit Center,Economy,4,Las Vegas,Union Plaza,50
38,2019-03-10,14:40,San Francisco,Salesforce Transit Center,Economy,4,Las Vegas,Union Plaza,50
39,2019-03-10,14:50,San Francisco,Salesforce Transit Center,Economy,4,Las Vegas,Union Plaza,44
40,2019-03-10,15:50,San Francisco,Salesforce Transit Center,Economy,4,Las Vegas,Union Plaza,51
41,2019-03-10,19:40,San Francisco,Salesforce Transit Center,Economy,4,Las Vegas,Union Plaza,51
42,2019-03-12,09:20,Fresno,Fresno Station,Economy extra,1,San Francisco,Salesforce Transit Center,43
43,2019-03-12,10:20,Fresno,Fresno Station,Economy extra,1,San Francisco,Salesforce Transit Center,45
44,2019-03-12,12:20,Fresno,Fresno Station,Economy extra,1,San Francisco,Salesforce Transit Center,40
45,2019-03-12,14:30,Fresno,Fresno Station,Economy extra,1,San Francisco,Salesforce Transit Center,39
46,2019-03-12,16:30,Fresno,Fresno Station,Economy extra,1,San Francisco,Salesforce Transit Center,44
47,2019-03-12,17:30,Fresno,Fresno Station,Economy extra,1,San Francisco,Salesforce Transit Center,41
48,2019-03-12,18:20,Fresno,Fresno Station,Economy extra,1,San Francisco,Salesforce Transit Center,41
49,2019-03-12,11:10,Fresno,Fresno Station,Economy extra,1,Long Beach,Downtown Station,50
50,2019-03-12,13:50,Fresno,Fresno Station,Economy extra,1,Long Beach,Downtown Station,50
51,2019-03-12,14:50,Fresno,Fresno Station,Economy extra,1,Long Beach,Downtown Station,49
52,2019-03-12,15:20,Fresno,Fresno Station,Economy extra,1,Long Beach,Downtown Station,44
53,2019-03-12,16:10,Fresno,Fresno Station,Economy extra,1,Long Beach,Downtown Station,51
54,2019-03-12,19:50,Fresno,Fresno Station,Economy extra,1,Long Beach,Downtown Station,49
55,2019-03-01,09:20,Portland,Portland Bus Station,Flexible,2,Vancouver,Pacific Central Station,62
56,2019-03-01,09:30,Portland,Portland Bus Station,Flexible,2,Vancouver,Pacific Central Station,56
57,2019-03-01,15:10,Portland,Portland Bus Station,Flexible,2,Vancouver,Pacific Central Station,55
