,airlines,arrives_next_day,departure_date,destination_airport_name,destination_city,flight_class,number_checked_bags,number_stops,origin_airport_name,origin_city,outbound_arrival_time,outbound_departure_time,passengers,price,inbound_arrival_time,inbound_departure_time,return_date
0,Air Canada,False,2019-03-03,Seattle-Tacoma International Airport,Seattle,Economy,0,1,YVR International Airport,Vancouver,11:02,04:20,1,322,,,
1,American Airlines,False,2019-03-03,Seattle-Tacoma International Airport,Seattle,Economy,0,1,YVR International Airport,Vancouver,12:02,01:30,1,303,,,
2,Delta Airlines,False,2019-03-03,Seattle-Tacoma International Airport,Seattle,Economy,0,1,YVR International Airport,Vancouver,16:16,06:40,1,261,,,
3,United Airlines,True,2019-03-03,Seattle-Tacoma International Airport,Seattle,Economy,0,1,YVR International Airport,Vancouver,01:17,18:55,1,261,,,
4,American Airlines,False,2019-03-07,SAN International Airport,San Diego,Economy,0,1,Benito Juarez International Airport,Mexico City,19:20,11:40,1,273,,,
5,Delta Airlines,False,2019-03-07,SAN International Airport,San Diego,Economy,0,1,Benito Juarez International Airport,Mexico City,22:34,18:35,1,203,,,
6,United Airlines,False,2019-03-07,SAN International Airport,San Diego,Economy,0,1,Benito Juarez International Airport,Mexico City,12:00,03:15,1,256,,,
7,Alaska Airlines,False,2019-03-06,Hartsfield-Jackson International Airport,Atlanta,Economy,0,0,Seattle-Tacoma International Airport,Seattle,15:07,06:35,1,181,,,
8,American Airlines,False,2019-03-06,Hartsfield-Jackson International Airport,Atlanta,Economy,0,0,Seattle-Tacoma International Airport,Seattle,19:07,10:35,1,184,,,
9,Delta Airlines,False,2019-03-06,Hartsfield-Jackson International Airport,Atlanta,Economy,0,0,Seattle-Tacoma International Airport,Seattle,15:02,06:30,1,167,,,
10,Southwest Airlines,True,2019-03-06,Hartsfield-Jackson International Airport,Atlanta,Economy,0,0,Seattle-Tacoma International Airport,Seattle,03:27,18:55,1,204,,,
11,United Airlines,True,2019-03-06,Hartsfield-Jackson International Airport,Atlanta,Economy,0,1,Seattle-Tacoma International Airport,Seattle,02:29,15:05,1,302,,,
12,Alaska Airlines,False,2019-03-06,JFK International Airport,New York,Economy,0,1,Seattle-Tacoma International Airport,Seattle,23:50,11:10,1,371,,,
13,American Airlines,False,2019-03-06,JFK International Airport,New York,Economy,0,1,Seattle-Tacoma International Airport,Seattle,22:17,10:35,1,316,,,
14,Delta Airlines,False,2019-03-06,JFK International Airport,New York,Economy,0,1,Seattle-Tacoma International Airport,Seattle,19:24,08:05,1,298,,,
15,American Airlines,False,2019-03-12,McCarran International Airport,Las Vegas,Economy,0,0,Sky Harbor International Airport,Phoenix,11:24,10:10,1,80,,,
16,Delta Airlines,False,2019-03-12,McCarran International Airport,Las Vegas,Economy,0,0,Sky Harbor International Airport,Phoenix,15:39,14:25,1,85,,,
17,Southwest Airlines,False,2019-03-12,McCarran International Airport,Las Vegas,Economy,0,0,Sky Harbor International Airport,Phoenix,18:04,16:50,1,90,,,
18,United Airlines,False,2019-03-12,McCarran International Airport,Las Vegas,Economy,0,0,Sky Harbor International Airport,Phoenix,22:49,21:35,1,84,,,
19,Delta Airlines,False,2019-03-05,Hartsfield-Jackson International Airport,Atlanta,Economy,0,0,Dulles International Airport,Washington,20:16,18:25,1,109,,,
20,Alaska Airlines,True,2019-03-11,JFK International Airport,New York,Economy,0,0,SFO International Airport,San Francisco,07:46,22:20,1,216,,,
21,American Airlines,False,2019-03-11,Seattle-Tacoma International Airport,Seattle,Economy,0,1,Heathrow International Airport,London,20:42,06:55,1,402,,,
22,Delta Airlines,False,2019-03-11,Seattle-Tacoma International Airport,Seattle,Economy,0,1,Heathrow International Airport,London,20:42,11:50,1,424,,,
23,United Airlines,False,2019-03-11,Seattle-Tacoma International Airport,Seattle,Economy,0,1,Heathrow International Airport,London,16:30,09:30,1,411,,,
24,American Airlines,False,2019-03-03,Seattle-Tacoma International Airport,Seattle,Economy,0,1,Heathrow International Airport,London,15:32,06:55,1,403,,,
