,city,date,humidity,precipitation,temperature,wind
0,Dixon,2019-03-07,16,1,80,7
1,Sonoma,2019-03-09,21,6,85,7
2,Mill Valley,2019-03-14,40,13,91,2
3,Palo Alto,2019-03-05,53,27,88,1
4,Mountain View,2019-03-01,28,9,91,3
5,Yountville,2019-03-09,13,11,91,8
6,Menlo Park,2019-03-08,22,9,83,8
7,Sebastopol,2019-03-07,30,20,83,1
8,Mill Valley,2019-03-07,36,27,91,9
9,Fairfax,2019-03-09,19,3,80,3
10,San Francisco,2019-03-04,19,16,71,8
11,Novato,2019-03-13,17,2,70,7
12,Discovery Bay,2019-03-01,28,9,77,3
13,Pinole,2019-03-13,29,18,84,9
14,Napa,2019-03-01,25,24,85,6
15,Lafayette,2019-03-04,29,15,91,5
16,Santa Rosa,2019-03-10,37,18,77,9
17,Menlo Park,2019-03-09,29,15,87,12
18,Antioch,2019-03-01,17,2,91,5
19,Campbell,2019-03-06,24,8,75,4
20,Walnut Creek,2019-03-07,31,19,72,12
21,Alameda,2019-03-01,25,8,73,11
22,Fairfield,2019-03-13,15,0,74,10
23,Larkspur,2019-03-11,34,26,89,7
24,Kenwood,2019-03-08,30,14,73,4
25,Redwood City,2019-03-01,41,20,87,8
26,San Ramon,2019-03-05,47,24,71,11
27,Muir Beach,2019-03-05,44,18,76,3
28,Walnut Creek,2019-03-13,32,14,82,12
29,Healdsburg,2019-03-07,22,9,73,10
30,St. Helena,2019-03-01,41,22,82,3
31,Concord,2019-03-01,29,16,71,6
32,Los Altos,2019-03-01,19,6,76,3
33,Clayton,2019-03-01,15,1,70,5
34,"Olema, California",2019-03-01,25,21,91,3
35,Daly City,2019-03-07,56,26,75,10
36,Pleasant Hill,2019-03-05,18,3,74,12
37,Burlingame,2019-03-11,34,12,91,1
38,Union City,2019-03-10,23,9,86,6
39,Saratoga,2019-03-11,42,24,89,7
40,Burlingame,2019-03-05,17,9,81,4
41,Danville,2019-03-01,35,24,83,7
42,Belmont,2019-03-11,7,21,71,8
43,Cloverdale,2019-03-11,16,1,76,11
44,El Sobrante,2019-03-13,19,15,82,8
45,Portola Valley,2019-03-02,35,13,86,7
46,San Lorenzo,2019-03-08,22,25,90,11
47,San Lorenzo,2019-03-07,12,24,86,5
48,Livermore,2019-03-12,43,29,83,7
49,Benicia,2019-03-10,18,10,79,1
50,Burlingame,2019-03-02,18,3,84,9
51,Montara,2019-03-07,15,1,88,2
52,Rutherford,2019-03-10,39,23,79,10
53,Sunnyvale,2019-03-07,35,25,94,3
54,Valley Ford,2019-03-01,17,6,72,10
55,Pinole,2019-03-11,30,17,89,10
56,Napa,2019-03-05,15,2,79,4
57,"Olema, California",2019-03-12,19,21,77,6
58,Windsor,2019-03-01,37,21,86,9
59,Inverness,2019-03-01,18,4,90,9
60,El Cerrito,2019-03-11,29,10,87,3
61,Fairfax,2019-03-12,41,23,94,7
62,Los Gatos,2019-03-13,37,28,91,1
63,Albany,2019-03-01,29,19,92,8
64,San Francisco,2019-03-02,30,15,72,8
65,Sunol,2019-03-01,28,12,92,6
66,Chicago,2019-03-01,29,29,73,15
67,Campbell,2019-03-01,18,4,91,9
68,San Jose,2019-03-07,48,29,80,6
69,Mexico City,2019-03-07,24,6,93,5
70,Paris,2019-03-01,32,26,77,7
71,Millbrae,2019-03-06,21,8,88,6
72,Berkeley,2019-03-01,29,17,91,5
73,Berkeley,2019-03-06,23,7,84,9
74,Long Beach,2019-03-13,15,9,72,6
75,Calistoga,2019-03-03,23,6,76,1
76,Pleasant Hill,2019-03-09,20,26,83,8
77,Hercules,2019-03-01,40,19,81,11
78,Hercules,2019-03-06,19,12,84,6
79,Seattle,2019-03-06,29,27,64,4
80,Nairobi,2019-03-01,15,0,105,7
81,Sunol,2019-03-11,15,2,76,11
82,Sydney,2019-03-08,21,7,99,11
83,Daly City,2019-03-12,24,8,83,12
84,Chicago,2019-03-10,54,35,65,8
85,Los Angeles,2019-03-04,18,16,81,6
86,Los Angeles,2019-03-03,15,0,89,8
87,"Olema, California",2019-03-03,26,23,87,7
88,Cloverdale,2019-03-07,30,22,88,3
89,Fairfield,2019-03-11,35,13,89,11
90,Inverness,2019-03-03,24,22,88,1
91,San Pablo,2019-03-01,16,2,73,6
92,Pinole,2019-03-03,44,24,89,3
93,Mill Valley,2019-03-04,18,7,90,5
94,Belmont,2019-03-06,28,24,91,4
95,Rutherford,2019-03-04,23,12,88,6
96,Santa Rosa,2019-03-01,21,6,83,8
97,Mill Valley,2019-03-01,29,24,79,7
98,East Palo Alto,2019-03-14,21,4,80,5
99,Occidental,2019-03-04,18,20,84,2
100,Calistoga,2019-03-13,15,2,81,9
101,South San Francisco,2019-03-13,31,12,91,10
102,Alamo,2019-03-09,20,10,93,8
103,Fairfield,2019-03-06,46,20,80,8
104,Sacramento,2019-03-12,30,14,92,10
105,Vallejo,2019-03-12,32,25,87,3
106,Castro Valley,2019-03-12,25,9,93,1
107,Los Angeles,2019-03-01,75,28,76,4
108,Point Reyes Station,2019-03-07,21,16,76,1
109,Graton,2019-03-13,21,8,86,9
110,San Mateo,2019-03-08,22,6,88,6
111,Foster City,2019-03-14,36,19,91,1
112,Pescadero,2019-03-07,19,4,86,6
113,Pescadero,2019-03-12,23,19,79,8
114,Oakley,2019-03-12,36,22,75,9
115,Geyserville,2019-03-03,22,13,73,7
116,Rutherford,2019-03-05,42,23,75,1
117,Suisun City,2019-03-04,18,3,75,11
118,Martinez,2019-03-04,21,7,87,3
119,Pinole,2019-03-04,47,24,77,1
120,Pinole,2019-03-08,16,1,91,2
121,Forestville,2019-03-12,36,14,75,10
122,Forestville,2019-03-01,33,20,70,1
123,Forestville,2019-03-14,20,10,80,6
124,Half Moon Bay,2019-03-11,20,6,88,10
125,Union City,2019-03-11,16,11,87,3
126,Mexico City,2019-03-01,15,0,102,12
127,Seattle,2019-03-01,25,32,74,15
128,London,2019-03-08,19,24,93,4
129,New York,2019-03-01,41,37,66,12
130,New York,2019-03-13,19,33,59,7
131,Paris,2019-03-04,39,24,87,9
132,Paris,2019-03-08,29,25,78,5
133,Sydney,2019-03-07,18,4,89,9
134,Philadelphia,2019-03-01,23,8,81,4
135,Paris,2019-03-11,22,24,93,6
136,San Francisco,2019-03-01,49,29,91,2
137,Seattle,2019-03-10,25,39,69,6
138,Philadelphia,2019-03-09,25,17,82,5
139,San Francisco,2019-03-08,36,13,70,10
140,Los Angeles,2019-03-08,34,21,81,6
141,London,2019-03-03,66,29,88,2
142,Sydney,2019-03-04,21,7,96,4
143,London,2019-03-01,35,23,81,10
144,London,2019-03-07,44,27,71,3
145,San Diego,2019-03-02,15,0,90,4
146,Chicago,2019-03-03,24,36,67,14
147,Seattle,2019-03-07,20,16,69,8
148,Paris,2019-03-14,30,14,76,8
149,Philadelphia,2019-03-07,20,11,91,7
150,London,2019-03-06,47,27,85,4
151,Los Angeles,2019-03-07,15,5,86,8
152,Los Angeles,2019-03-02,50,29,93,3
153,New York,2019-03-12,17,4,70,7
154,Delhi,2019-03-10,18,4,102,4
155,Vancouver,2019-03-10,26,25,68,6
156,New York,2019-03-09,47,38,70,7
157,Los Angeles,2019-03-09,20,13,94,9
158,Fresno,2019-03-01,18,2,72,10
159,Sydney,2019-03-06,22,9,89,8
160,Paris,2019-03-07,22,12,87,6
161,Kuala Lumpur,2019-03-03,17,8,93,9
162,Phoenix,2019-03-11,27,8,86,11
163,Chicago,2019-03-09,43,38,68,15
164,Chicago,2019-03-08,31,23,72,8
165,Seattle,2019-03-11,18,4,73,15
166,Vancouver,2019-03-08,8,24,64,9
167,Paris,2019-03-06,32,13,72,6
168,London,2019-03-09,11,5,90,5
169,London,2019-03-13,18,25,94,5
170,Paris,2019-03-03,18,6,93,4
171,Paris,2019-03-05,55,19,70,9
172,Toronto,2019-03-09,15,0,67,10
173,Phoenix,2019-03-10,35,19,80,5
174,London,2019-03-10,22,6,92,5
175,Delhi,2019-03-08,17,6,98,7
176,Toronto,2019-03-11,9,28,59,11
177,Toronto,2019-03-10,61,26,73,12
178,San Diego,2019-03-09,40,25,83,7
179,Washington D.C.,2019-03-03,18,8,76,4
180,London,2019-03-12,32,21,87,2
181,London,2019-03-11,41,15,71,11
182,Bodega Bay,2019-03-06,45,19,82,5
183,Long Beach,2019-03-06,27,20,85,4
184,Long Beach,2019-03-01,40,17,80,2
185,Long Beach,2019-03-03,35,23,89,9
186,Oakland,2019-03-06,43,28,90,6
187,Rio Vista,2019-03-06,44,21,79,11
188,New York,2019-03-07,18,15,65,7
189,London,2019-03-04,16,4,87,1
190,Atlanta,2019-03-11,15,0,87,4
191,Anaheim,2019-03-01,45,29,78,9
192,Nairobi,2019-03-04,15,1,88,1
193,Philadelphia,2019-03-10,17,4,91,3
194,Toronto,2019-03-01,25,13,58,9
195,Delhi,2019-03-11,19,7,103,10
196,Sydney,2019-03-01,15,4,94,2
197,Washington D.C.,2019-03-01,36,13,75,6
198,El Cerrito,2019-03-08,18,5,90,5
199,Sacramento,2019-03-05,17,2,93,12
200,Nairobi,2019-03-09,15,0,103,7
201,Philadelphia,2019-03-11,33,10,72,11
202,Philadelphia,2019-03-08,15,5,78,3
203,Castro Valley,2019-03-01,16,18,91,9
204,Portland,2019-03-01,16,9,75,13
205,Stinson Beach,2019-03-11,29,15,78,10
206,Seattle,2019-03-13,17,12,63,11
207,Sydney,2019-03-13,20,5,101,7
208,San Diego,2019-03-06,23,6,80,1
209,Sacramento,2019-03-04,49,27,94,11
210,Las Vegas,2019-03-01,26,18,84,7
211,Delhi,2019-03-01,21,4,99,8
212,Delhi,2019-03-06,15,0,93,7
213,Atlanta,2019-03-13,17,2,80,3
214,Nairobi,2019-03-07,23,8,86,7
215,Kuala Lumpur,2019-03-05,18,5,100,6
216,El Cerrito,2019-03-12,25,18,88,1
217,Sacramento,2019-03-07,34,22,80,4
218,Washington D.C.,2019-03-02,16,1,82,6
219,Sacramento,2019-03-10,17,6,90,12
220,Fairfield,2019-03-08,56,28,92,3
221,Fairfield,2019-03-12,23,7,82,9
222,Fresno,2019-03-12,25,13,73,6
223,London,2019-03-14,36,14,81,10
224,Las Vegas,2019-03-08,36,17,76,7
225,Chicago,2019-03-13,47,37,65,5
226,New York,2019-03-06,26,26,64,10
227,Paris,2019-03-13,23,23,88,9
228,San Francisco,2019-03-14,33,12,93,3
229,Moraga,2019-03-05,24,6,77,1
230,Atlanta,2019-03-06,49,25,87,2
231,Las Vegas,2019-03-12,22,7,84,1
232,Fresno,2019-03-06,16,1,71,3
233,Bay Point,2019-03-03,41,20,72,11
234,Long Beach,2019-03-12,4,26,90,7
235,Sydney,2019-03-12,15,2,101,5
236,Nairobi,2019-03-12,28,9,103,12
237,Kuala Lumpur,2019-03-14,21,5,100,9
238,Philadelphia,2019-03-03,41,21,85,6
239,Los Angeles,2019-03-05,31,12,87,1
240,San Diego,2019-03-12,27,10,90,5
241,Portland,2019-03-07,19,32,72,12
242,Inverness,2019-03-05,24,7,77,7
243,New York,2019-03-10,15,0,59,5
244,Tiburon,2019-03-10,20,15,85,6
245,San Francisco,2019-03-10,26,12,93,6
246,Atlanta,2019-03-07,45,26,83,9
247,San Diego,2019-03-11,18,5,88,8
248,San Diego,2019-03-04,18,7,75,9
249,Portland,2019-03-11,38,42,63,7
