,album,artist,genre,song_name,year,playback_device
0,Essentials,Major Lazer,Moombahton,Light It Up,2015,
1,Essentials,Major Lazer,Moombahton,Light It Up,2015,TV
2,The Getaway,Red Hot Chili Peppers,Pop,Dark Necessities,2016,
3,The Getaway,Red Hot Chili Peppers,Pop,Go Robot,2016,
4,The Getaway,Red Hot Chili Peppers,Pop,Goodbye Angels,2016,
5,The Getaway,Red Hot Chili Peppers,Pop,Sick Love,2016,
6,The Getaway,Red Hot Chili Peppers,Pop,Dark Necessities,2016,Kitchen speaker
7,Blonde,Frank Ocean,Pop,Ivy,2016,
8,Blonde,Frank Ocean,Pop,Nights,2016,
9,Blonde,Frank Ocean,Pop,Nikes,2016,
10,Blonde,Frank Ocean,Pop,Self Control,2016,
11,Blonde,Frank Ocean,Pop,Nights,2016,TV
12,Kaleidoscope Dream,Miguel,Pop,Adorn,2012,
13,A Boy From Tandale,Diamond Platnumz,Pop,African Beauty,2018,
14,Handwritten,Shawn Mendes,Pop,Aftertaste,2015,
15,Holo,Limbo,Pop,Airplane Mode,2017,
16,This Is Acting,Sia,Pop,Alive,2013,
17,Title,Meghan Trainor,Pop,All About That Bass,2012,
18,Always In Between,Jess Glynne,Pop,All I Am,2018,
19,The Princess,Parov Stelar,Pop,All Night,2012,
20,Journals,Justin Bieber,Pop,All That Matters,2013,
21,Singular Act I,Sabrina Carpenter,Pop,Almost Love,2018,
22,A Boy From Tandale,Diamond Platnumz,Pop,African Beauty,2018,Kitchen speaker
23,World Cry,Jah Cure,Reggae,Before I Leave,2010,
24,Black Smoke Rising,Greta Van Fleet,Rock,Highway Tune,2017,
25,Amos,Michael Ray,Country,One That Got Away,2018,
26,What Makes You Country,Luke Bryan,Country,What Makes You Country,2017,
27,Adobe Sessions,Cody Jinks,Country,Cast No Stones,2015,
28,Handwritten,Shawn Mendes,Pop,Something Big,2014,
29,Slow Air,Still Corners,Pop,The Message,2018,
30,Sunset Season,Conan Gray,Pop,Lookalike,2018,
31,Camila,Camila Cabello,Pop,Consequences,2018,
32,The First Time,Kelsea Ballerini,Country,Peter Pan,2015,
33,World Cry,Jah Cure,Reggae,Before I Leave,2010,TV
34,Mercury Lane,Jimmie Allen,Country,Best Shot,2018,
35,Mercury Lane,Jimmie Allen,Country,Best Shot,2018,Kitchen speaker
36,Crooked Teeth,Papa Roach,Metal,Born For Greatness,2017,
37,Meliora,Ghost,Metal,Cirice,2015,
38,Anesthetic,Mark Morton,Metal,Cross Off,2019,
39,Prequelle,Ghost,Metal,Dance Macabre,2018,
40,No More Hollywood Endings,Battle Beast,Metal,Eden,2019,
41,The Hunting Party,Linkin Park,Metal,Final Masquerade,2014,
42,Got Your Six,Five Finger Death Punch,Metal,I Apologize,2015,
43,Judas,Fozzy,Metal,Judas,2017,
44,Maximalism,Amaranthe,Metal,Maximize,2016,
45,Heroes,Sabaton,Metal,Night Witches,2014,
46,Meliora,Ghost,Metal,Cirice,2015,TV
47,Crooked Teeth,Papa Roach,Rock,Help,2017,
48,Crooked Teeth,Papa Roach,Rock,Help,2017,TV
49,Different World,Alan Walker,Pop,Alone,2010,
50,Narsha,Narsha,Pop,Bbi Ri Bba Bba,2010,
51,Born Free,Kid Rock,Rock,Born Free,2010,
52,Halfway To Heaven,Brantley Gilbert,Country,Bottoms Up,2010,
53,Cannibal,Kesha,Pop,Cannibal,2010,
54,Pass The Jar,Zac Brown Band,Country,Colder Weather,2010,
55,My Kinda Party,Jason Aldean,Country,Dirt Road Anthem,2010,
56,Burlesque Original Motion Picture Soundtrack,Christina Aguilera,Soundtracks,Express,2010,
57,Battleground,The Wanted,Pop,Glad You Came,2010,
58,Different World,Alan Walker,Pop,Alone,2010,Bedroom speaker
59,Magic,Ben Rector,Pop,Love Like This,2018,
60,Flicker,Niall Horan,Pop,On The Loose,2017,
61,Coming Home,Kristin Chenoweth,Pop,Maybe This Time,2014,
62,Cryptic,Billy Watman,Pop,Bohemian Rhapsody,2018,
63,Outlaw Soul,Tyler Wood,Country,Still Ridin Shotgun,2014,
64,Pop Evil,Pop Evil,Metalcore,Be Legendary,2018,
65,Visions,Grimes,Electropop,Oblivion,2012,
66,Globalization,Pitbull,Pop,Fireball,2014,
67,Joytime,Marshmello,House,Keep It Mello,2015,
68,Your Name,Radwimps,Soundtracks,Nandemonaiya,2016,
69,Magic,Ben Rector,Pop,Love Like This,2018,Kitchen speaker
70,Black Widow,In This Moment,Metalcore,Sick Like Me,2014,
71,The First Time,Kelsea Ballerini,Pop,Yeah Boy,2014,
72,A Star Is Born Soundtrack,Lady Gaga,Soundtracks,Before I Cry,2018,
73,Burlesque Original Motion Picture Soundtrack,Christina Aguilera,Soundtracks,Tough Lover,2010,
74,Melting,Nico Cartosio,Classical,Cocaine March,2019,
75,Firestone,Kygo,Downtempo,Firestone,2014,
76,Evolution,Disturbed,Rock,Are You Ready,2018,
77,Radh,Mohammed Al Salem,Pop,Qalb Qalb Party,2016,
78,Pumped Up Kicks,Foster The People,Indie,Pumped Up Kicks,2010,
79,A Star Is Born Soundtrack,Lady Gaga,Soundtracks,Before I Cry,2018,TV
80,Oxford,Connar Moon,Folk,Annie,2018,
81,Oxford,Connar Moon,Folk,Annie,2018,TV
82,A Star Is Born Soundtrack,Lady Gaga,Soundtracks,Look What I Found,2018,
83,Gotta Be Me,Cody Johnson,Country,With You I Am,2016,
84,Anchor,Mindy Gledhill,Pop,I Do Adore,2010,
85,Tomahawk Technique,Sean Paul,Reggae,How Deep Is Your Love,2012,
86,Thank You,Meghan Trainor,Pop,Kindly Calm Me Down,2016,
87,Euphoria,Enrique Iglesias,Pop,Heartbeat,2010,
88,Golden Hour,Kacey Musgraves,Country,Slow Burn,2018,
89,Dzieciom,Lao Che,Rock,Wojenka,2015,
90,A Star Is Born Soundtrack,Lady Gaga,Soundtracks,Look What I Found,2018,Bedroom speaker
91,Joanne,Lady Gaga,Pop,John Wayne,2016,
92,Outsider,Three Days Grace,Rock,The Mountain,2018,
93,Welcome Reality,Nero,Dubstep,Promises,2010,
94,Assume Form,James Blake,Pop,Mile High,2019,
95,Party Rock Mansion,Redfoo,Pop,New Thang,2014,
96,Torches,Foster The People,Indie,Houdini,2011,
97,V,Adam Levine,Pop,Lost Stars,2014,
98,Hero,Maren Morris,Country,Rich,2016,
99,Title,Meghan Trainor,Pop,All About That Bass,2012,Bedroom speaker
100,Telling All My Secrets,Mitchell Tenpenny,Country,Drunk Me,2018,
101,After The Landslide,Matt Simons,Pop,Open Up,2019,
