"Speaker","Utterance"
"dialogue_id:"," 15_00009"
"USER","""I'm trying to find a place to live."""
"SYSTEM","""Do you have location preferences and how many baths would you prefer? Are you planning to rent out a place or buy it?"""
"USER","""I am planning to buy a two bedroom property with two baths in San Jose."""
"SYSTEM","APICall(method='FindHomeByArea', parameters={ area: San Jose, intent: buy, number_of_baths: 2, number_of_beds: 2 })"
"Tool","""Search Results\n[{ address: 1546 Maurice Lane, area: San Jose, has_garage: False, in_unit_laundry: False, intent: buy, number_of_baths: 2, number_of_beds: 2, phone_number: 408-818-0710, price: 2600000, property_name: 888 Golden Saratoga-Cupertino Apartment Homes }, { address: 73 North Keeble Avenue, area: San Jose, has_garage: True, in_unit_laundry: True, intent: buy, number_of_baths: 2, number_of_beds: 2, phone_number: 408-998-7266, price: 2650000, property_name: Alameda Gardens Apartments }]\nEnd Search Results"""
"SYSTEM","""Would you like to consider 888 Golden Saratoga-Cupertino Apartment Homes which is located at 1546 Maurice Lane and is up for sale for $2,600,000?"""
"USER","""That sounds like a good option to me. Can you schedule a property visit on the 1st of this month?"""
"SYSTEM","""Please confirm that you want to schedule a property visit to 888 Golden Saratoga-Cupertino Apartment Homes on March 1st."""
"USER","""Yes, please go ahead."""
"SYSTEM","APICall(method='ScheduleVisit', parameters={ property_name: 888 Golden Saratoga-Cupertino Apartment Homes, visit_date: 2019-03-01 })"
"Tool","""Search Results\n[{ address: 1546 Maurice Lane, has_garage: False, in_unit_laundry: False, number_of_baths: 2, number_of_beds: 2, phone_number: 408-818-0710, price: 2600000, property_name: 888 Golden Saratoga-Cupertino Apartment Homes, visit_date: 2019-03-01 }]\nEnd Search Results"""
"SYSTEM","""The property visit has been scheduled successfully."""
"USER","""Thanks a ton! Can you show me my alarms now?"""
"SYSTEM","APICall(method='GetAlarms', parameters={  })"
"Tool","""Search Results\n[{ alarm_name: Pick up kids, alarm_time: 16:00 }, { alarm_name: Errands, alarm_time: 15:30 }]\nEnd Search Results"""
"SYSTEM","""You have an alarm at 4 pm titled Pick up kids."""
"USER","""Great! Thank you. That's all I need for now."""
"SYSTEM","""Have a great day!"""
