"Speaker","Utterance"
"dialogue_id:"," 46_00051"
"USER","""I want to find a place to sleep, so I want you to find me some hotel in Seattle, WA, and I am in need of 1 room."""
"SYSTEM","APICall(method='SearchHotel', parameters={ location: Seattle, number_of_rooms: 1 })"
"Tool","""Search Results\n[{ average_rating: 4.50, hotel_name: Ace Hotel Seattle, location: Seattle, number_of_rooms: 1, pets_welcome: True, phone_number: +1 206-448-4721, price: 2856, street_address: 2423 1st Avenue }, { average_rating: 4.20, hotel_name: Belltown Inn, location: Seattle, number_of_rooms: 1, pets_welcome: True, phone_number: +1 866-525-4704, price: 416, street_address: 2301 3rd Avenue }]\nEnd Search Results"""
"SYSTEM","""How would you consider Ace Hotel Seattle, which has a rating of 4.5?"""
"USER","""Can you check if they allow pets there? Can you give me the address of the hotel?"""
"SYSTEM","""The address of the hotel is 2423 1st Avenue, and I can confirm that the pets are welcomed there."""
"USER","""That is amazing."""
"SYSTEM","""Is there something else I can help you with?"""
"USER","""Can you check how the weather is there?"""
"SYSTEM","APICall(method='GetWeather', parameters={ city: Seattle })"
"Tool","""Search Results\n[{ city: Seattle, date: 2019-03-01, humidity: 25, precipitation: 32, temperature: 74, wind: 15 }]\nEnd Search Results"""
"SYSTEM","""From what I can see the average temperature for the day there should be 74 degrees Fahrenheit, and the chance of raining is 32 percent."""
"USER","""Alright, fine. I would like to book a room at this hotel."""
"SYSTEM","""Will you be going at the hotel on March 1st?"""
"USER","""Yes, that suits me well."""
"SYSTEM","""When will you be leaving the hotel?"""
"USER","""I will leave the hotel on next Monday."""
"SYSTEM","""Can you please confirm that you want to book 1 room at the Ace Hotel Seattle hotel in Seattle, and that you will go there on March 1st, and you will need the room till March 4th?"""
"USER","""Yes, that is what I want."""
"SYSTEM","APICall(method='ReserveHotel', parameters={ check_in_date: 2019-03-01, check_out_date: 2019-03-04, hotel_name: Ace Hotel Seattle, location: Seattle, number_of_rooms: 1 })"
"Tool","""Search Results\n[{ average_rating: 4.50, check_in_date: 2019-03-01, check_out_date: 2019-03-04, hotel_name: Ace Hotel Seattle, location: Seattle, number_of_rooms: 1, pets_welcome: True, phone_number: +1 206-448-4721, price: 276, street_address: 2423 1st Avenue }]\nEnd Search Results"""
"SYSTEM","""Your room has been booked."""
"USER","""Can you give me their phone number? How much will this room cost me?"""
"SYSTEM","""If you want to call them you can at +1 206-448-4721, and the room will cost you $276 in total."""
"USER","""I appreciate it. That would be all."""
"SYSTEM","""Have a wonderful time!"""
