"Speaker","Utterance"
"dialogue_id:"," 23_00039"
"USER","""I need to make a payment."""
"SYSTEM","""Who do you want to make the payment to?"""
"USER","""Make the payment to Victoria."""
"SYSTEM","""Shall I transfer money from app balance or credit card?"""
"USER","""Send the money from my debit card."""
"SYSTEM","""How much do you want to send?"""
"USER","""Send 158 dollars."""
"SYSTEM","""Could you confirm that you want to send $158 to Victoria on your debit card? The transaction is visible to the public."""
"USER","""Right."""
"SYSTEM","APICall(method='MakePayment', parameters={ amount: 158, payment_method: debit card, private_visibility: False, receiver: Victoria })"
"Tool","""Search Results\n[{ amount: 158, payment_method: debit card, private_visibility: False, receiver: Victoria }]\nEnd Search Results"""
"SYSTEM","""You have made your payment successfully. You should see the money soon."""
"USER","""Thank you. Would you find me a train now? I need one seat going to Atlanta, GA."""
"SYSTEM","""What date would you like to travel and what city do you want to leave from?"""
"USER","""I want tickets from Washington for the 14th."""
"SYSTEM","APICall(method='FindTrains', parameters={ date_of_journey: 2019-03-14, from: Washington, number_of_adults: 1, to: Atlanta })"
"Tool","""Search Results\n[{ class: Value, date_of_journey: 2019-03-14, from: Washington, from_station: Union Station, journey_start_time: 10:00, number_of_adults: 1, to: Atlanta, to_station: Peachtree Station, total: 100, trip_protection: True }, { class: Value, date_of_journey: 2019-03-14, from: Washington, from_station: Union Station, journey_start_time: 13:20, number_of_adults: 1, to: Atlanta, to_station: Peachtree Station, total: 114, trip_protection: True }]\nEnd Search Results"""
"SYSTEM","""I have 6 possible trains. How about a train leaving at 10 am that costs $100 in total?"""
"USER","""What station will it leave from and arrive at?"""
"SYSTEM","""The train will arrive at Peachtree Station from Union Station."""
"USER","""Sounds good tome. What will the weather be like on the 14th in Atlanta, GA?"""
"SYSTEM","APICall(method='GetWeather', parameters={ city: Atlanta, date: 2019-03-14 })"
"Tool","""Search Results\n[{ city: Atlanta, date: 2019-03-14, humidity: 16, precipitation: 1, temperature: 86, wind: 6 }]\nEnd Search Results"""
"SYSTEM","""The temperature on that day should be about 86 degrees Fahrenheit with a 1 percent chance of rain."""
"USER","""How windy and humid will it be?"""
"SYSTEM","""The wind speed on average will be 6 miles per hour and the humidity is around 16 percent."""
"USER","""Okay. Are you able to get tickets on that train with trip insurance? The fare class isn't important."""
"SYSTEM","""I would like a ticket on the train leaving from Washington to Atlanta on March 14th at 10 am. I need 1 Value ticket."""
"USER","""No, I want flexible tickets."""
"SYSTEM","""Could you confirm that you want a flexible ticket for 1 person?"""
"USER","""That works for me."""
"SYSTEM","APICall(method='GetTrainTickets', parameters={ class: Flexible, date_of_journey: 2019-03-14, from: Washington, journey_start_time: 10:00, number_of_adults: 1, to: Atlanta, trip_protection: True })"
"Tool","""Search Results\n[{ class: Flexible, date_of_journey: 2019-03-14, from: Washington, from_station: Union Station, journey_start_time: 10:00, number_of_adults: 1, to: Atlanta, to_station: Peachtree Station, total: 120, trip_protection: True }]\nEnd Search Results"""
"SYSTEM","""Your ticket was booked successfully."""
"USER","""That's a great help, thank you."""
"SYSTEM","""Could I help with something else"""
"USER","""No, you were a great help though."""
"SYSTEM","""See you later."""
