,account_type,balance,amount,recipient_account_name,recipient_account_type
0,checking,5118.77,,,
1,checking,,1630,Amir,checking
2,checking,3488.77,,,
3,checking,24344.68,,,
4,savings,6175.85,,,
5,savings,,1180,Maria,checking
6,savings,4995.85,,,
7,checking,11119.11,,,
8,checking,,980,Amir,checking
9,checking,10139.11,,,
10,savings,15382.30,,,
11,checking,5783.31,,,
12,checking,,1740,Abhinav,savings
13,checking,4043.31,,,
14,savings,8903.46,,,
15,checking,1907.72,,,
16,checking,,1290,Xiaoxue,checking
17,checking,617.72,,,
18,checking,15160.16,,,
19,checking,,810,Pranav,checking
20,checking,14350.16,,,
21,checking,10507.22,,,
22,checking,,950,Raghav,checking
23,checking,9557.22,,,
24,checking,1667.15,,,
25,checking,,1000,Amir,checking
26,checking,667.15,,,
27,savings,3098.30,,,
28,checking,17542.19,,,
29,checking,,1340,Maria,savings
30,checking,16202.19,,,
31,savings,19533.12,,,
32,checking,19811.16,,,
33,checking,,1200,Srinivas,checking
34,checking,18611.16,,,
35,checking,15443.10,,,
36,checking,,800,Srinivas,checking
37,checking,14643.10,,,
38,checking,1345.35,,,
39,checking,,930,Abhinav,checking
40,checking,415.35,,,
41,savings,11637.69,,,
42,checking,17867.24,,,
43,checking,,1210,Amir,checking
44,checking,16657.24,,,
45,savings,20492.56,,,
46,checking,1347.83,,,
47,checking,,770,Srinivas,checking
48,checking,577.83,,,
49,savings,11150.42,,,
50,checking,18260.68,,,
51,checking,,1780,Sanuj,checking
52,checking,16480.68,,,
53,checking,11440.25,,,
54,savings,2660.69,,,
55,savings,,990,Srinivas,checking
56,savings,1670.69,,,
57,checking,21183.32,,,
58,savings,15533.47,,,
59,savings,,520,Amir,checking
60,savings,15013.47,,,
61,savings,9664.62,,,
62,checking,8905.15,,,
63,checking,,1620,Amir,checking
64,checking,7285.15,,,
65,checking,10659.49,,,
66,savings,12976.62,,,
67,savings,,650,Pranav,savings
68,savings,12326.62,,,
69,checking,18934.13,,,
70,savings,21913.32,,,
71,savings,,1500,Amir,checking
72,savings,20413.32,,,
73,checking,7606.45,,,
74,checking,,1550,Maria,checking
75,checking,6056.45,,,
76,savings,10132.76,,,
77,savings,,430,Amir,checking
78,savings,9702.76,,,
79,savings,19799.10,,,
80,savings,,590,Amir,checking
81,savings,19209.10,,,
82,savings,13522.87,,,
83,checking,23996.23,,,
84,checking,,780,Sanuj,checking
85,checking,23216.23,,,
86,checking,8582.77,,,
87,checking,,1780,Maria,checking
88,checking,6802.77,,,
89,checking,22225.32,,,
90,checking,,1130,Amir,checking
