"Speaker","Utterance"
"dialogue_id:"," 78_00033"
"USER","""Hey, could you please find me a doctor?"""
"SYSTEM","""Sure, what kind of doctor in what city?"""
"USER","""I need a Gynecologist in Daly City."""
"SYSTEM","APICall(method='FindProvider', parameters={ city: Daly City, type: Gynecologist })"
"Tool","""Search Results\n[{ average_rating: 4.90, city: Daly City, doctor_name: Bay Area Obstetrics & Gynecology, phone_number: 650-238-6244, street_address: 1850 Sullivan Avenue Suite 550, type: Gynecologist }, { average_rating: 5.00, city: Daly City, doctor_name: Milagros C. Cabrera, MD, FACOG, phone_number: 650-756-2404, street_address: 1850 Sullivan Avenue #550, type: Gynecologist }]\nEnd Search Results"""
"SYSTEM","""Okay, how about the Gynecologist Bay Area Obstetrics & Gynecology in Daly City?"""
"USER","""How can I contact them?"""
"SYSTEM","""You can call them on 650-238-6244."""
"USER","""What is their rating?"""
"SYSTEM","""They're rated at 4.9."""
"USER","""That sounds good, thanks."""
"SYSTEM","""Okay, should I book your appointment?"""
"USER","""Yes, please do it."""
"SYSTEM","""When would you like to go?"""
"USER","""On the 3rd of this month, please."""
"SYSTEM","""What time would you like to go?"""
"USER","""At 11 o""clock in the morning please."""
"SYSTEM","""Okay, please confirm that you'd like to book an appointment with Bay Area Obstetrics & Gynecology at 11 am on March 3rd."""
"USER","""Yes, that's perfect."""
"SYSTEM","APICall(method='BookAppointment', parameters={ appointment_date: 2019-03-03, appointment_time: 11:00, doctor_name: Bay Area Obstetrics & Gynecology })"
"Tool","""Search Results\n[{ appointment_date: 2019-03-03, appointment_time: 11:00, average_rating: 4.90, doctor_name: Bay Area Obstetrics & Gynecology, phone_number: 650-238-6244, street_address: 1850 Sullivan Avenue Suite 550, type: Gynecologist }]\nEnd Search Results"""
"SYSTEM","""Your appointment is booked."""
"USER","""Thanks, when am I free on March 13th?"""
"SYSTEM","APICall(method='GetAvailableTime', parameters={ event_date: 2019-03-13 })"
"Tool","""Search Results\n[{ available_end_time: 21:30, available_start_time: 13:30, event_date: 2019-03-13 }]\nEnd Search Results"""
"SYSTEM","""You're free from 1:30 pm to 9:30 pm on March 13th."""
"USER","""Okay thanks a lot."""
"SYSTEM","""Should I add an event to your calendar?"""
"USER","""No, I don't need that. Can you find me a dentist in Daly City too?"""
"SYSTEM","APICall(method='FindProvider', parameters={ city: Daly City })"
"Tool","""Search Results\n[{ address: 343 Gellert Boulevard # C, city: Daly City, dentist_name: Hillcrest Family Dental Care, offers_cosmetic_services: False, phone_number: 650-992-7001 }]\nEnd Search Results"""
"SYSTEM","""Sure, I found 1 dentist in Daly City. How about Hillcrest Family Dental Care?"""
"USER","""Do they do cosmetics? What's the address?"""
"SYSTEM","""They're at 343 Gellert Boulevard # C. They don't do cosmetics, sorry."""
"USER","""Okay, that'll be fine, thanks."""
"SYSTEM","""Should I book an appointment here too?"""
"USER","""Yes please. Is there anything at quarter past 5 in the evening?"""
"SYSTEM","""Please confirm that you'd like an appointment with Hillcrest Family Dental Care at 5:15 pm on March 13th."""
"USER","""Yes that's right. How can I call them?"""
"SYSTEM","APICall(method='BookAppointment', parameters={ appointment_date: 2019-03-13, appointment_time: 17:15, dentist_name: Hillcrest Family Dental Care })"
"Tool","""Search Results\n[{ address: 343 Gellert Boulevard # C, appointment_date: 2019-03-13, appointment_time: 17:00, dentist_name: Hillcrest Family Dental Care, offers_cosmetic_services: False, phone_number: 650-992-7001 }]\nEnd Search Results"""
"SYSTEM","""Sorry, it didn't work. Is there anything else?"""
"USER","""Please try again for quarter to 2 in the afternoon."""
"SYSTEM","""Okay, Please confirm that you'd like an appointment with Hillcrest Family Dental Care at 1:45 pm on March 13th."""
"USER","""Yes, that's good."""
"SYSTEM","APICall(method='BookAppointment', parameters={ appointment_date: 2019-03-13, appointment_time: 13:45, dentist_name: Hillcrest Family Dental Care })"
"Tool","""Search Results\n[{ address: 343 Gellert Boulevard # C, appointment_date: 2019-03-13, appointment_time: 14:00, dentist_name: Hillcrest Family Dental Care, offers_cosmetic_services: False, phone_number: 650-992-7001 }]\nEnd Search Results"""
"SYSTEM","""Sorry, it didn't work. How about we try Hillcrest Family Dental Care at 2 pm on March 13th."""
"USER","""No don't worry about it. That'll be all."""
"SYSTEM","""Okay, see you."""
