,address,area,furnished,number_of_baths,number_of_beds,pets_allowed,phone_number,property_name,rent,visit_date
0,1001 Beethoven Common,Fremont,False,2,3,True,510-797-1800,Alborada Apartments,3900,
1,34050 Westchester Terrace,Fremont,False,2,3,True,510-794-9981,Amber Court,3500,
2,4200 Bay Street,Fremont,False,2,3,False,510-455-8813,Briarwood At Central Park,3500,
3,38900 Blacow Road,Fremont,True,2,3,True,510-797-5980,Carrington Apartments,4050,
4,41299 Paseo Padre Parkway,Fremont,False,2,3,True,510-651-1040,Century Village Apartments,3600,
5,37811 Fremont Boulevard,Fremont,False,2,3,True,510-797-4520,Fremont Arms,3500,
6,38850 Farwell Drive,Fremont,False,2,3,False,510-793-5100,Glenmoor Green Apartments,3500,
7,41342 Roberts Avenue,Fremont,True,2,3,True,510-657-9766,Granada Apartments,3700,
8,3355 Pennsylvania Avenue #13,Fremont,False,2,3,True,510-792-4983,Hastings East Apartments,4050,
9,4261 Stevenson Boulevard,Fremont,False,2,3,False,510-656-8200,Lincoln Glen,3500,
10,34050 Westchester Terrace,,False,2,3,True,510-794-9981,Amber Court,3500,2019-03-04
11,1546 Maurice Lane,San Jose,False,3,3,False,408-818-0710,888 Golden Saratoga-Cupertino Apartment Homes,4450,
12,1290 San Tomas Aquino Road,San Jose,True,3,3,False,408-984-8888,Aegena,4900,
13,73 North Keeble Avenue,San Jose,False,2,3,False,408-998-7266,Alameda Gardens Apartments,3600,
14,2415 Rinconada Drive,San Jose,False,3,3,False,408-516-4212,Almaden House,4850,
15,978 Almaden Lake Drive,San Jose,False,2,3,False,408-323-8020,Almaden Lake Apartments,3950,
16,1543 Ambergrove Drive,San Jose,False,2,3,False,408-453-8011,Amberwood Apartments,3550,
17,1585 Marburg Way # 4,San Jose,False,3,3,True,408-926-3999,Ann Darling Apartments,3950,
18,5822 Charlotte Drive,San Jose,True,3,3,True,408-226-5822,Anton La Moraga Apartments,4850,
19,1582 Kooser Road,San Jose,False,3,3,False,408-448-1288,Arbor Apartments,4250,
20,2760 McKee Road,San Jose,False,3,3,True,408-251-7570,Arbor Terraces,4900,
