,genre,starring,subtitle_language,title
0,Sci-fi,Stephen Powers,English,Close Encounters of the Third Kind
1,Comedy,Alexander Calvert,English,Good Boys
2,Fantasy,Liv Tyler,Hindi,The Lord of the Rings: The Return of the King
3,Animation,Britta Steffenhagen,English,The Angry Birds Movie 2
4,Mystery,Adam Bakri,English,Official Secrets
5,Action,Antonio Bustorff,English,Angel Has Fallen
6,Drama,Keke Palmer,Spanish,Hustlers
7,Family,James Wlcek,English,Steel Magnolias
8,Fantasy,Elijah Wood,English,The Lord of the Rings: The Return of the King
9,War,Marko Grba Singh,French,The Load
10,Family,Zhao Shuzhen,English,The Farewell
11,Comedy,Nalneesh Neel,English,Chhichhore
12,Cult,Tim Roth,Spanish,Pulp Fiction
13,World,Carlos Defeo,French,Zama
14,Drama,Doris McCarthy,Spanish,After The Wedding
15,Drama,Viveik Kalra,Hindi,Blinded by the Light
16,Comedy,Naveen Polishetty,Spanish,Chhichhore
17,Action,Chris Browning,Spanish,Angel Has Fallen
18,Cult,Don Blakely,Hindi,Pulp Fiction
19,Offbeat,Margaret Qualley,Spanish,Once Upon a Time In Hollywood
20,War,Branislav Ciric,Hindi,The Load
21,Thriller,Phoebe Hodgson,Spanish,The Ladykillers
22,Documentary,Sheldon Harnick,English,Fiddler: A Miracle of Miracles
23,Family,Sandra Asbury-Johnson,French,Steel Magnolias
24,Offbeat,Maya Hawke,Hindi,Once Upon a Time In Hollywood
25,Horror,Diana Dors,French,Theatre of Blood
26,Offbeat,Timothy Olyphant,English,Once Upon a Time In Hollywood
27,Animation,Maya Rudolph,Hindi,The Angry Birds Movie 2
28,Thriller,Leonard Sharp,English,The Ladykillers
29,Animation,Flea,French,Toy Story 4
30,Animation,Tony Hale,English,Toy Story 4
31,Drama,Meera Ganatra,English,Blinded by the Light
32,Mystery,Chris Larkin,Spanish,Official Secrets
33,Comedy,Kate McKinnon,English,Yesterday
34,Documentary,Harvey Fierstein,French,Fiddler: A Miracle of Miracles
35,Comedy,Will Forte,French,Good Boys
36,Mystery,Andrea Bang,English,Luce
37,Horror,Ian Hendry,French,Theatre of Blood
38,Drama,Katharine Hepburn,French,Stage Door
39,Drama,Bakary Sangare,English,A Faithful Man
40,Drama,Jillian Bell,English,Brittany Runs a Marathon
41,Drama,Jon Glaser,French,Hustlers
42,Drama,Javier Bardem,English,Live Flesh
43,Drama,Jack Sterner,French,Overcomer
44,Drama,Jack Carson,Spanish,Stage Door
45,Drama,Karen Holness,Spanish,The Art of Racing in the Rain
46,Drama,Xabiani Ponce de Leon,Spanish,This Is Not Berlin
47,Drama,Will Chase,English,After The Wedding
48,Sci-fi,Jamie Kennedy,English,Ad Astra
49,Sci-fi,Richard L. Hawkins,Spanish,Close Encounters of the Third Kind
50,Comedy,Prashant Narayanan,French,Chhichhore
51,Comedy,Sushant Singh Rajput,Hindi,Chhichhore
52,Comedy,Andrea Martin,English,My Big Fat Greek Wedding
53,Comedy,James Urbaniak,Spanish,"Where'd You Go, Bernadette"
54,Offbeat,Rebecca Gayheart,English,Once Upon a Time In Hollywood
55,Musical,Jakob Dylan,French,Echo In The Canyon
56,Musical,Jakob Dylan,Spanish,Echo In The Canyon
57,Drama,Margaret Early,Hindi,Stage Door
58,Drama,Margaret Early,English,Stage Door
59,Fantasy,Ron Mueck,English,Labyrinth
60,Thriller,Leland Orser,English,The Art of Self-Defense
61,Thriller,Leland Orser,Hindi,The Art of Self-Defense
62,Fantasy,Lawrence Makoare,English,The Lord of the Rings: The Return of the King
63,Fantasy,Shelley Thompson,English,Labyrinth
64,Fantasy,Shelley Thompson,French,Labyrinth
65,Family,Ronald Young,English,Steel Magnolias
66,Comedy,Varun Sharma,French,Chhichhore
67,Horror,Gil Bellows,Spanish,Scary Stories to Tell in the Dark
68,Horror,Gil Bellows,English,Scary Stories to Tell in the Dark
69,Drama,Alex Esola,Hindi,After The Wedding
70,Thriller,Helena Howard,Hindi,Madeline's Madeline
71,Thriller,Rudy Chernicoff,French,Rojo
72,Thriller,Jason Burkey,Hindi,The Art of Self-Defense
73,Mystery,Keira Knightley,French,Official Secrets
74,Mystery,Keira Knightley,Hindi,Official Secrets
75,Comedy,Megan Mullally,English,"Where'd You Go, Bernadette"
76,Animation,Peter Dinklage,English,The Angry Birds Movie 2
77,World,Yaniv Biton,Hindi,Tel Aviv on Fire
78,Anime,Shinichiro Ohta,English,Paprika
79,Fantasy,Ian McKellen,Hindi,The Lord of the Rings: The Return of the King
80,Fantasy,Ian McKellen,English,The Lord of the Rings: The Return of the King
81,Comedy,Brady Noon,Hindi,Good Boys
82,Thriller,Rafael Federman,Spanish,Rojo
83,Fantasy,John Bach,English,The Lord of the Rings: The Return of the King
84,Fantasy,Sala Baker,English,The Lord of the Rings: The Return of the King
85,Horror,Fatma Mohamed,English,In Fabric
86,Comedy-drama,Daria Ekamasova,Spanish,Give Me Liberty
87,Comedy-drama,Chris Galust,English,Give Me Liberty
88,Thriller,Andrea Frigerio,Hindi,Rojo
89,Animation,John Schwab,Hindi,The Angry Birds Movie 2
90,Animation,John Schwab,English,The Angry Birds Movie 2
91,War,Pavle Cemerikic,English,The Load
92,Drama,Lizzo,French,Hustlers
93,Drama,Lizzo,English,Hustlers
94,Offbeat,Inbal Amirav,Hindi,Once Upon a Time In Hollywood
95,Horror,Arthur Lowe,English,Theatre of Blood
96,Mystery,Christopher Mann,Hindi,Luce
97,Action,Nick Nolte,Hindi,Angel Has Fallen
98,Action,Helena Holmes,English,Hobbs and Shaw
99,Action,Mohan Kapoor,English,Mission Mangal
100,Action,Alexandre Bourgeois,Spanish,Riot Girls
101,Action,Prabhas,French,Saaho
102,Action,Stephanie Vogt,English,Hobbs and Shaw
103,Family,Travis Harrison,French,Steel Magnolias
104,Family,Travis Harrison,English,Steel Magnolias
105,Horror,Michael Garza,Hindi,Scary Stories to Tell in the Dark
