,actors,director,genre,movie_name,price,subtitle_language
0,Edoardo Pesce,Matteo Garrone,Drama,Dogman,7,None
1,Angelina Jolie,Iain Softley,Drama,Hackers,6,None
2,Andre 3000,Claire Denis,Drama,High Life,8,None
3,Luke Kirby,Nia DaCosta,Drama,Little Woods,3,English
4,Chiwetel Ejiofor,Garth Davis,Drama,Mary Magdalene,7,Mandarin
5,Takumi Saitoh,Eric Khoo,Drama,Ramen Shop,7,Spanish
6,Robin Soans,Trevor Nunn,Drama,Red Joan,7,Mandarin
7,Deng Jing,Qui Sheng,Drama,Suburban Birds,3,Spanish
8,Christian Harting,Laszlo Nemes,Drama,Sunset,5,None
9,Peris Wambui,Likarion Wainaina,Drama,Supa Modo,4,None
10,Rune Temte,Anna Boden,Adventure,Captain Marvel,4,Spanish
11,Mark Strong,David Sandberg,Adventure,Shazam!,5,Spanish
12,Fred Sadoff,Ronald Neame,Adventure,The Poseidon Adventure,6,None
13,Elizabeth Marvel,Joel Coen,Adventure,True Grit,7,Spanish
14,Matt Damon,Joel Coen,Adventure,True Grit,6,None
15,Alix Talton,Alfred Hitchcock,Drama,The Man Who Knew Too Much,4,Mandarin
16,Brinke Stevens,Brian De Palma,Mystery,Body Double,7,Mandarin
17,B.J. Jones,Brian De Palma,Mystery,Body Double,6,English
18,Kevin Blatch,Harry Elfont,Comedy,Josie and the Pussycats,7,None
19,Victor Banerjee,Claire Denis,Drama,High Life,7,Spanish
20,Katharine Isabelle,Harry Elfont,Comedy,Josie and the Pussycats,6,English
21,Jay Baruchel,Dean DeBlois,Animation,How to Train Your Dragon: The Hidden World,8,Mandarin
22,America Ferrera,Dean DeBlois,Animation,How to Train Your Dragon: The Hidden World,3,None
23,Alfred Hitchcock,Alfred Hitchcock,Drama,The Man Who Knew Too Much,6,Spanish
24,David Dunston,Tyler Perry,Comedy,A Madea Family Funeral,4,Mandarin
25,Saundra Edwards,Morton DaCosta,Comedy,Auntie Mame,3,None
26,Roy Stephens,Stanley Kubrick,Comedy,Dr. Strangelove,5,None
27,Karan Kendrick,Laura Steinel,Comedy,Family,6,None
28,Tyson Ritter,Sebastian Lelio,Comedy,Gloria Bell,4,None
29,Von Lewis,Peter Farrelly,Comedy,Green Book,4,Spanish
30,Palmer Williams Jr.,Tina Gordon,Comedy,Little,4,None
31,Kurt Braunohler,Jonathan Levine,Comedy,Long Shot,6,None
32,Stephen Fry,Chris Butler,Comedy,Missing Link,8,Spanish
33,Holland Taylor,Sebastian Lelio,Comedy,Gloria Bell,7,Mandarin
34,Larry Jenkins,Brian De Palma,Mystery,Body Double,6,None
35,Gideon Adlon,Laure de Clermont-Tonnerre,Drama,The Mustang,7,English
36,Matthias Schoenaerts,Laure de Clermont-Tonnerre,Drama,The Mustang,4,None
37,Bess Flowers,Alfred Hitchcock,Drama,The Man Who Knew Too Much,8,Spanish
38,Noel Willman,Alfred Hitchcock,Drama,The Man Who Knew Too Much,3,None
39,Keshia Knight Pulliam,Michael Schultz,Action,The Last Dragon,7,None
40,Mark Seliger,Harry Elfont,Comedy,Josie and the Pussycats,5,None
41,Brian Stepanek,Peter Farrelly,Comedy,Green Book,4,None
42,Loren Dean,Cameron Crowe,Romance,Say Anything,4,None
43,Edd Osmond,Tim Burton,Fantasy,Dumbo,5,None
44,Yash Trivedi,Anthony Maras,Thriller,Hotel Mumbai,3,None
45,Julia Jenni Karagioules,Kevin Kolsch,Thriller,Pet Sematary,4,None
46,Topher Grace,Roxann Dawson,Biographical,Breakthrough,7,None
47,Stella Maxwell,Justin Kelly,Biographical,JT LeRoy,8,None
48,Dennis Coffey,Malik Bendjelloul,Biographical,Searching for Sugar Man,5,English
49,Jack White,Martin Scorsese,Biographical,Shine a Light,6,Mandarin
50,Taylor Schilling,Laura Steinel,Comedy,Family,4,None
51,Don Hewitt,Iain Softley,Drama,Hackers,8,Spanish
52,Alida Baldari Calabria,Matteo Garrone,Drama,Dogman,3,None
53,Samuel Larsen,Jenny Gage,Romance,After,8,None
54,Jennifer Beals,Jenny Gage,Romance,After,4,English
55,Jennifer Badger,Iain Softley,Drama,Hackers,7,Spanish
56,Tom Virtue,Peter Farrelly,Comedy,Green Book,5,English
57,Nellex Nderitu,Likarion Wainaina,Drama,Supa Modo,8,Mandarin
58,Martin Wolfson,Elaine May,Mafia,Mikey and Nicky,3,None
59,Andrene Ward-Hammond,Laura Steinel,Comedy,Family,8,Mandarin
60,Wes Bentley,Robin Bissell,Drama,The Best of Enemies,4,None
61,Alex Gerry,Michael Gordon,Romance,Pillow Talk,6,English
62,Ashley Springer,Tom McCarthy,Romance,The Visitor,4,Mandarin
63,Ruth Carlson,George Sidney,Romance,Viva Las Vegas,8,None
64,Adriana Altaras,Claus Rafle,Documentary,The Invisibles,3,None
65,Miguel Munoz Segura,Tim Burton,Fantasy,Dumbo,4,None
66,Thomas Haden Church,Neil Marshall,Fantasy,Hellboy,7,None
67,Riley Keough,George Miller,Fantasy,Mad Max: Fury Road,4,Mandarin
68,Megumi Han,Hiroyasu Ishida,Fantasy,Penguin Highway,7,None
69,Mason Lee,Qui Sheng,Drama,Suburban Birds,6,None
70,Larry Barton,George Sidney,Romance,Viva Las Vegas,5,English
71,Larry Barton,George Sidney,Romance,Viva Las Vegas,3,Spanish
72,Jack Daly,Morton DaCosta,Comedy,Auntie Mame,6,English
73,Ciera Payton,Tyler Perry,Comedy,A Madea Family Funeral,8,None
74,Stycie Waweru,Likarion Wainaina,Drama,Supa Modo,5,None
75,Amadeus Strobl,Jenny Gage,Romance,After,7,Spanish
76,Sonny Bupp,Orson Welles,Mystery,Citizen Kane,8,None
77,Barbara Crampton,Brian De Palma,Mystery,Body Double,6,None
78,Dan DiMaggio,Malik Bendjelloul,Biographical,Searching for Sugar Man,8,None
79,Michelle Borth,David Sandberg,Adventure,Shazam!,8,English
80,Stephen Boxer,Trevor Nunn,Drama,Red Joan,7,None
81,Colin Farrell,Tim Burton,Fantasy,Dumbo,4,None
82,Jeffrey Sayre,Morton DaCosta,Comedy,Auntie Mame,7,None
83,Laura Pizzirani,Matteo Garrone,Drama,Dogman,5,English
84,Lena Headey,Stephen Merchant,Sports,Fighting with My Family,3,Mandarin
85,Nick Frost,Stephen Merchant,Sports,Fighting with My Family,6,None
86,Paul Davis,Morton DaCosta,Comedy,Auntie Mame,4,None
87,Harry Fleer,George Sidney,Romance,Viva Las Vegas,5,Spanish
88,Penelope Mitchell,Neil Marshall,Fantasy,Hellboy,8,Spanish
89,Chris Lovick,Harry Elfont,Comedy,Josie and the Pussycats,7,None
90,Matt Walsh,Laura Steinel,Comedy,Family,3,None
91,Rome Flynn,Tyler Perry,Comedy,A Madea Family Funeral,6,None
92,P. J. Byrne,Peter Farrelly,Comedy,Green Book,6,None
93,Doris Day,Michael Gordon,Romance,Pillow Talk,3,Spanish
94,Doris Day,Michael Gordon,Romance,Pillow Talk,7,Mandarin
95,Stuart Lilley,Harry Elfont,Comedy,Josie and the Pussycats,6,None
96,Elsa Palmer,Alfred Hitchcock,Drama,The Man Who Knew Too Much,5,None
97,Coral Browne,Morton DaCosta,Comedy,Auntie Mame,3,None
98,Missi Pyle,Harry Elfont,Comedy,Josie and the Pussycats,4,English
99,Thomas Martin,Morton DaCosta,Comedy,Auntie Mame,4,None
100,Dimiter Marinov,Peter Farrelly,Comedy,Green Book,3,None
101,Lela Bliss,Morton DaCosta,Comedy,Auntie Mame,3,Mandarin
102,Reuben Greene,Elaine May,Mafia,Mikey and Nicky,6,Mandarin
103,Ruairi O'Connor,Max Minghella,Musical,Teen Spirit,8,None
104,Johnny Myers,Iain Softley,Drama,Hackers,4,Spanish
105,Johnny Myers,Iain Softley,Drama,Hackers,8,English
106,Mark Lee,Eric Khoo,Drama,Ramen Shop,8,Mandarin
107,Bruce Willis,Martin Scorsese,Biographical,Shine a Light,4,Spanish
108,Harry Shannon,Orson Welles,Mystery,Citizen Kane,4,Spanish
109,Leslie Nielsen,Ronald Neame,Adventure,The Poseidon Adventure,7,None
110,Sally Hershberger,Harry Elfont,Comedy,Josie and the Pussycats,6,Spanish
111,Bob Hastings,Ronald Neame,Adventure,The Poseidon Adventure,7,None
112,Rebecca Staab,Roxann Dawson,Biographical,Breakthrough,5,Mandarin
113,Ex-Det. Sergt. Bishop,Alfred Hitchcock,Crime,Blackmail - Cinemix Par Chloe,4,None
114,James Stewart,Alfred Hitchcock,Drama,The Man Who Knew Too Much,3,None
115,Anna Katharina Schimrigk,James Kent,War,The Aftermath,4,None
116,Mahershala Ali,Peter Farrelly,Comedy,Green Book,7,None
117,Claire Tran,Claire Denis,Drama,High Life,5,English
118,Judith Hofmann,Simon Jaquemet,Drama,The Innocent,3,Mandarin
119,Seiko Matsuda,Eric Khoo,Drama,Ramen Shop,5,None
120,Quentin Kenihan,George Miller,Fantasy,Mad Max: Fury Road,7,None
121,Buddy Guy,Martin Scorsese,Biographical,Shine a Light,7,None
122,Wendell Pierce,Iain Softley,Drama,Hackers,8,None
123,Tone Bell,Tina Gordon,Comedy,Little,5,Spanish
124,Gregory Gaye,Morton DaCosta,Comedy,Auntie Mame,7,None
125,Giancarlo Porcacchia,Matteo Garrone,Drama,Dogman,6,Spanish
