"Speaker","Utterance"
"dialogue_id:"," 83_00050"
"USER","""I would like a place to eat in san Jose."""
"SYSTEM","""What type of food do you need?"""
"USER","""I'd like some spicy indian which will be perfect. I'd like a place serving alcohol that is pricey."""
"SYSTEM","APICall(method='FindRestaurants', parameters={ city: San Jose, cuisine: Indian, price_range: expensive, serves_alcohol: True })"
"Tool","""Search Results\n[{ city: San Jose, cuisine: Indian, has_live_music: False, phone_number: 408-248-5400, price_range: expensive, restaurant_name: Amber India, serves_alcohol: True, street_address: 377 Santana Row #1140 }]\nEnd Search Results"""
"SYSTEM","""I found 1 restaurant called Amber India in San Jose."""
"USER","""Yes, that will be good for me."""
"SYSTEM","""Do you want to reserve a table there?"""
"USER","""Maybe at a later date."""
"SYSTEM","""Would I be able to help you with anything else?"""
"USER","""Would you be able to find a salon there. I would like a salon in San Jose."""
"SYSTEM","APICall(method='FindProvider', parameters={ city: San Jose })"
"Tool","""Search Results\n[{ average_rating: 4.30, city: San Jose, is_unisex: True, phone_number: 408-293-3494, street_address: 1047 Lincoln Highway suite 101, stylist_name: Atelier Salon Willow Glen }, { average_rating: 5.00, city: San Jose, is_unisex: True, phone_number: 669-258-9601, street_address: 1775 Park Avenue, stylist_name: Barba & Co. San Jose }]\nEnd Search Results"""
"SYSTEM","""I have 10 salons including Atelier Salon Willow Glen in San Jose."""
"USER","""Yes, that is good. I'd like to book an appointment at a salon for five in the evening the 13th of this month."""
"SYSTEM","""Please confirm for the hair stylist Atelier Salon Willow Glen at 5 pm on March 13th."""
"USER","""Yes, that will be good. Will that be a unisex salon and what is its average rating?"""
"SYSTEM","APICall(method='BookAppointment', parameters={ appointment_date: 2019-03-13, appointment_time: 17:00, stylist_name: Atelier Salon Willow Glen })"
"Tool","""Search Results\n[{ appointment_date: 2019-03-13, appointment_time: 17:00, average_rating: 4.30, is_unisex: True, phone_number: 408-293-3494, street_address: 1047 Lincoln Highway suite 101, stylist_name: Atelier Salon Willow Glen }]\nEnd Search Results"""
"SYSTEM","""The appointment is confirmed and is a unisex salon with an average rating of 4.3."""
"USER","""Would you like to try booking a table at the restaurant I like at half past 6 in the evening?"""
"SYSTEM","""Please confirm a table for 2 March 13th at Amber India in San Jose at 6:30 pm."""
"USER","""Yes, that is great."""
"SYSTEM","APICall(method='ReserveRestaurant', parameters={ city: San Jose, date: 2019-03-13, party_size: 2, restaurant_name: Amber India, time: 18:30 })"
"Tool","""Search Results\n[{ city: San Jose, cuisine: Indian, date: 2019-03-13, has_live_music: False, party_size: 2, phone_number: 408-248-5400, price_range: expensive, restaurant_name: Amber India, serves_alcohol: True, street_address: 377 Santana Row #1140, time: 19:00 }]\nEnd Search Results"""
"SYSTEM","""Sorry I couldn't make the reservation. Amber India is a nice place to eat. Do you want me to try to reserve for 2 on March 13th at 7 pm?"""
"USER","""Yes, that would be great."""
"SYSTEM","APICall(method='ReserveRestaurant', parameters={ city: San Jose, date: 2019-03-13, party_size: 2, restaurant_name: Amber India, time: 19:00 })"
"Tool","""Search Results\n[{ city: San Jose, cuisine: Indian, date: 2019-03-13, has_live_music: False, party_size: 2, phone_number: 408-248-5400, price_range: expensive, restaurant_name: Amber India, serves_alcohol: True, street_address: 377 Santana Row #1140, time: 19:00 }]\nEnd Search Results"""
"SYSTEM","""The reservation is a success."""
"USER","""I'd like to listen to music now."""
"SYSTEM","""What song do you want?"""
"USER","""I would like Sick Boy."""
"SYSTEM","""Please confirm Sick Boy on TV."""
"USER","""No, I would like Knock Knock."""
"SYSTEM","""Please let me know if Knock Knock is playing on TV."""
"USER","""Yes, that is right. What type of music is it and what year did it come out?"""
"SYSTEM","APICall(method='PlaySong', parameters={ playback_device: TV, song_name: Knock Knock })"
"Tool","""Search Results\n[{ album: Bittersweet, artist: Brunettes Shoot Blondes, genre: Rock, playback_device: TV, song_name: Knock Knock, year: 2014 }]\nEnd Search Results"""
"SYSTEM","""Have fun with the music from 2014 that is a rock song."""
"USER","""Thanks so much. That is it."""
"SYSTEM","""Have a wondeful day."""
