,average_rating,city,is_unisex,phone_number,street_address,stylist_name,appointment_date,appointment_time
0,3.70,Concord,True,925-446-4144,4330 Clayton Road suite j,Breds Barbershop,,
1,4.40,Concord,True,925-798-3000,114 Sun Valley Mall,Empire Barbershop,,
2,4.50,Concord,True,925-349-6036,1585 Clayton Road,First Class Barber Shop,,
3,3.30,Concord,True,925-681-2887,790 Oak Grove Road Ste B,Great Clips,,
4,4.30,Concord,True,925-673-5686,5434 Ygnacio Valley Road Suite #50,Sport Clips Haircuts Of Clayton Valley Shopping Center,,
5,4.00,Concord,True,925-671-2525,4475 Treat Boulevard F,Supercuts,,
6,4.50,,True,925-349-6036,1585 Clayton Road,First Class Barber Shop,2019-03-13,18:30
7,4.80,San Francisco,True,415-286-4371,1532 20th Street,1512 Barber Shop,,
8,4.50,San Francisco,True,415-824-1335,2737 20th Street,20Th Salon And Barber,,
9,3.90,San Francisco,True,415-788-4936,44 Montgomery Street #30,A Businessman'S Haircut,,
10,4.40,San Francisco,True,415-296-9212,310 Sutter Street 4th floor,Alcheme Salon,,
11,5.00,San Francisco,True,415-445-9373,333 Bush Street Suite #104,Alexander G.,,
12,4.40,San Francisco,True,415-587-5003,949 Geneva Avenue,Amazon Barber Shop,,
13,4.40,San Francisco,True,415-956-4049,140 Sutter Street,Arcade Barber Shop,,
14,5.00,San Francisco,False,415-433-3334,33 Grant Avenue,Archer Salon,,
15,4.90,San Francisco,True,415-658-7469,1041 Guerrero Street,Arrow Salon,,
16,4.80,San Francisco,True,415-501-0338,"2, 1996 Union Street",Arthur Sebastian Hair Salon,,
17,4.80,,True,415-286-4371,1532 20th Street,1512 Barber Shop,2019-03-14,15:00
18,4.50,Vacaville,True,707-689-5136,198 Dobbins Street,Primo'S Barbershop,,
19,4.00,Vacaville,True,707-447-4606,"Nut Tree Village, 1631 East Monte Vista Avenue K101",Sport Clips Haircuts Of Vacaville - Nut Tree Village,,
20,3.60,Vacaville,True,707-446-9673,3033 Alamo Drive,Supercuts,,
21,4.50,Vacaville,True,707-448-8983,500 Elmira Road C,Velocity Cutz,,
22,4.50,,True,707-689-5136,198 Dobbins Street,Primo'S Barbershop,2019-03-03,12:00
23,4.70,Oakland,True,510-653-1059,4801 Telegraph Avenue,17 Jewels Salon,,
