"Speaker","Utterance"
"dialogue_id:"," 22_00108"
"USER","""I want to find me some movies online.I enjoy movies featuring Betsy Widhalm."""
"SYSTEM","""What type of movies you like?"""
"USER","""I would like some Family movies."""
"SYSTEM","APICall(method='FindMovies', parameters={ genre: Family, starring: Betsy Widhalm })"
"Tool","""Search Results\n[{ genre: Family, starring: Betsy Widhalm, subtitle_language: English, title: Steel Magnolias }]\nEnd Search Results"""
"SYSTEM","""I have for you 1 movie.How about Steel Magnolias?"""
"USER","""Steel Magnolias sounds great.Some attractions there you can find me?"""
"SYSTEM","""Where you want to be?"""
"USER","""In NYC will be good."""
"SYSTEM","APICall(method='FindAttractions', parameters={ location: New York })"
"Tool","""Search Results\n[{ attraction_name: 9/11 Tribute Museum, category: Museum, free_entry: False, good_for_kids: True, location: New York, phone_number: 866-737-1184 }, { attraction_name: 92nd Street Y, category: Performing Arts Venue, free_entry: False, good_for_kids: True, location: New York, phone_number: 212-415-5500 }]\nEnd Search Results"""
"SYSTEM","""You should check a Museum called 9/11 Tribute Museum."""
"USER","""Great.Search for me songs from '13.Where We Come From is the album that I heard is great."""
"SYSTEM","APICall(method='LookupMusic', parameters={ album: Where We Come From, year: 2013 })"
"Tool","""Search Results\n[{ album: Where We Come From, artist: Popcaan, genre: Reggae, track: Everything Nice, year: 2013 }]\nEnd Search Results"""
"SYSTEM","""What is your opinion about album Where We Come From by Popcaan and song Everything Nice?"""
"USER","""I like this one."""
"SYSTEM","""You want to play for you this song?"""
"USER","""Sure.I would like that."""
"SYSTEM","""Play the song Everything Nice in Living room.Is that okay?"""
"USER","""Yes, is good.Tell me what type of music is that?"""
"SYSTEM","APICall(method='PlayMedia', parameters={ album: Where We Come From, device: Living room, track: Everything Nice })"
"Tool","""Search Results\n[{ album: Where We Come From, artist: Popcaan, device: Living room, genre: Reggae, track: Everything Nice, year: 2013 }]\nEnd Search Results"""
"SYSTEM","""This is a Reggae song.Enjoy it!"""
"USER","""Thanks.Play the movie that you have sound with French subtitle."""
"SYSTEM","""Play Steel Magnolias with subtitle in French.I'm right?"""
"USER","""Yes is very good."""
"SYSTEM","APICall(method='PlayMovie', parameters={ subtitle_language: French, title: Steel Magnolias })"
"Tool","""Search Results\n[{ genre: Family, starring: Betsy Widhalm, subtitle_language: French, title: Steel Magnolias }]\nEnd Search Results"""
"SYSTEM","""The movie is started."""
"USER","""Thank you.That's all that I wanted."""
"SYSTEM","""Have a great day."""
