"Speaker","Utterance"
"dialogue_id:"," 14_00044"
"USER","""I want to find a movie to watch."""
"SYSTEM","APICall(method='FindMovies', parameters={  })"
"Tool","""Search Results\n[{ cast: Daria Ekamasova, directed_by: Kirill Mikhanovsky, genre: Comedy-drama, movie_title: Give Me Liberty, percent_rating: 92 }, { cast: Nahuel Cano, directed_by: Lucrecia Martel, genre: World, movie_title: Zama, percent_rating: 96 }]\nEnd Search Results"""
"SYSTEM","""I found 10 movies. What about Give Me Liberty? It is rated 92 out of 100."""
"USER","""Sounds great. Can you find me some songs? I like Alex Angel and I love the album Sex Rock. Rock is my favorite genre."""
"SYSTEM","APICall(method='LookupMusic', parameters={ album: Sex Rock, artist: Alex Angel, genre: Rock })"
"Tool","""Search Results\n[{ album: Sex Rock, artist: Alex Angel, genre: Rock, track: Easy World, year: 2018 }, { album: Sex Rock, artist: Alex Angel, genre: Rock, track: My Donna, year: 2018 }]\nEnd Search Results"""
"SYSTEM","""What about Easy World by Alex Angel from the Album Sex Rock?"""
"USER","""I want to play it on the patio."""
"SYSTEM","""Please confirm: playing the song Easy World on the patio."""
"USER","""Yes, sounds good. Was the song released in 2012?"""
"SYSTEM","APICall(method='PlayMedia', parameters={ album: Sex Rock, artist: Alex Angel, device: Patio, track: Easy World })"
"Tool","""Search Results\n[{ album: Sex Rock, artist: Alex Angel, device: Patio, genre: Rock, track: Easy World, year: 2018 }]\nEnd Search Results"""
"SYSTEM","""Enjoy. The song was released in 2018."""
"USER","""Thanks so much."""
"SYSTEM","""Anything else I can do for you?"""
"USER","""No that's all."""
"SYSTEM","""Have a great day!"""
