Speaker,Utterance
dialogue_id:, 8_00000
USER,"""I'm searching for music."""
SYSTEM,"""APICall(method='LookupSong', parameters={  })"""
Tool,"""Search Results\n[{ album: Summer House, artist: Concorde, genre: Pop, song_name: Just Kiss Her, year: 2012 }, { album: Last Year Was Complicated, artist: Nick Jonas, genre: Pop, song_name: Under You, year: 2016 }]\nEnd Search Results"""
SYSTEM,"""What's your opinion about Just Kiss Her by Concorde in the album Summer House?"""
USER,"""Do you have other music? I like all types of songs."""
SYSTEM,"""APICall(method='LookupSong', parameters={  })"""
Tool,"""Search Results\n[{ album: Charice, artist: Jake Zyrus, genre: Pop, song_name: Pyramid, year: 2010 }, { album: Anesthetic, artist: Mark Morton, genre: Metal, song_name: Cross Off, year: 2019 }]\nEnd Search Results"""
SYSTEM,"""I discovered 10 music for you. What's your opinion about Pyramid by Jake Zyrus in the album Charice?"""
USER,"""When did the music get released?"""
SYSTEM,"""The music is from 2010."""
USER,"""That's perfect for me. I'd like to the song; play it on speaker in the kitchen."""
SYSTEM,"""Please verify the following information: cast the song Pyramid on Kitchen speaker."""
USER,"""Yeah, that's right."""
SYSTEM,"""APICall(method='PlaySong', parameters={ playback_device: Kitchen speaker, song_name: Pyramid })"""
Tool,"""Search Results\n[{ album: Charice, artist: Jake Zyrus, genre: Pop, playback_device: Kitchen speaker, song_name: Pyramid, year: 2010 }]\nEnd Search Results"""
SYSTEM,"""Have fun with your music."""
USER,"""Thank you for your help!"""
SYSTEM,"""Do you require me to assist you with something else?"""
USER,"""No, thank you for your assistance!"""
SYSTEM,"""Have a pleasant afternoon."""
