"Speaker","Utterance"
"dialogue_id:"," 65_00117"
"USER","""I am looking for a Szcheuan restaurant with any price range."""
"SYSTEM","""Where?"""
"USER","""SF."""
"SYSTEM","APICall(method='FindRestaurants', parameters={ city: San Francisco, cuisine: Chinese })"
"Tool","""Search Results\n[{ city: San Francisco, cuisine: Chinese, has_live_music: False, phone_number: 415-282-8999, price_range: inexpensive, restaurant_name: Alice's, serves_alcohol: False, street_address: 1599 Sanchez Street }, { city: San Francisco, cuisine: Chinese, has_live_music: False, phone_number: 415-775-3679, price_range: inexpensive, restaurant_name: Bamboo Restaurant, serves_alcohol: True, street_address: 1441 Polk Street }]\nEnd Search Results"""
"SYSTEM","""San Francisco has a good one called Alice's."""
"USER","""I need to know if they have live music and a contact number."""
"SYSTEM","""You can reach them at 415-282-8999 but there is no live music."""
"USER","""I would like a reservation at that establishment."""
"SYSTEM","""What time?"""
"USER","""5 pm would be perfect."""
"SYSTEM","""I will book a table this March 1st for 2 at 5 pm in San Francisco at Alice's with your permission."""
"USER","""Permission granted."""
"SYSTEM","APICall(method='ReserveRestaurant', parameters={ city: San Francisco, date: 2019-03-01, party_size: 2, restaurant_name: Alice's, time: 17:00 })"
"Tool","""Search Results\n[{ city: San Francisco, cuisine: Chinese, date: 2019-03-01, has_live_music: False, party_size: 2, phone_number: 415-282-8999, price_range: inexpensive, restaurant_name: Alice's, serves_alcohol: False, street_address: 1599 Sanchez Street, time: 17:00 }]\nEnd Search Results"""
"SYSTEM","""A table will be held for you."""
"USER","""Awesome. Add the reservation to my schedule."""
"SYSTEM","""I need a name and time and if I am correct it is at 1599 Sanchez Street."""
"USER","""The address is correct. Label if Food at 16:45 on my schedule."""
"SYSTEM","""With your permission I will label your calendar Food this March 1st at 4:45 pm with a location of 1599 Sanchez Street."""
"USER","""Permission allowed."""
"SYSTEM","APICall(method='AddEvent', parameters={ event_date: 2019-03-01, event_location: 1599 Sanchez Street, event_name: Food, event_time: 16:45 })"
"Tool","""Search Results\n[{ event_date: 2019-03-01, event_location: 1599 Sanchez Street, event_name: Food, event_time: 16:45 }]\nEnd Search Results"""
"SYSTEM","""Your schedule now reflects the event."""
"USER","""What would I do without you."""
"SYSTEM","""What else do you need?"""
"USER","""That's all. Thanks again."""
"SYSTEM","""Enjoy yourself today."""
