"Speaker","Utterance"
"dialogue_id:"," 103_00067"
"USER","""I'd like to check the weather in Sunol."""
"SYSTEM","APICall(method='GetWeather', parameters={ city: Sunol })"
"Tool","""Search Results\n[{ city: Sunol, date: 2019-03-01, humidity: 28, precipitation: 12, temperature: 92, wind: 6 }]\nEnd Search Results"""
"SYSTEM","""The average weather is 92 degrees F with a 12 % chance of rain."""
"USER","""How about ATL on March 14th?"""
"SYSTEM","APICall(method='GetWeather', parameters={ city: Atlanta, date: 2019-03-14 })"
"Tool","""Search Results\n[{ city: Atlanta, date: 2019-03-14, humidity: 16, precipitation: 1, temperature: 86, wind: 6 }]\nEnd Search Results"""
"SYSTEM","""The average temperature is 86 degrees F with a 1 % chance of rain."""
"USER","""How humid will it be?"""
"SYSTEM","""The humidity is 16 % about."""
"USER","""What about on the next Wednesday?"""
"SYSTEM","APICall(method='GetWeather', parameters={ city: Atlanta, date: 2019-03-06 })"
"Tool","""Search Results\n[{ city: Atlanta, date: 2019-03-06, humidity: 49, precipitation: 25, temperature: 87, wind: 2 }]\nEnd Search Results"""
"SYSTEM","""The average temperature is 87 degrees F with a 25 % chance of rain."""
"USER","""Sure that would be great. I need things to do."""
"SYSTEM","""What types of activities are you interested in?"""
"USER","""I'm looking at doing Sports."""
"SYSTEM","APICall(method='FindEvents', parameters={ city: Atlanta, date: 2019-03-06, event_type: Sports })"
"Tool","""Search Results\n[{ category: Football, city: Atlanta, date: 2019-03-06, event_name: Falcons Vs Buccaneers, event_type: Sports, time: 19:00, venue: Mercedes-Benz Stadium, venue_address: 1 AMB Drive Northwest }, { category: Soccer, city: Atlanta, date: 2019-03-06, event_name: United Vs Red Bulls, event_type: Sports, time: 17:00, venue: Mercedes-Benz Stadium, venue_address: 1 AMB Drive Northwest }]\nEnd Search Results"""
"SYSTEM","""The event will be Falcons Vs Buccaneers at Mercedes-Benz Stadium."""
"USER","""That is great. I'd like to buy tickets there."""
"SYSTEM","""How many tickets do I need?"""
"USER","""I would like one ticket."""
"SYSTEM","""Please confirm 1 ticket for the Falcons Vs Buccaneers in Atlanta on March 6th."""
"USER","""That works for me."""
"SYSTEM","APICall(method='BuyEventTickets', parameters={ city: Atlanta, date: 2019-03-06, event_name: Falcons Vs Buccaneers, number_of_tickets: 1 })"
"Tool","""Search Results\n[{ city: Atlanta, date: 2019-03-06, event_name: Falcons Vs Buccaneers, number_of_tickets: 1, time: 19:00, venue: Mercedes-Benz Stadium, venue_address: 1 AMB Drive Northwest }]\nEnd Search Results"""
"SYSTEM","""The reservation has been made so have fun!"""
"USER","""Thanks so much for your help."""
"SYSTEM","""Have a wonderful day."""
