Speaker,Utterance
dialogue_id:, 38_00000
USER,"""I am looking to book a flight."""
SYSTEM,"""What day will you be returning?"""
USER,"""I'd like to fly on United Airlines and plan on returning on the 11th."""
SYSTEM,"""Where will you be departing from?"""
USER,"""I'll be leaving from London, UK and prefer to travel economy."""
SYSTEM,"""What day will you departing? Where will your arrival destination be?"""
USER,"""I'll be traveling to Atlanta on the 4th of this month."""
SYSTEM,"""APICall(method='SearchRoundtripFlights', parameters={ airlines: United Airlines, departure_date: 2019-03-04, destination_city: Atlanta, origin_city: London, return_date: 2019-03-11, seating_class: Economy })"""
Tool,"""Search Results\n[{ airlines: United Airlines, departure_date: 2019-03-04, destination_airport: Hartsfield-Jackson International Airport, destination_city: Atlanta, inbound_arrival_time: 00:49, inbound_departure_time: 06:15, number_stops: 1, origin_airport: Heathrow International Airport, origin_city: London, outbound_arrival_time: 04:29, outbound_departure_time: 22:25, passengers: 1, price: 292, refundable: False, return_date: 2019-03-11, seating_class: Economy }]\nEnd Search Results"""
SYSTEM,"""I've found a flight with United Airlines for $292. The flight leaves at 10:25 pm and returns at 6:15 am."""
USER,"""That sounds like a good option."""
SYSTEM,"""Would you like me to purchase the tickets?"""
USER,"""No, but thank you."""
SYSTEM,"""Is there anything else I can assist you with?"""
USER,"""Can you help me find one way flights for an upcoming trip with 3 people?"""
SYSTEM,"""APICall(method='SearchOnewayFlight', parameters={ airlines: United Airlines, departure_date: 2019-03-04, destination_city: Atlanta, origin_city: London, passengers: 3, seating_class: Economy })"""
Tool,"""Search Results\n[{ airlines: United Airlines, departure_date: 2019-03-04, destination_airport: Hartsfield-Jackson International Airport, destination_city: Atlanta, number_stops: 0, origin_airport: Heathrow International Airport, origin_city: London, outbound_arrival_time: 04:29, outbound_departure_time: 22:25, passengers: 3, price: 238, refundable: False, seating_class: Economy }]\nEnd Search Results"""
SYSTEM,"""I've found 1 flight on United Airlines for $238. The flight departs at 10:25 pm and has 0 stops."""
USER,"""That sounds great."""
SYSTEM,"""Is there anything else I can assist you with?"""
USER,"""That is all. Thank you!"""
SYSTEM,"""Have a great day."""
