"Speaker","Utterance"
"dialogue_id:"," 11_00003"
"USER","""Hi, I need my savings account balance."""
"SYSTEM","APICall(method='CheckBalance', parameters={ account_type: savings })"
"Tool","""Search Results\n[{ account_balance: 9789.20, account_type: savings }]\nEnd Search Results"""
"SYSTEM","""Sure, your savings right now is at $9,789.20."""
"USER","""I'll need to make a transfer please."""
"SYSTEM","""How much and to whom?"""
"USER","""I want to send $30 to Jasbir."""
"SYSTEM","""Confirming a $30 transfer from savings to the checking account of Jasbir."""
"USER","""Thanks. How long will that take?"""
"SYSTEM","APICall(method='TransferMoney', parameters={ account_type: savings, recipient_account_type: checking, recipient_name: Jasbir, transfer_amount: 30 })"
"Tool","""Search Results\n[{ account_type: savings, recipient_account_type: checking, recipient_name: Jasbir, transfer_amount: 30, transfer_time: 3 }]\nEnd Search Results"""
"SYSTEM","""It is usually a 3 day process and the transfer has been processed."""
"USER","""Could you also tell me about the Antioch weather forecast on the 14th of March?"""
"SYSTEM","APICall(method='GetWeather', parameters={ city: Antioch, date: 2019-03-14 })"
"Tool","""Search Results\n[{ city: Antioch, date: 2019-03-14, humidity: 24, precipitation: 13, temperature: 74, wind: 1 }]\nEnd Search Results"""
"SYSTEM","""Yes, an average temperature of 74 degrees Fahrenheit and a 13 percent possibility of precipitation."""
"USER","""How about the wind speed and the humidity?"""
"SYSTEM","""You can expect 24 percent humidity and an average wind of 1 mph."""
"USER","""Thank you, that's everything I need."""
"SYSTEM","""Thank you, have a great day."""
