,average_rating,check_in_date,check_out_date,hotel_name,location,number_of_rooms,pets_welcome,phone_number,price,street_address
0,4.30,2019-03-11,2019-03-14,Springhill Suites By Marriott Fresno,Fresno,1,False,+1 888-287-9400,720,6844 North Fresno Street
1,4.40,2019-03-06,2019-03-13,Novotel London Tower Bridge Hotel,London,1,True,+44 20 7660 0675,952,10 Pepys Street
2,4.20,2019-03-05,2019-03-08,Holiday Inn Express London - Excel,London,1,False,+44 20 3096 5888,396,1018 Dockside Road
3,4.50,2019-03-04,2019-03-12,"Sls Hotel, A Luxury Collection Hotel, Beverly Hills",Los Angeles,1,True,+1 310-247-0400,1344,465 La Cienega Boulevard
4,4.00,2019-03-05,2019-03-13,Travelodge Anaheim Inn And Suite,Anaheim,2,False,+1 800-576-0767,1728,1057 West Ball Road
5,3.70,2019-03-02,2019-03-14,Ibis Sydney World Square,Sydney,1,False,+61 2 8267 3111,2808,382/384 Pitt Street
6,4.40,2019-03-04,2019-03-13,Even Hotel Seattle Downtown - Lake Union,Seattle,1,True,+1 206-596-2302,1080,527 Fairview Avenue North
7,4.40,2019-03-12,2019-03-13,Renaissance Paris Vendome Hotel,Paris,1,False,+33 1 40 20 20 00,208,"4 Rue du Mont Thabor, 75001"
8,4.00,2019-03-02,2019-03-13,Kyriad Paris Bercy Village,Paris,1,True,+33 1 44 67 75 75,1452,"17 Rue Baron le Roy, 75012"
9,4.20,2019-03-02,2019-03-12,Crowne Plaza Portland-Downtown Conv Ctr,Portland,1,False,+1 503-233-2401,2520,1441 Northeast 2nd Avenue
10,4.10,2019-03-03,2019-03-09,Tropicana Inn & Suites,Anaheim,1,False,+1 714-635-4082,1584,1540 South Harbor Boulevard
11,3.90,2019-03-03,2019-03-10,Timhotel Paris Place D'Italie,Paris,1,True,+33 1 44 24 01 01,609,"178 Boulevard Vincent Auriol, 75013"
12,4.60,2019-03-01,2019-03-14,Amastan Paris,Paris,1,False,+33 1 49 52 99 70,1664,"34 Rue Jean Mermoz, 75008"
13,4.20,2019-03-02,2019-03-11,Hotel Griffon,San Francisco,1,False,+1 415-495-2100,2916,"1206, 155 Steuart Street"
14,4.20,2019-03-01,2019-03-13,Hampton Inn Portland-Airport,Portland,1,False,+1 503-288-2423,3648,8633 Northeast Airport Way
15,4.20,2019-03-03,2019-03-14,Fairfield Inn & Suites By Marriott New York Manhattan/Central Park,New York,1,False,+1 212-757-8550,1364,538 West 58th Street
16,4.50,2019-03-02,2019-03-13,Dossier,Portland,1,True,+1 877-628-4408,968,750 Southwest Alder Street
17,3.80,2019-03-04,2019-03-05,Doubletree By Hilton Hotel New York City - Chelsea,New York,1,True,+1 212-564-0994,93,128 West 29th Street
