"Speaker","Utterance"
"dialogue_id:"," 55_00091"
"USER","""Get me tickets to an event."""
"SYSTEM","""What event do you want on what date and how many tickets do you need?"""
"USER","""Get me three tickets to the Mariners Vs White Sox game on the 10th of this month."""
"SYSTEM","""What city shall I look in?"""
"USER","""Seattle, WA is the city that I want."""
"SYSTEM","""You want 3 tickets to the Mariners Vs White Sox game on March 10th in Seattle. Is that right?"""
"USER","""That is correct. What is the name and address of the venue?"""
"SYSTEM","APICall(method='BuyEventTickets', parameters={ city: Seattle, date: 2019-03-10, event_name: Mariners Vs White Sox, number_of_tickets: 3 })"
"Tool","""Search Results\n[{ city: Seattle, date: 2019-03-10, event_name: Mariners Vs White Sox, number_of_tickets: 3, time: 17:00, venue: T-Mobile Park, venue_address: 1250 1st Avenue South }]\nEnd Search Results"""
"SYSTEM","""Your tickets have been ordered and the venue is T-Mobile Park located at 1250 1st Avenue South."""
"USER","""I need a rental car to get there."""
"SYSTEM","""Will you be getting it on March 10th and if so at what time and when will you return it?"""
"USER","""I want to pickup the car on the 8th at 2 in the afternoon and return it on the 13th of this month."""
"SYSTEM","APICall(method='GetCarsAvailable', parameters={ dropoff_date: 2019-03-13, pickup_city: Seattle, pickup_date: 2019-03-08, pickup_time: 14:00 })"
"Tool","""Search Results\n[{ car_name: Honda Civic, car_type: Standard, dropoff_date: 2019-03-13, pickup_city: Seattle, pickup_date: 2019-03-08, pickup_location: Seattle-Tacoma International Airport, pickup_time: 14:00, total_price: 150 }, { car_name: Hyundai Elantra, car_type: Standard, dropoff_date: 2019-03-13, pickup_city: Seattle, pickup_date: 2019-03-08, pickup_location: King Street Station, pickup_time: 14:00, total_price: 145 }]\nEnd Search Results"""
"SYSTEM","""I found a Standard Honda Civic for rent at Seattle-Tacoma International Airport on March 8th."""
"USER","""That works for me."""
"SYSTEM","""Shall I make a reservation for it?"""
"USER","""Yes, rent that car for me."""
"SYSTEM","""You want a Standard car for pickup on March 8th at 2 pm at Seattle-Tacoma International Airport and return it on March 13th. Is that right?"""
"USER","""That is right. Can you tell me total bill?"""
"SYSTEM","APICall(method='ReserveCar', parameters={ car_type: Standard, dropoff_date: 2019-03-13, pickup_date: 2019-03-08, pickup_location: Seattle-Tacoma International Airport, pickup_time: 14:00 })"
"Tool","""Search Results\n[{ car_name: Honda Civic, car_type: Standard, dropoff_date: 2019-03-13, pickup_date: 2019-03-08, pickup_location: Seattle-Tacoma International Airport, pickup_time: 14:00, total_price: 150 }]\nEnd Search Results"""
"SYSTEM","""It costs $150 and your reservation is successful."""
"USER","""Thanks a bunch. That is all."""
"SYSTEM","""Have a good day."""
