"Speaker","Utterance"
"dialogue_id:"," 66_00125"
"USER","""I need 2 event tickets in Oakland for March 11th."""
"SYSTEM","""Is there a particular event you are interested in?"""
"USER","""I think Chevere Music Festival is good"""
"SYSTEM","""Could you confirm that you need 2 tickets for Chevere Music Festival? The event is on March 11th in Oakland."""
"USER","""Yeah, that works."""
"SYSTEM","APICall(method='BuyEventTickets', parameters={ city: Oakland, date: 2019-03-11, event_name: Chevere Music Festival, number_of_tickets: 2 })"
"Tool","""Search Results\n[{ city: Oakland, date: 2019-03-11, event_name: Chevere Music Festival, number_of_tickets: 2, time: 19:30, venue: Broadway:14th St, venue_address: Oakland, CA 94612, USA }]\nEnd Search Results"""
"SYSTEM","""Your reservation was made successfully."""
"USER","""Where will the event take place?"""
"SYSTEM","""It will take place at Broadway:14th St."""
"USER","""Thank you for helping. I need to find a restaurant there."""
"SYSTEM","""What sort of food do you need?"""
"USER","""Vietnamese would be great."""
"SYSTEM","APICall(method='FindRestaurants', parameters={ city: Oakland, cuisine: Vietnamese })"
"Tool","""Search Results\n[{ city: Oakland, cuisine: Vietnamese, has_live_music: False, phone_number: 510-893-8136, price_range: inexpensive, restaurant_name: Binh Minh Quan, serves_alcohol: False, street_address: 338 12th Street }, { city: Oakland, cuisine: Vietnamese, has_live_music: False, phone_number: 510-601-8818, price_range: moderate, restaurant_name: Holy Basil Pho, serves_alcohol: True, street_address: 5362 College Avenue }]\nEnd Search Results"""
"SYSTEM","""Binh Minh Quan is a nice Oakland restaurant."""
"USER","""That is great."""
"SYSTEM","""Do you want to make a reservation here?"""
"USER","""No, not currently."""
"SYSTEM","""Could I assist with something else?"""
"USER","""No, that's it."""
"SYSTEM","""Have a good one."""
