,airlines,departure_date,destination_airport,is_nonstop,number_of_tickets,origin_airport,outbound_arrival_time,outbound_departure_time,price,seating_class,inbound_arrival_time,inbound_departure_time,return_date
0,Alaska Airlines,2019-03-11,Mexico City,False,1,San Diego,21:05,13:05,190,Economy,,,
1,Delta Airlines,2019-03-11,Mexico City,False,1,San Diego,02:43,13:55,262,Economy,,,
2,Southwest Airlines,2019-03-11,Mexico City,False,1,San Diego,22:13,12:10,254,Economy,,,
3,United Airlines,2019-03-11,Mexico City,False,1,San Diego,21:05,09:15,192,Economy,,,
4,Alaska Airlines,2019-03-10,San Diego,True,1,Los Angeles,13:09,12:15,58,Economy,,,
5,American Airlines,2019-03-10,San Diego,True,1,Los Angeles,22:39,21:45,61,Economy,,,
6,American Airlines,2019-03-07,Toronto,False,1,Atlanta,12:25,05:10,197,Economy,,,
7,Delta Airlines,2019-03-07,Toronto,False,1,Atlanta,11:13,06:50,179,Economy,,,
8,Southwest Airlines,2019-03-07,Toronto,False,1,Atlanta,20:28,14:30,209,Economy,,,
9,United Airlines,2019-03-07,Toronto,False,1,Atlanta,23:08,13:45,196,Economy,,,
10,American Airlines,2019-03-13,Warsaw,False,1,New York,11:36,11:20,360,Economy,,,
11,Delta Airlines,2019-03-13,Warsaw,True,1,New York,07:40,10:30,270,Economy,,,
12,Southwest Airlines,2019-03-13,Warsaw,False,1,New York,11:36,10:50,359,Economy,,,
13,United Airlines,2019-03-13,Warsaw,False,1,New York,16:14,14:30,413,Economy,,,
14,American Airlines,2019-03-04,New York,False,4,Seattle,04:16,16:15,304,Economy,,,
15,American Airlines,2019-03-14,Atlanta,True,1,Vancouver,02:56,18:15,193,Economy,,,
16,Delta Airlines,2019-03-14,Atlanta,True,1,Vancouver,20:46,12:05,199,Economy,,,
17,United Airlines,2019-03-14,Atlanta,False,1,Vancouver,23:04,09:25,326,Economy,,,
18,Alaska Airlines,2019-03-04,Los Angeles,True,1,San Francisco,13:50,12:25,97,Economy,,,
19,American Airlines,2019-03-04,Los Angeles,True,1,San Francisco,20:35,19:10,91,Economy,,,
20,Delta Airlines,2019-03-04,Los Angeles,True,1,San Francisco,11:10,09:45,91,Economy,,,
21,Southwest Airlines,2019-03-04,Los Angeles,True,1,San Francisco,15:50,14:25,83,Economy,,,
22,United Airlines,2019-03-04,Los Angeles,True,1,San Francisco,23:15,21:50,108,Economy,,,
23,Alaska Airlines,2019-03-04,Los Angeles,True,4,San Francisco,13:50,12:25,170,Premium Economy,,,
24,American Airlines,2019-03-04,Los Angeles,True,4,San Francisco,20:35,19:10,159,Premium Economy,,,
25,Southwest Airlines,2019-03-04,Los Angeles,True,4,San Francisco,15:50,14:25,154,Premium Economy,,,
26,American Airlines,2019-03-08,Seattle,False,1,Mexico City,09:21,03:05,283,Economy,,,
27,United Airlines,2019-03-08,Seattle,False,1,Mexico City,12:16,07:10,261,Economy,,,
28,Alaska Airlines,2019-03-04,Washington,True,1,Los Angeles,04:55,20:10,219,Economy,,,
29,American Airlines,2019-03-04,Washington,False,1,Los Angeles,15:28,05:15,291,Economy,,,
30,Delta Airlines,2019-03-04,Washington,True,1,Los Angeles,14:40,05:55,166,Economy,,,
31,Southwest Airlines,2019-03-04,Washington,True,1,Los Angeles,21:45,13:00,203,Economy,,,
32,United Airlines,2019-03-04,Washington,False,1,Los Angeles,23:05,11:00,275,Economy,,,
33,Air Canada,2019-03-08,Seattle,False,1,Toronto,02:17,16:35,328,Economy,,,
34,American Airlines,2019-03-08,Seattle,False,1,Toronto,08:20,00:00,252,Economy,,,
35,United Airlines,2019-03-08,Seattle,False,1,Toronto,11:52,04:45,319,Economy,,,
36,Southwest Airlines,2019-03-05,Portland,False,3,Las Vegas,17:48,12:35,195,Economy,,,
37,American Airlines,2019-03-14,Sydney,False,2,Las Vegas,09:16,07:35,299,Economy,,,
38,Delta Airlines,2019-03-14,Sydney,False,2,Las Vegas,21:42,19:45,273,Economy,,,
39,United Airlines,2019-03-14,Sydney,False,2,Las Vegas,09:16,04:45,292,Economy,,,
40,American Airlines,2019-03-01,Sydney,False,4,Las Vegas,10:16,07:35,278,Economy,,,
41,Delta Airlines,2019-03-01,Sydney,False,4,Las Vegas,21:42,19:45,269,Economy,,,
42,Southwest Airlines,2019-03-01,Sydney,False,4,Las Vegas,21:42,19:20,274,Economy,,,
43,United Airlines,2019-03-01,Sydney,False,4,Las Vegas,10:16,04:30,272,Economy,,,
44,United Airlines,2019-03-07,Rio de Janeiro,False,1,Chicago,08:37,14:05,519,Premium Economy,,,
45,Alaska Airlines,2019-03-11,Portland,True,1,San Francisco,09:28,07:35,120,Economy,,,
46,American Airlines,2019-03-11,Portland,True,1,San Francisco,16:23,14:30,108,Economy,,,
47,Delta Airlines,2019-03-11,Portland,True,1,San Francisco,10:23,08:30,111,Economy,,,
48,Southwest Airlines,2019-03-11,Portland,True,1,San Francisco,17:48,15:55,104,Economy,,,
49,United Airlines,2019-03-11,Portland,True,1,San Francisco,15:18,13:25,111,Economy,,,
50,American Airlines,2019-03-08,Philadelphia,False,2,Los Angeles,23:01,12:05,226,Economy,,,
51,United Airlines,2019-03-08,Philadelphia,False,2,Los Angeles,21:01,09:35,284,Economy,,,
52,American Airlines,2019-03-06,Los Angeles,True,1,Seattle,21:02,18:15,118,Economy,,,
53,Delta Airlines,2019-03-13,San Francisco,False,4,Washington,23:25,18:50,252,Economy,,,
54,Southwest Airlines,2019-03-13,San Francisco,False,4,Washington,16:50,12:30,304,Economy,,,
55,United Airlines,2019-03-13,San Francisco,False,4,Washington,21:41,16:35,265,Economy,,,
56,American Airlines,2019-03-01,Berlin,False,1,Chicago,18:30,16:35,407,Economy,,,
57,Delta Airlines,2019-03-01,Berlin,True,1,Chicago,01:06,07:35,210,Economy,,,
58,Southwest Airlines,2019-03-01,Berlin,True,1,Chicago,22:36,05:05,262,Economy,,,
59,United Airlines,2019-03-01,Berlin,True,1,Chicago,14:51,21:20,266,Economy,,,
60,Southwest Airlines,2019-03-14,Kuala Lumpur,False,4,Chicago,18:08,06:40,485,Economy,,,
61,Alaska Airlines,2019-03-05,Washington,True,1,Los Angeles,04:55,20:10,178,Economy,,,
62,American Airlines,2019-03-05,Washington,False,1,Los Angeles,15:28,05:15,296,Economy,,,
63,Delta Airlines,2019-03-05,Washington,True,1,Los Angeles,14:40,05:55,169,Economy,,,
64,Southwest Airlines,2019-03-05,Washington,True,1,Los Angeles,21:45,13:00,174,Economy,,,
65,United Airlines,2019-03-05,Washington,False,1,Los Angeles,23:05,11:00,273,Economy,,,
66,American Airlines,2019-03-06,Portland,False,1,New York,10:23,04:25,278,Economy,,,
