,account_balance,account_type,recipient_account_type,recipient_name,transfer_amount,transfer_time
0,3814.44,checking,,,,
1,5984.42,savings,,,,
2,,savings,savings,Diego,1210,3
3,19663.10,checking,,,,
4,,checking,checking,Yumi,1400,1
5,17883.87,savings,,,,
6,,savings,checking,Justin,1470,3
7,8181.52,checking,,,,
8,5849.47,savings,,,,
9,,savings,checking,Li,780,3
10,6089.81,savings,,,,
11,22309.73,checking,,,,
12,,checking,dontcare,Mom,1330,3
13,5348.16,checking,,,,
14,5502.90,savings,,,,
15,,savings,dontcare,Justin,1220,3
16,5768.70,savings,,,,
17,2452.32,checking,,,,
18,,checking,checking,Diego,170,1
19,20931.69,checking,,,,
20,15627.82,savings,,,,
21,,savings,checking,Mom,180,3
22,12723.10,checking,,,,
23,9183.90,savings,,,,
24,,savings,checking,Khadija,1110,3
25,13314.25,checking,,,,
26,9434.73,savings,,,,
27,,savings,checking,Kagiso,400,3
28,14570.75,savings,,,,
29,7834.86,checking,,,,
30,,checking,checking,Mahmoud,1130,1
31,5370.53,checking,,,,
32,,checking,checking,Svetlana,270,1
33,23260.13,savings,,,,
34,,savings,checking,Philip,1250,3
35,22448.26,checking,,,,
36,,checking,checking,Diego,1330,1
37,9520.80,savings,,,,
38,,savings,dontcare,Jasbir,1290,3
39,18051.39,checking,,,,
40,,checking,checking,Grace,1060,1
41,24934.51,checking,,,,
42,,checking,savings,Khadija,1440,3
43,22496.82,savings,,,,
44,,savings,checking,Khadija,1800,3
45,11466.82,checking,,,,
46,16754.52,savings,,,,
47,,savings,checking,Jasbir,1670,3
48,19144.42,savings,,,,
49,10755.44,checking,,,,
50,,checking,savings,Justin,1290,3
51,8238.58,checking,,,,
52,9616.40,savings,,,,
53,,savings,checking,Philip,1640,3
54,5612.58,savings,,,,
55,20894.39,checking,,,,
56,,checking,checking,Mahmoud,1430,1
57,23509.52,checking,,,,
58,18456.66,savings,,,,
59,,savings,checking,Svetlana,1540,3
60,7686.21,savings,,,,
61,24978.75,checking,,,,
62,,checking,dontcare,Mahmoud,720,3
63,21801.28,savings,,,,
64,14298.13,checking,,,,
65,,checking,checking,Yumi,1470,1
66,17349.49,checking,,,,
67,9379.56,savings,,,,
68,,savings,checking,Jasbir,100,3
69,2873.18,savings,,,,
70,,savings,checking,Li,380,3
71,18299.57,savings,,,,
72,,savings,checking,Diego,780,3
73,9485.10,checking,,,,
74,3368.48,savings,,,,
75,,savings,checking,Philip,1580,3
76,21432.70,savings,,,,
77,16589.75,checking,,,,
78,,checking,savings,Li,600,3
79,24590.55,checking,,,,
80,24838.31,savings,,,,
81,,savings,checking,Grace,500,3
82,5567.84,savings,,,,
83,,savings,checking,Justin,1030,3
84,11130.35,checking,,,,
85,,checking,checking,Grace,1360,1
86,24819.36,checking,,,,
87,,checking,savings,Yumi,1200,3
88,12886.54,checking,,,,
89,3232.84,savings,,,,
90,,savings,savings,Diego,1630,3
91,19703.30,savings,,,,
92,4165.22,checking,,,,
93,,checking,checking,Grace,710,1
94,843.14,checking,,,,
95,17106.16,savings,,,,
96,,savings,savings,Jasbir,1170,3
97,11570.74,checking,,,,
98,19945.43,savings,,,,
99,,savings,checking,Justin,50,3
100,23352.71,checking,,,,
101,7976.46,savings,,,,
102,,savings,checking,Mom,1790,3
103,3520.45,savings,,,,
104,19865.14,checking,,,,
105,,checking,checking,Grace,1150,1
106,23389.17,checking,,,,
107,10764.11,savings,,,,
108,,savings,checking,Philip,730,3
109,23362.72,checking,,,,
110,,checking,checking,Philip,550,1
111,12254.49,checking,,,,
112,22869.21,checking,,,,
113,13706.89,checking,,,,
114,14897.23,savings,,,,
115,11110.69,savings,,,,
116,12808.32,savings,,,,
117,3207.22,checking,,,,
118,9286.56,checking,,,,
119,19587.50,checking,,,,
120,14222.76,savings,,,,
121,14257.75,savings,,,,
122,20899.12,checking,,,,
123,13250.25,savings,,,,
124,15280.44,checking,,,,
125,17785.35,savings,,,,
126,2737.53,checking,,,,
127,13989.88,checking,,,,
128,9217.14,savings,,,,
129,18124.73,savings,,,,
130,1442.16,savings,,,,
131,20591.49,checking,,,,
132,23383.84,checking,,,,
