"Speaker","Utterance"
"dialogue_id:"," 65_00004"
"USER","""I would like to hear the song Stitches in my bedroom."""
"SYSTEM","""You would like me to play Stitches on your bedroom speaker. Is that correct?"""
"USER","""Yes. What album is it on?"""
"SYSTEM","APICall(method='PlayMedia', parameters={ playback_device: bedroom speaker, song_name: Stitches })"
"Tool","""Search Results\n[{ album: Handwritten, artist: Shawn Mendes, genre: Pop, playback_device: bedroom speaker, song_name: Stitches }]\nEnd Search Results"""
"SYSTEM","""It's from Handwritten. It will start now."""
"USER","""What is the genre?"""
"SYSTEM","""It's considered Pop."""
"USER","""Okay. Thank you. I also want to make a transfer from my savings account."""
"SYSTEM","""How much and where should I send it?"""
"USER","""Please transfer nine hundred and eighty dollars to Abhinav."""
"SYSTEM","""To confirm: You would like $980 transferred from your savings account into Abhinav to their checking account."""
"USER","""Yes that's right."""
"SYSTEM","APICall(method='TransferMoney', parameters={ account_type: savings, amount: 980, recipient_account_name: Abhinav, recipient_account_type: checking })"
"Tool","""Search Results\n[{ account_type: savings, amount: 980, recipient_account_name: Abhinav, recipient_account_type: checking }]\nEnd Search Results"""
"SYSTEM","""Your transfer is confirmed."""
"USER","""Great. Thanks. Now I'd like to watch the movie Dogman."""
"SYSTEM","""You would like to watch Dogman without subtitles. Is that correct?"""
"USER","""Yes. What kind of movie genre is it and who is the director?"""
"SYSTEM","APICall(method='PlayMovie', parameters={ subtitles: False, title: Dogman })"
"Tool","""Search Results\n[{ directed_by: Matteo Garrone, genre: Drama, subtitles: False, title: Dogman }]\nEnd Search Results"""
"SYSTEM","""It's a drama directed by Matteo Garrone. It will start now."""
"USER","""Thank you. That's all I need for now."""
"SYSTEM","""Have a great day."""
