,address,check_in_date,check_out_date,has_laundry_service,number_of_adults,phone_number,rating,total_price,where_to
0,"37 Ultimo Road, Haymarket New South Wales 2000, Australia",2019-03-01,2019-03-12,False,1,+61 2 9281 5555,4.20,1881,Sydney
1,220 West 41st Street,2019-03-02,2019-03-12,True,3,+1 212-221-1188,4.40,4200,New York
2,"Paris-15E-Arrondissement, 51 Quai de Grenelle, 75015",2019-03-02,2019-03-05,True,2,+33 1 44 09 00 13,4.20,720,Paris
3,165 East Ontario Street,2019-03-06,2019-03-08,True,2,+1 312-573-0800,4.40,276,Chicago
4,61 Lincoln's Inn Fields,2019-03-06,2019-03-07,True,2,+44 20 7404 6640,4.20,372,London
5,First Freight Lane Jomo Kenyatta International Airport,2019-03-01,2019-03-02,True,4,+254 709 222444,4.40,500,Nairobi
6,1225 Vine Street,2019-03-08,2019-03-11,False,3,+1 215-398-3080,3.90,684,Philadelphia
7,620 Church Street,2019-03-04,2019-03-07,True,3,+1 416-964-3311,3.70,810,Toronto
8,"144-02 135th Avenue, Jamaica",2019-03-06,2019-03-10,True,5,+1 718-659-0200,4.00,2040,New York
9,18 West 56th Street,2019-03-04,2019-03-05,True,3,+1 212-586-5656,4.60,560,New York
10,201 South Christopher Columbus Boulevard,2019-03-06,2019-03-14,True,3,+1 215-521-6500,4.40,2784,Philadelphia
11,6 Water Street,2019-03-03,2019-03-14,True,1,+1 212-248-1100,4.50,5775,New York
12,2535 Chantilly Drive Northeast,2019-03-06,2019-03-14,True,5,+1 404-321-0999,3.90,2160,Atlanta
13,"1-8, Kensington Gardens Square",2019-03-04,2019-03-13,True,1,+44 20 7229 2494,4.00,1782,London
14,1710 West Mission Bay Drive,2019-03-04,2019-03-07,True,2,+1 619-222-6440,4.30,972,San Diego
15,8-10 Paul Street,2019-03-07,2019-03-09,False,1,+44 20 7655 1720,4.10,540,London
16,"16, Jalan Imbi, 55100 Kuala Lumpur, Wilayah Persekutuan",2019-03-04,2019-03-07,True,3,+60 3-2785 2828,4.30,912,Kuala Lumpur
17,"55 North Steyne, Manly New South Wales 2095, Australia",2019-03-10,2019-03-14,True,2,+61 2 9977 7666,4.20,928,Sydney
18,942 Mission Street,2019-03-05,2019-03-09,True,3,+1 415-546-3110,3.90,1500,San Francisco
19,725 10th Avenue,2019-03-02,2019-03-05,False,1,+1 212-586-3400,3.90,783,New York
20,1835 Columbia Street,2019-03-01,2019-03-09,False,1,+1 619-544-0164,3.60,3600,San Diego
21,"1770 Orchid Avenue, Hollywood, California 90028, United States",2019-03-01,2019-03-13,False,3,+1 323-962-1788,3.10,1440,Los Angeles
22,22-32 West Cromwell Road,2019-03-03,2019-03-14,False,5,+44 871 527 8668,4.00,3795,London
23,515 9th Avenue,2019-03-01,2019-03-02,True,2,+1 212-920-2020,4.10,580,New York
24,11 Adam Street,2019-03-01,2019-03-14,True,5,+44 20 3744 7520,4.70,6045,London
25,66 East Wacker Place,2019-03-02,2019-03-04,True,1,+1 312-920-6666,4.30,372,Chicago
26,12 Darling Drive,2019-03-06,2019-03-10,True,3,+61 2 8388 8888,4.60,1860,Sydney
27,1055 Van Ness Avenue,2019-03-11,2019-03-13,True,1,+1 559-233-6650,3.80,156,Fresno
28,"40 Avenue de la Motte-Picquet, 75007",2019-03-04,2019-03-12,False,1,+33 1 47 05 57 30,4.10,2304,Paris
29,3515 Wilshire Boulevard,2019-03-01,2019-03-12,True,1,+1 213-381-7411,4.10,3564,Los Angeles
30,614 Western Avenue,2019-03-02,2019-03-13,False,3,+44 871 984 6195,3.10,1914,London
31,"10 Rue du Champ de Mars, 75007",2019-03-01,2019-03-14,True,4,+33 1 40 62 67 00,4.20,4992,Paris
