"Speaker","Utterance"
"dialogue_id:"," 13_00116"
"USER","""Can you help me find some Offbeat movies online featuring Inbal Amirav?"""
"SYSTEM","APICall(method='FindMovies', parameters={ genre: Offbeat, starring: Inbal Amirav })"
"Tool","""Search Results\n[{ genre: Offbeat, starring: Inbal Amirav, subtitle_language: Hindi, title: Once Upon a Time In Hollywood }]\nEnd Search Results"""
"SYSTEM","""Sure, I found 1 movie for you, Once Upon a Time In Hollywood."""
"USER","""Once Upon a Time In Hollywood sounds great. Can you please play it for me now. I don't need subtitles."""
"SYSTEM","""Can you please confirm that you want me to play Once Upon a Time In Hollywood for you, with English subtitles?"""
"USER","""Yes, that's correct."""
"SYSTEM","APICall(method='PlayMovie', parameters={ title: Once Upon a Time In Hollywood })"
"Tool","""Search Results\n[{ genre: Offbeat, starring: Inbal Amirav, subtitle_language: Hindi, title: Once Upon a Time In Hollywood }]\nEnd Search Results"""
"SYSTEM","""I've started playing it for you."""
"USER","""Thank you. Can you please tell me the weather for Pleasant Hill?"""
"SYSTEM","APICall(method='GetWeather', parameters={ city: Pleasant Hill })"
"Tool","""Search Results\n[{ city: Pleasant Hill, date: 2019-03-01, humidity: 30, precipitation: 9, temperature: 94, wind: 5 }]\nEnd Search Results"""
"SYSTEM","""There's a 9 percent change of rain with an average temperature of 94 Fahrenheit."""
"USER","""Is it gonna be windy?"""
"SYSTEM","""No quite. The average wind speed will be 5 mph."""
"USER","""Is it going to be humid."""
"SYSTEM","""Humidity should be around 30 percent."""
"USER","""Perfect. Now let's check the weather for March 3rd in Point Reyes Station."""
"SYSTEM","APICall(method='GetWeather', parameters={ city: Point Reyes Station, date: 2019-03-03 })"
"Tool","""Search Results\n[{ city: Point Reyes Station, date: 2019-03-03, humidity: 32, precipitation: 22, temperature: 71, wind: 12 }]\nEnd Search Results"""
"SYSTEM","""There's a 22 percent change of rain with an average temperature of 71 Fahrenheit."""
"USER","""Perfect. Thanks for everything. Bye-bye!"""
"SYSTEM","""My pleasure. Have a nice day!"""
