"Speaker","Utterance"
"dialogue_id:"," 45_00071"
"USER","""I want to check the weather for March 7th."""
"SYSTEM","""What city are you checking the weather for?"""
"USER","""I want to check in Dixon."""
"SYSTEM","APICall(method='GetWeather', parameters={ city: Dixon, date: 2019-03-07 })"
"Tool","""Search Results\n[{ city: Dixon, date: 2019-03-07, humidity: 16, precipitation: 1, temperature: 80, wind: 7 }]\nEnd Search Results"""
"SYSTEM","""The average temperature is 80 degrees with a 1 percent chance of rain."""
"USER","""Okay. I want to find a restaurant, as well."""
"SYSTEM","""What kind of food would you like to eat? Indian, Italian, etc.?"""
"USER","""I want to go somewhere that serves alcohol. Asado sounds good."""
"SYSTEM","APICall(method='FindRestaurants', parameters={ city: Dixon, cuisine: Asado, serves_alcohol: True })"
"Tool","""Search Results\n[{ city: Dixon, cuisine: Asado, has_live_music: False, phone_number: 707-678-4745, price_range: moderate, restaurant_name: Bud's Pub & Grill, serves_alcohol: True, street_address: 100 South 1st Street }]\nEnd Search Results"""
"SYSTEM","""I found 1 restaurant. Bud's Pub & Grill in Dixon."""
"USER","""What is the address?"""
"SYSTEM","""The address is 100 South 1st Street."""
"USER","""Is there live music? What is the phone number?"""
"SYSTEM","""There is no live music. The phone number is 707-678-4745"""
"USER","""Sounds good, thanks."""
"SYSTEM","""Do you want to reserve a table?"""
"USER","""Yes I want to make a reservation."""
"SYSTEM","""What time is the reservation for?"""
"USER","""I want to make it for half past 11 in the morning."""
"SYSTEM","""Please confirm: A table for 2 at Bud's Pub & Grill in Dixon on March 1st at 11:30 am."""
"USER","""Yes, sounds good. Is it pricey?"""
"SYSTEM","APICall(method='ReserveRestaurant', parameters={ city: Dixon, date: 2019-03-01, party_size: 2, restaurant_name: Bud's Pub & Grill, time: 11:30 })"
"Tool","""Search Results\n[{ city: Dixon, cuisine: Asado, date: 2019-03-01, has_live_music: False, party_size: 2, phone_number: 707-678-4745, price_range: moderate, restaurant_name: Bud's Pub & Grill, serves_alcohol: True, street_address: 100 South 1st Street, time: 11:30 }]\nEnd Search Results"""
"SYSTEM","""Your reservation has been made. The prices are moderate."""
"USER","""Thanks so much."""
"SYSTEM","""Anything else I can help with?"""
"USER","""No, that's all."""
"SYSTEM","""Have a great day."""
